GEOID,NAME,COCNAME,estimate,COCNUM,COCpop20,COCpop15
51775,Salem,"Roanoke City & County, Salem CoC",25290,VA-502,277741,277703
51121,Montgomery,Virginia Balance of State CoC,98495,VA-521,1688700,1702580
51735,Poquoson,"Newport News, Hampton/Virginia Peninsula CoC",12121,VA-505,486327,482379
51095,James City,"Newport News, Hampton/Virginia Peninsula CoC",76032,VA-505,486327,482379
51179,Stafford,"Fredericksburg/Spotsylvania, Stafford Counties CoC",150185,VA-514,371187,346513
51181,Surry,Virginia Balance of State CoC,6459,VA-521,1688700,1702580
51085,Hanover,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",106538,VA-500,1096347,1038721
51167,Russell,Virginia Balance of State CoC,26937,VA-521,1688700,1702580
51089,Henry,Virginia Balance of State CoC,51032,VA-521,1688700,1702580
51510,Alexandria,Alexandria CoC,158309,VA-603,158309,149315
51540,Charlottesville,Charlottesville CoC,47217,VA-504,254109,241988
51097,King and Queen,Virginia Balance of State CoC,7011,VA-521,1688700,1702580
51820,Waynesboro,Virginia Balance of State CoC,22300,VA-521,1688700,1702580
51063,Floyd,Virginia Balance of State CoC,15766,VA-521,1688700,1702580
51119,Middlesex,Virginia Balance of State CoC,10642,VA-521,1688700,1702580
51595,Emporia,Virginia Balance of State CoC,5408,VA-521,1688700,1702580
51157,Rappahannock,Virginia Balance of State CoC,7360,VA-521,1688700,1702580
51009,Amherst,Lynchburg CoC,31782,VA-508,262937,256989
51580,Covington,"Roanoke City & County, Salem CoC",5653,VA-502,277741,277703
51057,Essex,Virginia Balance of State CoC,10960,VA-521,1688700,1702580
51027,Buchanan,Virginia Balance of State CoC,21374,VA-521,1688700,1702580
51005,Alleghany,"Roanoke City & County, Salem CoC",15030,VA-502,277741,277703
51133,Northumberland,Virginia Balance of State CoC,12151,VA-521,1688700,1702580
51045,Craig,"Roanoke City & County, Salem CoC",5103,VA-502,277741,277703
51029,Buckingham,Virginia Balance of State CoC,17087,VA-521,1688700,1702580
51073,Gloucester,Virginia Balance of State CoC,37362,VA-521,1688700,1702580
51760,Richmond,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",229233,VA-500,1096347,1038721
51145,Powhatan,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",29253,VA-500,1096347,1038721
51610,Falls Church,Fairfax County CoC,14309,VA-601,1187060,1165432
51075,Goochland,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",23472,VA-500,1096347,1038721
51137,Orange,Virginia Balance of State CoC,36501,VA-521,1688700,1702580
51079,Greene,Charlottesville CoC,19734,VA-504,254109,241988
51141,Patrick,Virginia Balance of State CoC,17660,VA-521,1688700,1702580
51101,King William,Virginia Balance of State CoC,16985,VA-521,1688700,1702580
51113,Madison,Virginia Balance of State CoC,13208,VA-521,1688700,1702580
51111,Lunenburg,Virginia Balance of State CoC,12294,VA-521,1688700,1702580
51770,Roanoke,"Roanoke City & County, Salem CoC",99122,VA-502,277741,277703
51550,Chesapeake,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",242647,VA-501,641281,624844
51037,Charlotte,Virginia Balance of State CoC,11953,VA-521,1688700,1702580
51093,Isle of Wight,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",37107,VA-501,641281,624844
51061,Fauquier,Virginia Balance of State CoC,70353,VA-521,1688700,1702580
51750,Radford,Virginia Balance of State CoC,17833,VA-521,1688700,1702580
51600,Fairfax,Fairfax County CoC,23312,VA-601,1187060,1165432
51087,Henrico,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",330076,VA-500,1096347,1038721
51620,Franklin,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",8015,VA-501,641281,624844
51660,Harrisonburg,"Harrisonburg, Winchester/Western Virginia CoC",53558,VA-513,372351,357028
51530,Buena Vista,Virginia Balance of State CoC,6477,VA-521,1688700,1702580
51067,Franklin,Virginia Balance of State CoC,56231,VA-521,1688700,1702580
51127,New Kent,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",22310,VA-500,1096347,1038721
51019,Bedford,Lynchburg CoC,78965,VA-508,262937,256989
51077,Grayson,Virginia Balance of State CoC,15651,VA-521,1688700,1702580
51143,Pittsylvania,Virginia Balance of State CoC,60867,VA-521,1688700,1702580
51071,Giles,Virginia Balance of State CoC,16760,VA-521,1688700,1702580
51197,Wythe,Virginia Balance of State CoC,28725,VA-521,1688700,1702580
51153,Prince William,Prince William County CoC,466834,VA-604,525420,493639
51169,Scott,Virginia Balance of State CoC,21761,VA-521,1688700,1702580
51036,Charles City,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",6965,VA-500,1096347,1038721
51685,Manassas Park,Prince William County CoC,17548,VA-604,525420,493639
51013,Arlington,Arlington County CoC,236434,VA-600,236434,223945
51035,Carroll,Virginia Balance of State CoC,29911,VA-521,1688700,1702580
51700,Newport News,"Newport News, Hampton/Virginia Peninsula CoC",179582,VA-505,486327,482379
51017,Bath,Virginia Balance of State CoC,4248,VA-521,1688700,1702580
51840,Winchester,"Harrisonburg, Winchester/Western Virginia CoC",27912,VA-513,372351,357028
51183,Sussex,Virginia Balance of State CoC,11202,VA-521,1688700,1702580
51049,Cumberland,Virginia Balance of State CoC,9869,VA-521,1688700,1702580
51173,Smyth,Virginia Balance of State CoC,30539,VA-521,1688700,1702580
51191,Washington,Virginia Balance of State CoC,54005,VA-521,1688700,1702580
51161,Roanoke,"Roanoke City & County, Salem CoC",94103,VA-502,277741,277703
51015,Augusta,Virginia Balance of State CoC,75754,VA-521,1688700,1702580
51590,Danville,Virginia Balance of State CoC,40668,VA-521,1688700,1702580
51670,Hopewell,Virginia Balance of State CoC,22500,VA-521,1688700,1702580
51083,Halifax,Virginia Balance of State CoC,34295,VA-521,1688700,1702580
51740,Portsmouth,Portsmouth CoC,94961,VA-507,94961,96135
51171,Shenandoah,"Harrisonburg, Winchester/Western Virginia CoC",43441,VA-513,372351,357028
51678,Lexington,Virginia Balance of State CoC,7205,VA-521,1688700,1702580
51001,Accomack,Virginia Balance of State CoC,32560,VA-521,1688700,1702580
51003,Albemarle,Charlottesville CoC,108819,VA-504,254109,241988
51043,Clarke,"Harrisonburg, Winchester/Western Virginia CoC",14498,VA-513,372351,357028
51081,Greensville,Virginia Balance of State CoC,11403,VA-521,1688700,1702580
51053,Dinwiddie,Virginia Balance of State CoC,28686,VA-521,1688700,1702580
51710,Norfolk,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",244300,VA-501,641281,624844
51155,Pulaski,Virginia Balance of State CoC,34113,VA-521,1688700,1702580
51051,Dickenson,Virginia Balance of State CoC,14524,VA-521,1688700,1702580
51007,Amelia,Virginia Balance of State CoC,12970,VA-521,1688700,1702580
51520,Bristol,Virginia Balance of State CoC,17059,VA-521,1688700,1702580
51023,Botetourt,"Roanoke City & County, Salem CoC",33440,VA-502,277741,277703
51720,Norton,Virginia Balance of State CoC,3969,VA-521,1688700,1702580
51790,Staunton,Virginia Balance of State CoC,24660,VA-521,1688700,1702580
51830,Williamsburg,"Newport News, Hampton/Virginia Peninsula CoC",15034,VA-505,486327,482379
51139,Page,"Harrisonburg, Winchester/Western Virginia CoC",23862,VA-513,372351,357028
51193,Westmoreland,Virginia Balance of State CoC,17873,VA-521,1688700,1702580
51163,Rockbridge,Virginia Balance of State CoC,22728,VA-521,1688700,1702580
51125,Nelson,Charlottesville CoC,14812,VA-504,254109,241988
51135,Nottoway,Virginia Balance of State CoC,15338,VA-521,1688700,1702580
51690,Martinsville,Virginia Balance of State CoC,12646,VA-521,1688700,1702580
51011,Appomattox,Lynchburg CoC,15814,VA-508,262937,256989
51065,Fluvanna,Charlottesville CoC,26873,VA-504,254109,241988
51195,Wise,Virginia Balance of State CoC,38032,VA-521,1688700,1702580
51630,Fredericksburg,"Fredericksburg/Spotsylvania, Stafford Counties CoC",29059,VA-514,371187,346513
51115,Mathews,Virginia Balance of State CoC,8760,VA-521,1688700,1702580
51099,King George,"Fredericksburg/Spotsylvania, Stafford Counties CoC",26679,VA-514,371187,346513
51147,Prince Edward,Virginia Balance of State CoC,22892,VA-521,1688700,1702580
51640,Galax,Virginia Balance of State CoC,6402,VA-521,1688700,1702580
51031,Campbell,Lynchburg CoC,55406,VA-508,262937,256989
51680,Lynchburg,Lynchburg CoC,80970,VA-508,262937,256989
51109,Louisa,Charlottesville CoC,36654,VA-504,254109,241988
51021,Bland,Virginia Balance of State CoC,6334,VA-521,1688700,1702580
51730,Petersburg,Virginia Balance of State CoC,30791,VA-521,1688700,1702580
51175,Southampton,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",17829,VA-501,641281,624844
51800,Suffolk,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",91383,VA-501,641281,624844
51059,Fairfax,Fairfax County CoC,1149439,VA-601,1187060,1165432
51105,Lee,Virginia Balance of State CoC,23723,VA-521,1688700,1702580
51185,Tazewell,Virginia Balance of State CoC,41201,VA-521,1688700,1702580
51107,Loudoun,Loudoun County CoC,405312,VA-602,405312,351129
51199,York,"Newport News, Hampton/Virginia Peninsula CoC",68389,VA-505,486327,482379
51047,Culpeper,Virginia Balance of State CoC,51935,VA-521,1688700,1702580
51165,Rockingham,"Harrisonburg, Winchester/Western Virginia CoC",81138,VA-513,372351,357028
51187,Warren,"Harrisonburg, Winchester/Western Virginia CoC",39888,VA-513,372351,357028
51683,Manassas,Prince William County CoC,41038,VA-604,525420,493639
51131,Northampton,Virginia Balance of State CoC,11826,VA-521,1688700,1702580
51091,Highland,Virginia Balance of State CoC,2202,VA-521,1688700,1702580
51177,Spotsylvania,"Fredericksburg/Spotsylvania, Stafford Counties CoC",134683,VA-514,371187,346513
51041,Chesterfield,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",348500,VA-500,1096347,1038721
51025,Brunswick,Virginia Balance of State CoC,16336,VA-521,1688700,1702580
51149,Prince George,Virginia Balance of State CoC,38292,VA-521,1688700,1702580
51650,Hampton,"Newport News, Hampton/Virginia Peninsula CoC",135169,VA-505,486327,482379
51069,Frederick,"Harrisonburg, Winchester/Western Virginia CoC",88054,VA-513,372351,357028
51033,Caroline,"Fredericksburg/Spotsylvania, Stafford Counties CoC",30581,VA-514,371187,346513
51570,Colonial Heights,Virginia Balance of State CoC,17283,VA-521,1688700,1702580
51810,Virginia Beach,Virginia Beach CoC,450882,VA-503,450882,448290
51103,Lancaster,Virginia Balance of State CoC,10686,VA-521,1688700,1702580
51159,Richmond,Virginia Balance of State CoC,8951,VA-521,1688700,1702580
51117,Mecklenburg,Virginia Balance of State CoC,30726,VA-521,1688700,1702580
