exit_destination,total,population,start_date,end_date,question,category,household_type,count
Moved from one HOPWA funded project to HOPWA PH,0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,without_children,0
Moved from one HOPWA funded project to HOPWA PH,0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_children_and_adults,0
Moved from one HOPWA funded project to HOPWA PH,0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_only_children,0
Moved from one HOPWA funded project to HOPWA PH,0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,unknown_household_type,0
"Owned by client, no ongoing subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,without_children,0
"Owned by client, no ongoing subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_children_and_adults,0
"Owned by client, no ongoing subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_only_children,0
"Owned by client, no ongoing subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,unknown_household_type,0
"Owned by client, with ongoing subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,without_children,0
"Owned by client, with ongoing subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_children_and_adults,0
"Owned by client, with ongoing subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_only_children,0
"Owned by client, with ongoing subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,unknown_household_type,0
"Rental by client, no ongoing subsidy",3,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,without_children,1
"Rental by client, no ongoing subsidy",3,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_children_and_adults,1
"Rental by client, no ongoing subsidy",3,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_only_children,1
"Rental by client, no ongoing subsidy",3,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,unknown_household_type,0
"Rental by client, with VASH subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,without_children,0
"Rental by client, with VASH subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_children_and_adults,0
"Rental by client, with VASH subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_only_children,0
"Rental by client, with VASH subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,unknown_household_type,0
"Rental by client, with GPD TIP subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,without_children,0
"Rental by client, with GPD TIP subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_children_and_adults,0
"Rental by client, with GPD TIP subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_only_children,0
"Rental by client, with GPD TIP subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,unknown_household_type,0
"Rental by client, other ongoing subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,without_children,0
"Rental by client, other ongoing subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_children_and_adults,0
"Rental by client, other ongoing subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_only_children,0
"Rental by client, other ongoing subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,unknown_household_type,0
Permanent housing (other than RRH) for formerly homeless persons,0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,without_children,0
Permanent housing (other than RRH) for formerly homeless persons,0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_children_and_adults,0
Permanent housing (other than RRH) for formerly homeless persons,0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_only_children,0
Permanent housing (other than RRH) for formerly homeless persons,0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,unknown_household_type,0
"Staying or living with family, permanent tenure",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,without_children,0
"Staying or living with family, permanent tenure",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_children_and_adults,0
"Staying or living with family, permanent tenure",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_only_children,0
"Staying or living with family, permanent tenure",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,unknown_household_type,0
"Staying or living with friends, permanent tenure",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,without_children,0
"Staying or living with friends, permanent tenure",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_children_and_adults,0
"Staying or living with friends, permanent tenure",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_only_children,0
"Staying or living with friends, permanent tenure",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,unknown_household_type,0
"Rental by client, with RRH or equivalent subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,without_children,0
"Rental by client, with RRH or equivalent subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_children_and_adults,0
"Rental by client, with RRH or equivalent subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_only_children,0
"Rental by client, with RRH or equivalent subsidy",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,unknown_household_type,0
"Rental by client, with HCV voucher (tenant or project based)",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,without_children,0
"Rental by client, with HCV voucher (tenant or project based)",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_children_and_adults,0
"Rental by client, with HCV voucher (tenant or project based)",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_only_children,0
"Rental by client, with HCV voucher (tenant or project based)",0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,unknown_household_type,0
Rental by client in a public housing unit,0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,without_children,0
Rental by client in a public housing unit,0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_children_and_adults,0
Rental by client in a public housing unit,0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,with_only_children,0
Rental by client in a public housing unit,0,youth,2015-09-01,2015-09-30,Q27f,Permanent Destinations,unknown_household_type,0
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,without_children,0
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,with_children_and_adults,0
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,with_only_children,0
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,unknown_household_type,0
Moved from one HOPWA funded project to HOPWA TH,0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,without_children,0
Moved from one HOPWA funded project to HOPWA TH,0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,with_children_and_adults,0
Moved from one HOPWA funded project to HOPWA TH,0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,with_only_children,0
Moved from one HOPWA funded project to HOPWA TH,0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,unknown_household_type,0
Transitional housing for homeless persons (including homeless youth),0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,without_children,0
Transitional housing for homeless persons (including homeless youth),0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,with_children_and_adults,0
Transitional housing for homeless persons (including homeless youth),0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,with_only_children,0
Transitional housing for homeless persons (including homeless youth),0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,unknown_household_type,0
"Staying or living with family, temporary tenure",0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,without_children,0
"Staying or living with family, temporary tenure",0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,with_children_and_adults,0
"Staying or living with family, temporary tenure",0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,with_only_children,0
"Staying or living with family, temporary tenure",0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,unknown_household_type,0
"Staying or living with friends, temporary tenure",0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,without_children,0
"Staying or living with friends, temporary tenure",0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,with_children_and_adults,0
"Staying or living with friends, temporary tenure",0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,with_only_children,0
"Staying or living with friends, temporary tenure",0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,unknown_household_type,0
Place not meant for human habitation,0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,without_children,0
Place not meant for human habitation,0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,with_children_and_adults,0
Place not meant for human habitation,0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,with_only_children,0
Place not meant for human habitation,0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,unknown_household_type,0
Safe Haven,0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,without_children,0
Safe Haven,0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,with_children_and_adults,0
Safe Haven,0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,with_only_children,0
Safe Haven,0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,unknown_household_type,0
"Hotel or motel, paid by client",0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,without_children,0
"Hotel or motel, paid by client",0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,with_children_and_adults,0
"Hotel or motel, paid by client",0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,with_only_children,0
"Hotel or motel, paid by client",0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,unknown_household_type,0
Host Home (non-crisis),0,youth,2015-09-01,2015-09-30,Q27f,Temporary Destinations,without_children,0
