age_group,total,population,start_date,end_date,question,household_type,count
Under 5,86,all_persons,2015-10-01,2015-10-31,Q11,without_children,0
Under 5,86,all_persons,2015-10-01,2015-10-31,Q11,with_children_and_adults,86
Under 5,86,all_persons,2015-10-01,2015-10-31,Q11,with_only_children,0
Under 5,86,all_persons,2015-10-01,2015-10-31,Q11,unknown_household_type,0
5 -  12,81,all_persons,2015-10-01,2015-10-31,Q11,without_children,0
5 -  12,81,all_persons,2015-10-01,2015-10-31,Q11,with_children_and_adults,79
5 -  12,81,all_persons,2015-10-01,2015-10-31,Q11,with_only_children,2
5 -  12,81,all_persons,2015-10-01,2015-10-31,Q11,unknown_household_type,0
13 - 17,40,all_persons,2015-10-01,2015-10-31,Q11,without_children,0
13 - 17,40,all_persons,2015-10-01,2015-10-31,Q11,with_children_and_adults,40
13 - 17,40,all_persons,2015-10-01,2015-10-31,Q11,with_only_children,0
13 - 17,40,all_persons,2015-10-01,2015-10-31,Q11,unknown_household_type,0
18 - 24,53,all_persons,2015-10-01,2015-10-31,Q11,without_children,20
18 - 24,53,all_persons,2015-10-01,2015-10-31,Q11,with_children_and_adults,33
18 - 24,53,all_persons,2015-10-01,2015-10-31,Q11,with_only_children,0
18 - 24,53,all_persons,2015-10-01,2015-10-31,Q11,unknown_household_type,0
25 - 34,96,all_persons,2015-10-01,2015-10-31,Q11,without_children,34
25 - 34,96,all_persons,2015-10-01,2015-10-31,Q11,with_children_and_adults,62
25 - 34,96,all_persons,2015-10-01,2015-10-31,Q11,with_only_children,0
25 - 34,96,all_persons,2015-10-01,2015-10-31,Q11,unknown_household_type,0
35 - 44,88,all_persons,2015-10-01,2015-10-31,Q11,without_children,48
35 - 44,88,all_persons,2015-10-01,2015-10-31,Q11,with_children_and_adults,39
35 - 44,88,all_persons,2015-10-01,2015-10-31,Q11,with_only_children,0
35 - 44,88,all_persons,2015-10-01,2015-10-31,Q11,unknown_household_type,1
45 - 54,93,all_persons,2015-10-01,2015-10-31,Q11,without_children,82
45 - 54,93,all_persons,2015-10-01,2015-10-31,Q11,with_children_and_adults,11
45 - 54,93,all_persons,2015-10-01,2015-10-31,Q11,with_only_children,0
45 - 54,93,all_persons,2015-10-01,2015-10-31,Q11,unknown_household_type,0
55 - 61,55,all_persons,2015-10-01,2015-10-31,Q11,without_children,48
55 - 61,55,all_persons,2015-10-01,2015-10-31,Q11,with_children_and_adults,7
55 - 61,55,all_persons,2015-10-01,2015-10-31,Q11,with_only_children,0
55 - 61,55,all_persons,2015-10-01,2015-10-31,Q11,unknown_household_type,0
62 +,37,all_persons,2015-10-01,2015-10-31,Q11,without_children,35
62 +,37,all_persons,2015-10-01,2015-10-31,Q11,with_children_and_adults,2
62 +,37,all_persons,2015-10-01,2015-10-31,Q11,with_only_children,0
62 +,37,all_persons,2015-10-01,2015-10-31,Q11,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2015-10-01,2015-10-31,Q11,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-10-01,2015-10-31,Q11,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2015-10-01,2015-10-31,Q11,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-10-01,2015-10-31,Q11,unknown_household_type,0
Data Not Collected,1,all_persons,2015-10-01,2015-10-31,Q11,without_children,0
Data Not Collected,1,all_persons,2015-10-01,2015-10-31,Q11,with_children_and_adults,0
Data Not Collected,1,all_persons,2015-10-01,2015-10-31,Q11,with_only_children,0
Data Not Collected,1,all_persons,2015-10-01,2015-10-31,Q11,unknown_household_type,1
