conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,106,17,5,all_persons,2015-10-01,2015-10-31,Q13c1,without_children,84
Mental Health Disorder,106,17,5,all_persons,2015-10-01,2015-10-31,Q13c1,with_only_children,0
Mental Health Disorder,106,17,5,all_persons,2015-10-01,2015-10-31,Q13c1,unknown_household_type,0
Alcohol Use Disorder,15,1,0,all_persons,2015-10-01,2015-10-31,Q13c1,without_children,14
Alcohol Use Disorder,15,1,0,all_persons,2015-10-01,2015-10-31,Q13c1,with_only_children,0
Alcohol Use Disorder,15,1,0,all_persons,2015-10-01,2015-10-31,Q13c1,unknown_household_type,0
Drug Use Disorder,6,2,0,all_persons,2015-10-01,2015-10-31,Q13c1,without_children,4
Drug Use Disorder,6,2,0,all_persons,2015-10-01,2015-10-31,Q13c1,with_only_children,0
Drug Use Disorder,6,2,0,all_persons,2015-10-01,2015-10-31,Q13c1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,20,1,0,all_persons,2015-10-01,2015-10-31,Q13c1,without_children,19
Both Alcohol and Drug Use Disorders,20,1,0,all_persons,2015-10-01,2015-10-31,Q13c1,with_only_children,0
Both Alcohol and Drug Use Disorders,20,1,0,all_persons,2015-10-01,2015-10-31,Q13c1,unknown_household_type,0
Chronic Health Condition,42,6,4,all_persons,2015-10-01,2015-10-31,Q13c1,without_children,32
Chronic Health Condition,42,6,4,all_persons,2015-10-01,2015-10-31,Q13c1,with_only_children,0
Chronic Health Condition,42,6,4,all_persons,2015-10-01,2015-10-31,Q13c1,unknown_household_type,0
HIV/AIDS,84,2,0,all_persons,2015-10-01,2015-10-31,Q13c1,without_children,82
HIV/AIDS,84,2,0,all_persons,2015-10-01,2015-10-31,Q13c1,with_only_children,0
HIV/AIDS,84,2,0,all_persons,2015-10-01,2015-10-31,Q13c1,unknown_household_type,0
Development Disability,22,7,8,all_persons,2015-10-01,2015-10-31,Q13c1,without_children,7
Development Disability,22,7,8,all_persons,2015-10-01,2015-10-31,Q13c1,with_only_children,0
Development Disability,22,7,8,all_persons,2015-10-01,2015-10-31,Q13c1,unknown_household_type,0
Physical Disability,49,8,3,all_persons,2015-10-01,2015-10-31,Q13c1,without_children,38
Physical Disability,49,8,3,all_persons,2015-10-01,2015-10-31,Q13c1,with_only_children,0
Physical Disability,49,8,3,all_persons,2015-10-01,2015-10-31,Q13c1,unknown_household_type,0
