income_range,population,start_date,end_date,question,status,count
No Income,adults,2015-11-01,2015-11-30,Q16,income_at_start,153
No Income,adults,2015-11-01,2015-11-30,Q16,income_at_latest_annual_assessment_for_stayers,6
No Income,adults,2015-11-01,2015-11-30,Q16,income_at_exit_for_leavers,25
$1 -  $150,adults,2015-11-01,2015-11-30,Q16,income_at_start,4
$1 -  $150,adults,2015-11-01,2015-11-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$1 -  $150,adults,2015-11-01,2015-11-30,Q16,income_at_exit_for_leavers,1
$151 - $250,adults,2015-11-01,2015-11-30,Q16,income_at_start,6
$151 - $250,adults,2015-11-01,2015-11-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$151 - $250,adults,2015-11-01,2015-11-30,Q16,income_at_exit_for_leavers,2
$251 - $500,adults,2015-11-01,2015-11-30,Q16,income_at_start,18
$251 - $500,adults,2015-11-01,2015-11-30,Q16,income_at_latest_annual_assessment_for_stayers,2
$251 - $500,adults,2015-11-01,2015-11-30,Q16,income_at_exit_for_leavers,3
$501 - $1000,adults,2015-11-01,2015-11-30,Q16,income_at_start,83
$501 - $1000,adults,2015-11-01,2015-11-30,Q16,income_at_latest_annual_assessment_for_stayers,13
$501 - $1000,adults,2015-11-01,2015-11-30,Q16,income_at_exit_for_leavers,16
$1001 - $1500,adults,2015-11-01,2015-11-30,Q16,income_at_start,74
$1001 - $1500,adults,2015-11-01,2015-11-30,Q16,income_at_latest_annual_assessment_for_stayers,6
$1001 - $1500,adults,2015-11-01,2015-11-30,Q16,income_at_exit_for_leavers,18
$1501 - $2000,adults,2015-11-01,2015-11-30,Q16,income_at_start,28
$1501 - $2000,adults,2015-11-01,2015-11-30,Q16,income_at_latest_annual_assessment_for_stayers,1
$1501 - $2000,adults,2015-11-01,2015-11-30,Q16,income_at_exit_for_leavers,7
$2001+,adults,2015-11-01,2015-11-30,Q16,income_at_start,43
$2001+,adults,2015-11-01,2015-11-30,Q16,income_at_latest_annual_assessment_for_stayers,3
$2001+,adults,2015-11-01,2015-11-30,Q16,income_at_exit_for_leavers,13
Client Doesn't Know/Client Refused,adults,2015-11-01,2015-11-30,Q16,income_at_start,0
Client Doesn't Know/Client Refused,adults,2015-11-01,2015-11-30,Q16,income_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,adults,2015-11-01,2015-11-30,Q16,income_at_exit_for_leavers,0
Data Not Collected,adults,2015-11-01,2015-11-30,Q16,income_at_start,44
Data Not Collected,adults,2015-11-01,2015-11-30,Q16,income_at_latest_annual_assessment_for_stayers,1
Data Not Collected,adults,2015-11-01,2015-11-30,Q16,income_at_exit_for_leavers,7
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2015-11-01,2015-11-30,Q16,income_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2015-11-01,2015-11-30,Q16,income_at_latest_annual_assessment_for_stayers,262
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2015-11-01,2015-11-30,Q16,income_at_exit_for_leavers,0
Number of Adult Stayers without Required Annual Assessment,adults,2015-11-01,2015-11-30,Q16,income_at_start,0
Number of Adult Stayers without Required Annual Assessment,adults,2015-11-01,2015-11-30,Q16,income_at_latest_annual_assessment_for_stayers,67
Number of Adult Stayers without Required Annual Assessment,adults,2015-11-01,2015-11-30,Q16,income_at_exit_for_leavers,0
Total Adults,adults,2015-11-01,2015-11-30,Q16,income_at_start,453
Total Adults,adults,2015-11-01,2015-11-30,Q16,income_at_latest_annual_assessment_for_stayers,361
Total Adults,adults,2015-11-01,2015-11-30,Q16,income_at_exit_for_leavers,92
