health_insurance,population,start_date,end_date,question,status,count
MEDICAID,all_persons,2016-03-01,2016-03-31,Q21,at_start,202
MEDICAID,all_persons,2016-03-01,2016-03-31,Q21,at_annual_assessment_for_stayers,22
MEDICAID,all_persons,2016-03-01,2016-03-31,Q21,at_exit_for_leavers,61
MEDICARE,all_persons,2016-03-01,2016-03-31,Q21,at_start,56
MEDICARE,all_persons,2016-03-01,2016-03-31,Q21,at_annual_assessment_for_stayers,9
MEDICARE,all_persons,2016-03-01,2016-03-31,Q21,at_exit_for_leavers,10
State Children's Health Insurance Program,all_persons,2016-03-01,2016-03-31,Q21,at_start,9
State Children's Health Insurance Program,all_persons,2016-03-01,2016-03-31,Q21,at_annual_assessment_for_stayers,0
State Children's Health Insurance Program,all_persons,2016-03-01,2016-03-31,Q21,at_exit_for_leavers,2
Veteran's Administration (VA) Medical Services,all_persons,2016-03-01,2016-03-31,Q21,at_start,5
Veteran's Administration (VA) Medical Services,all_persons,2016-03-01,2016-03-31,Q21,at_annual_assessment_for_stayers,0
Veteran's Administration (VA) Medical Services,all_persons,2016-03-01,2016-03-31,Q21,at_exit_for_leavers,2
Employer - Provided Health Insurance,all_persons,2016-03-01,2016-03-31,Q21,at_start,34
Employer - Provided Health Insurance,all_persons,2016-03-01,2016-03-31,Q21,at_annual_assessment_for_stayers,0
Employer - Provided Health Insurance,all_persons,2016-03-01,2016-03-31,Q21,at_exit_for_leavers,6
Health Insurance obtained through COBRA,all_persons,2016-03-01,2016-03-31,Q21,at_start,1
Health Insurance obtained through COBRA,all_persons,2016-03-01,2016-03-31,Q21,at_annual_assessment_for_stayers,0
Health Insurance obtained through COBRA,all_persons,2016-03-01,2016-03-31,Q21,at_exit_for_leavers,1
Private Pay Health Insurance,all_persons,2016-03-01,2016-03-31,Q21,at_start,33
Private Pay Health Insurance,all_persons,2016-03-01,2016-03-31,Q21,at_annual_assessment_for_stayers,4
Private Pay Health Insurance,all_persons,2016-03-01,2016-03-31,Q21,at_exit_for_leavers,5
State Health Insurance for Adults,all_persons,2016-03-01,2016-03-31,Q21,at_start,7
State Health Insurance for Adults,all_persons,2016-03-01,2016-03-31,Q21,at_annual_assessment_for_stayers,1
State Health Insurance for Adults,all_persons,2016-03-01,2016-03-31,Q21,at_exit_for_leavers,2
Indian Health Services Program,all_persons,2016-03-01,2016-03-31,Q21,at_start,1
Indian Health Services Program,all_persons,2016-03-01,2016-03-31,Q21,at_annual_assessment_for_stayers,0
Indian Health Services Program,all_persons,2016-03-01,2016-03-31,Q21,at_exit_for_leavers,0
Other,all_persons,2016-03-01,2016-03-31,Q21,at_start,1
Other,all_persons,2016-03-01,2016-03-31,Q21,at_annual_assessment_for_stayers,0
Other,all_persons,2016-03-01,2016-03-31,Q21,at_exit_for_leavers,0
No Health Insurance,all_persons,2016-03-01,2016-03-31,Q21,at_start,267
No Health Insurance,all_persons,2016-03-01,2016-03-31,Q21,at_annual_assessment_for_stayers,8
No Health Insurance,all_persons,2016-03-01,2016-03-31,Q21,at_exit_for_leavers,82
Client Doesn't Know/Client Refused,all_persons,2016-03-01,2016-03-31,Q21,at_start,1
Client Doesn't Know/Client Refused,all_persons,2016-03-01,2016-03-31,Q21,at_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2016-03-01,2016-03-31,Q21,at_exit_for_leavers,1
Data Not Collected,all_persons,2016-03-01,2016-03-31,Q21,at_start,11
Data Not Collected,all_persons,2016-03-01,2016-03-31,Q21,at_annual_assessment_for_stayers,79
Data Not Collected,all_persons,2016-03-01,2016-03-31,Q21,at_exit_for_leavers,0
Number of Stayers not yet Required To Have an Annual Assessment,all_persons,2016-03-01,2016-03-31,Q21,at_start,0
Number of Stayers not yet Required To Have an Annual Assessment,all_persons,2016-03-01,2016-03-31,Q21,at_annual_assessment_for_stayers,301
Number of Stayers not yet Required To Have an Annual Assessment,all_persons,2016-03-01,2016-03-31,Q21,at_exit_for_leavers,0
1 Source of Health Insurance,all_persons,2016-03-01,2016-03-31,Q21,at_start,254
1 Source of Health Insurance,all_persons,2016-03-01,2016-03-31,Q21,at_annual_assessment_for_stayers,22
1 Source of Health Insurance,all_persons,2016-03-01,2016-03-31,Q21,at_exit_for_leavers,65
More than 1 Source of Health Insurance,all_persons,2016-03-01,2016-03-31,Q21,at_start,43
More than 1 Source of Health Insurance,all_persons,2016-03-01,2016-03-31,Q21,at_annual_assessment_for_stayers,7
More than 1 Source of Health Insurance,all_persons,2016-03-01,2016-03-31,Q21,at_exit_for_leavers,9
