income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,5,13,18,0.28,0,10,10,0.0,0,0,0,0.0,adults,2016-04-01,2016-04-30,Q19b
Supplemental Security Income (SSI),10,0,10,1.0,1,0,1,1.0,0,0,0,0.0,adults,2016-04-01,2016-04-30,Q19b
Social Security Disability Insurance (SSDI),6,0,6,1.0,1,0,1,1.0,0,0,0,0.0,adults,2016-04-01,2016-04-30,Q19b
VA Service-Connected Disability Compensation,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2016-04-01,2016-04-30,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2016-04-01,2016-04-30,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2016-04-01,2016-04-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0.0,1,2,3,0.33,0,0,0,0.0,adults,2016-04-01,2016-04-30,Q19b
Retirement Income from Social Security,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2016-04-01,2016-04-30,Q19b
Pension or retirement income from a former job,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2016-04-01,2016-04-30,Q19b
Child Support,0,0,0,0.0,0,2,2,0.0,0,0,0,0.0,adults,2016-04-01,2016-04-30,Q19b
Other source,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2016-04-01,2016-04-30,Q19b
No Sources,14,15,29,0.48,0,7,7,0.0,0,0,0,0.0,adults,2016-04-01,2016-04-30,Q19b
Unduplicated Total Adults,30,28,58,NA,1,20,21,NA,0,0,0,NA,adults,2016-04-01,2016-04-30,Q19b
