count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2016-06-01,2016-06-30,Q20b,benefit_at_entry,227
No Sources,all_persons,2016-06-01,2016-06-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,14
No Sources,all_persons,2016-06-01,2016-06-30,Q20b,benefit_at_exit_for_leavers,32
1 + Source(s),all_persons,2016-06-01,2016-06-30,Q20b,benefit_at_entry,122
1 + Source(s),all_persons,2016-06-01,2016-06-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,18
1 + Source(s),all_persons,2016-06-01,2016-06-30,Q20b,benefit_at_exit_for_leavers,35
Client Doesn't Know/Client Refused,all_persons,2016-06-01,2016-06-30,Q20b,benefit_at_entry,0
Client Doesn't Know/Client Refused,all_persons,2016-06-01,2016-06-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2016-06-01,2016-06-30,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2016-06-01,2016-06-30,Q20b,benefit_at_entry,29
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2016-06-01,2016-06-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,274
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2016-06-01,2016-06-30,Q20b,benefit_at_exit_for_leavers,5
