age_group,total,population,start_date,end_date,question,household_type,count
18 - 24,2,veterans,2016-10-01,2016-10-31,Q25d,without_children,1
18 - 24,2,veterans,2016-10-01,2016-10-31,Q25d,with_children_and_adults,1
18 - 24,2,veterans,2016-10-01,2016-10-31,Q25d,unknown_household_type,0
25 - 34,0,veterans,2016-10-01,2016-10-31,Q25d,without_children,0
25 - 34,0,veterans,2016-10-01,2016-10-31,Q25d,with_children_and_adults,0
25 - 34,0,veterans,2016-10-01,2016-10-31,Q25d,unknown_household_type,0
35 - 44,7,veterans,2016-10-01,2016-10-31,Q25d,without_children,4
35 - 44,7,veterans,2016-10-01,2016-10-31,Q25d,with_children_and_adults,3
35 - 44,7,veterans,2016-10-01,2016-10-31,Q25d,unknown_household_type,0
45 - 54,4,veterans,2016-10-01,2016-10-31,Q25d,without_children,4
45 - 54,4,veterans,2016-10-01,2016-10-31,Q25d,with_children_and_adults,0
45 - 54,4,veterans,2016-10-01,2016-10-31,Q25d,unknown_household_type,0
55 - 61,8,veterans,2016-10-01,2016-10-31,Q25d,without_children,8
55 - 61,8,veterans,2016-10-01,2016-10-31,Q25d,with_children_and_adults,0
55 - 61,8,veterans,2016-10-01,2016-10-31,Q25d,unknown_household_type,0
62 +,5,veterans,2016-10-01,2016-10-31,Q25d,without_children,5
62 +,5,veterans,2016-10-01,2016-10-31,Q25d,with_children_and_adults,0
62 +,5,veterans,2016-10-01,2016-10-31,Q25d,unknown_household_type,0
Client Doesn't Know/Client Refused,0,veterans,2016-10-01,2016-10-31,Q25d,without_children,0
Client Doesn't Know/Client Refused,0,veterans,2016-10-01,2016-10-31,Q25d,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,veterans,2016-10-01,2016-10-31,Q25d,unknown_household_type,0
Data Not Collected,0,veterans,2016-10-01,2016-10-31,Q25d,without_children,0
Data Not Collected,0,veterans,2016-10-01,2016-10-31,Q25d,with_children_and_adults,0
Data Not Collected,0,veterans,2016-10-01,2016-10-31,Q25d,unknown_household_type,0
