organization_name,organization_id,project_name,project_id,hmis_project_type,method_for_tracking_es,affiliated_with_a_residential_project,project_i_ds_of_affiliations,co_c_number,geocode,victim_service_provider,hmis_software_name,report_start_date,report_end_date,population,start_date,end_date,question
NA,NA,Blue Ridge Housing Network - Parent,1516,6,NA,0,NA,NA,NA,0,ServicePoint,2016-12-01,2016-12-31,NA,2016-12-01,2016-12-31,Q4a
Harrisonburg Community Health Center-Valley AIDS Network(VAN) - Western CoC,1449,Hburg Care Management - STRMU Prevention,1515,12,NA,NA,NA,VA-513,510726,0,ServicePoint,2016-12-01,2016-12-31,NA,2016-12-01,2016-12-31,Q4a
Shenandoah Alliance for Shelter,1191,Shenandoah Alliance for Shelter: HPP DHCD (Closed),1222,12,NA,NA,NA,VA-513,519171,0,ServicePoint,2016-12-01,2016-12-31,NA,2016-12-01,2016-12-31,Q4a
Winchester Rescue Mission - PARENT,1563,Winchester Rescue Mission Vouchers DHCD/VHSP CDBG,2039,1,0,NA,NA,VA-513,511674,0,ServicePoint,2016-12-01,2016-12-31,NA,2016-12-01,2016-12-31,Q4a
Western Virginia CoC - BFZ,1183,Front Royal Thermal Shelter - Parent,1806,7,NA,NA,NA,NA,NA,0,ServicePoint,2016-12-01,2016-12-31,NA,2016-12-01,2016-12-31,Q4a
Salvation Army of Winchester,1194,Salvation Army of Winchester: ES (HMIS Start 1-23-2021),1203,1,0,NA,NA,VA-513,519069,0,ServicePoint,2016-12-01,2016-12-31,NA,2016-12-01,2016-12-31,Q4a
Mercy House Parent,1286,Mercy House Z: HPP (closed),1292,12,NA,NA,NA,VA-513,510726,0,ServicePoint,2016-12-01,2016-12-31,NA,2016-12-01,2016-12-31,Q4a
Mercy House Parent,1286,Mercy House Z: HSG Rapid Rehousing (closed),1293,13,NA,NA,NA,VA-513,510726,0,ServicePoint,2016-12-01,2016-12-31,NA,2016-12-01,2016-12-31,Q4a
Western Virginia CoC - BFZ,1183,Phoenix Project CDBG Hotel/Motel Vouchers (HIC ONLY),2085,1,0,NA,NA,NA,NA,0,ServicePoint,2016-12-01,2016-12-31,NA,2016-12-01,2016-12-31,Q4a
Winchester Rescue Mission - PARENT,1563,Winchester Rescue Mission COVID 19,1866,1,0,NA,NA,VA-513,511674,0,ServicePoint,2016-12-01,2016-12-31,NA,2016-12-01,2016-12-31,Q4a
Mercy House Parent,1286,Mercy House ES COVID Self Funded Vouchers,1857,1,0,NA,NA,VA-513,510726,0,ServicePoint,2016-12-01,2016-12-31,NA,2016-12-01,2016-12-31,Q4a
Winchester Rescue Mission - PARENT,1563,Winchester Rescue Mission Men's Shelter CHERP,1565,1,0,NA,NA,VA-513,511674,0,ServicePoint,2016-12-01,2016-12-31,NA,2016-12-01,2016-12-31,Q4a
Strength in Peers  PARENT,1531,Strength in Peers Offender Reentry Program(closed),1536,6,NA,0,NA,VA-513,NA,0,ServicePoint,2016-12-01,2016-12-31,NA,2016-12-01,2016-12-31,Q4a
Homeward,2,Faithworks,1284,9,NA,NA,NA,NA,NA,0,ServicePoint,2016-12-01,2016-12-31,NA,2016-12-01,2016-12-31,Q4a
Western Virginia CoC - BFZ,1183,"Western SO - Unsheltered Hburg, Rham, Shen, Page",1686,4,NA,NA,NA,VA-513,510726,0,ServicePoint,2016-12-01,2016-12-31,NA,2016-12-01,2016-12-31,Q4a
NA,NA,Community Services Board,1325,NA,NA,NA,NA,NA,NA,0,ServicePoint,2016-12-01,2016-12-31,NA,2016-12-01,2016-12-31,Q4a
NA,NA,Harrisonburg & Rockingham Free Clinic (closed),1318,NA,NA,NA,NA,NA,NA,0,ServicePoint,2016-12-01,2016-12-31,NA,2016-12-01,2016-12-31,Q4a
Western Virginia CoC - BFZ,1183,House of Hope,1189,7,NA,NA,NA,NA,NA,0,ServicePoint,2016-12-01,2016-12-31,NA,2016-12-01,2016-12-31,Q4a
