number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_start,100
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_annual_assessment_stayers,3
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_exit_leavers,30
Adults with Only Other Income,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_start,127
Adults with Only Other Income,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_annual_assessment_stayers,18
Adults with Only Other Income,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_exit_leavers,25
Adults with Both Earned and Other Income,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_start,11
Adults with Both Earned and Other Income,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_annual_assessment_stayers,1
Adults with Both Earned and Other Income,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_exit_leavers,7
Adults with No Income,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_start,193
Adults with No Income,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_annual_assessment_stayers,16
Adults with No Income,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_exit_leavers,57
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_start,1
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_exit_leavers,1
Adults with Missing Income Information,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_start,7
Adults with Missing Income Information,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_annual_assessment_stayers,194
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_annual_assessment_stayers,87
Number of Adult Stayers without Required Annual Assessment,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_start,439
Total Adults,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_annual_assessment_stayers,319
Total Adults,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_exit_leavers,120
1 or More Source of Income,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_start,253
1 or More Source of Income,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_annual_assessment_stayers,25
1 or More Source of Income,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_exit_leavers,67
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_annual_assessment_stayers,38
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2017-03-01,2017-03-31,Q18,number_of_adults_at_exit_leavers,0
