report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,639,all_persons,2017-08-01,2017-08-31,Q5a
Number of Adults (age 18 or over),442,all_persons,2017-08-01,2017-08-31,Q5a
Number of Children (under age 18),195,all_persons,2017-08-01,2017-08-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2017-08-01,2017-08-31,Q5a
Number of Leavers,170,all_persons,2017-08-01,2017-08-31,Q5a
Number of Adult Leavers,102,all_persons,2017-08-01,2017-08-31,Q5a
Number of Adult and Head of Household Leavers,102,all_persons,2017-08-01,2017-08-31,Q5a
Number of Stayers,469,all_persons,2017-08-01,2017-08-31,Q5a
Number of Adult Stayers,340,all_persons,2017-08-01,2017-08-31,Q5a
Number of Veterans,28,all_persons,2017-08-01,2017-08-31,Q5a
Number of Chronically Homeless Persons,55,all_persons,2017-08-01,2017-08-31,Q5a
Number of Youth Under Age 25,21,all_persons,2017-08-01,2017-08-31,Q5a
Number of Parenting Youth Under Age 25 with Children,7,all_persons,2017-08-01,2017-08-31,Q5a
Number of Adult Heads of Household,355,all_persons,2017-08-01,2017-08-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2017-08-01,2017-08-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,138,all_persons,2017-08-01,2017-08-31,Q5a
