ch_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,62,all_households,2017-12-01,2017-12-31,Q26a,without_children,59
Chronically Homeless ,62,all_households,2017-12-01,2017-12-31,Q26a,with_children_and_adults,2
Chronically Homeless ,62,all_households,2017-12-01,2017-12-31,Q26a,with_only_children,1
Chronically Homeless ,62,all_households,2017-12-01,2017-12-31,Q26a,unknown_household_type,0
Not Chronically Homeless,277,all_households,2017-12-01,2017-12-31,Q26a,without_children,217
Not Chronically Homeless,277,all_households,2017-12-01,2017-12-31,Q26a,with_children_and_adults,60
Not Chronically Homeless,277,all_households,2017-12-01,2017-12-31,Q26a,with_only_children,0
Not Chronically Homeless,277,all_households,2017-12-01,2017-12-31,Q26a,unknown_household_type,0
Client Doesn't Know/Client Refused,6,all_households,2017-12-01,2017-12-31,Q26a,without_children,6
Client Doesn't Know/Client Refused,6,all_households,2017-12-01,2017-12-31,Q26a,with_children_and_adults,0
Client Doesn't Know/Client Refused,6,all_households,2017-12-01,2017-12-31,Q26a,with_only_children,0
Client Doesn't Know/Client Refused,6,all_households,2017-12-01,2017-12-31,Q26a,unknown_household_type,0
Data Not Collected,11,all_households,2017-12-01,2017-12-31,Q26a,without_children,11
Data Not Collected,11,all_households,2017-12-01,2017-12-31,Q26a,with_children_and_adults,0
Data Not Collected,11,all_households,2017-12-01,2017-12-31,Q26a,with_only_children,0
Data Not Collected,11,all_households,2017-12-01,2017-12-31,Q26a,unknown_household_type,0
