living_situation,total,population,start_date,end_date,question,category,household_type,count
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",101,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,without_children,76
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",101,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,with_children_and_adults,25
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",101,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,with_only_children,0
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",101,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,unknown_household_type,0
Transitional housing for homeless persons (including homeless youth),1,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,without_children,1
Transitional housing for homeless persons (including homeless youth),1,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,with_children_and_adults,0
Transitional housing for homeless persons (including homeless youth),1,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,with_only_children,0
Transitional housing for homeless persons (including homeless youth),1,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,unknown_household_type,0
Place not meant for human habitation,73,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,without_children,60
Place not meant for human habitation,73,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,with_children_and_adults,13
Place not meant for human habitation,73,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,with_only_children,0
Place not meant for human habitation,73,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,unknown_household_type,0
Safe Haven,0,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,without_children,0
Safe Haven,0,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,with_children_and_adults,0
Safe Haven,0,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,with_only_children,0
Safe Haven,0,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,unknown_household_type,0
Host Home,0,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,without_children,0
Host Home,0,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,with_children_and_adults,0
Host Home,0,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,with_only_children,0
Host Home,0,all_persons,2018-04-01,2018-04-30,Q15,Homeless Situations,unknown_household_type,0
Psychiatric hospital or other psychiatric facility,0,all_persons,2018-04-01,2018-04-30,Q15,Institutional Settings,without_children,0
Psychiatric hospital or other psychiatric facility,0,all_persons,2018-04-01,2018-04-30,Q15,Institutional Settings,with_children_and_adults,0
Psychiatric hospital or other psychiatric facility,0,all_persons,2018-04-01,2018-04-30,Q15,Institutional Settings,with_only_children,0
Psychiatric hospital or other psychiatric facility,0,all_persons,2018-04-01,2018-04-30,Q15,Institutional Settings,unknown_household_type,0
Substance abuse treatment facility or detox center,2,all_persons,2018-04-01,2018-04-30,Q15,Institutional Settings,without_children,2
Substance abuse treatment facility or detox center,2,all_persons,2018-04-01,2018-04-30,Q15,Institutional Settings,with_children_and_adults,0
Substance abuse treatment facility or detox center,2,all_persons,2018-04-01,2018-04-30,Q15,Institutional Settings,with_only_children,0
Substance abuse treatment facility or detox center,2,all_persons,2018-04-01,2018-04-30,Q15,Institutional Settings,unknown_household_type,0
