veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,16,all_households,2019-09-01,2019-09-30,Q25b,without_children,16
Chronically Homeless Veteran,16,all_households,2019-09-01,2019-09-30,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,16,all_households,2019-09-01,2019-09-30,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,22,all_households,2019-09-01,2019-09-30,Q25b,without_children,18
Non-Chronically Homeless Veteran,22,all_households,2019-09-01,2019-09-30,Q25b,with_children_and_adults,3
Non-Chronically Homeless Veteran,22,all_households,2019-09-01,2019-09-30,Q25b,unknown_household_type,1
Not a Veteran,624,all_households,2019-09-01,2019-09-30,Q25b,without_children,487
Not a Veteran,624,all_households,2019-09-01,2019-09-30,Q25b,with_children_and_adults,137
Not a Veteran,624,all_households,2019-09-01,2019-09-30,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_households,2019-09-01,2019-09-30,Q25b,without_children,0
Client Doesn't Know/Client Refused,0,all_households,2019-09-01,2019-09-30,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_households,2019-09-01,2019-09-30,Q25b,unknown_household_type,0
Data Not Collected,3,all_households,2019-09-01,2019-09-30,Q25b,without_children,1
Data Not Collected,3,all_households,2019-09-01,2019-09-30,Q25b,with_children_and_adults,2
Data Not Collected,3,all_households,2019-09-01,2019-09-30,Q25b,unknown_household_type,0
