count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,469,118,206,stayers,2019-10-01,2019-10-31,Q13c2,without_children,123
None,469,118,206,stayers,2019-10-01,2019-10-31,Q13c2,with_only_children,13
None,469,118,206,stayers,2019-10-01,2019-10-31,Q13c2,unknown_household_type,9
1 Condition,168,25,8,stayers,2019-10-01,2019-10-31,Q13c2,without_children,134
1 Condition,168,25,8,stayers,2019-10-01,2019-10-31,Q13c2,with_only_children,0
1 Condition,168,25,8,stayers,2019-10-01,2019-10-31,Q13c2,unknown_household_type,1
2 Conditions,75,7,2,stayers,2019-10-01,2019-10-31,Q13c2,without_children,66
2 Conditions,75,7,2,stayers,2019-10-01,2019-10-31,Q13c2,with_only_children,0
2 Conditions,75,7,2,stayers,2019-10-01,2019-10-31,Q13c2,unknown_household_type,0
3+ Conditions,48,1,0,stayers,2019-10-01,2019-10-31,Q13c2,without_children,47
3+ Conditions,48,1,0,stayers,2019-10-01,2019-10-31,Q13c2,with_only_children,0
3+ Conditions,48,1,0,stayers,2019-10-01,2019-10-31,Q13c2,unknown_household_type,0
Condition Unknown,13,1,0,stayers,2019-10-01,2019-10-31,Q13c2,without_children,12
Condition Unknown,13,1,0,stayers,2019-10-01,2019-10-31,Q13c2,with_only_children,0
Condition Unknown,13,1,0,stayers,2019-10-01,2019-10-31,Q13c2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2019-10-01,2019-10-31,Q13c2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2019-10-01,2019-10-31,Q13c2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2019-10-01,2019-10-31,Q13c2,unknown_household_type,0
Data Not Collected,63,13,38,stayers,2019-10-01,2019-10-31,Q13c2,without_children,7
Data Not Collected,63,13,38,stayers,2019-10-01,2019-10-31,Q13c2,with_only_children,2
Data Not Collected,63,13,38,stayers,2019-10-01,2019-10-31,Q13c2,unknown_household_type,3
