conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,193,21,5,start,2019-11-01,2019-11-30,Q13a1,without_children,167
Mental Health Disorder,193,21,5,start,2019-11-01,2019-11-30,Q13a1,with_only_children,0
Mental Health Disorder,193,21,5,start,2019-11-01,2019-11-30,Q13a1,unknown_household_type,0
Alcohol Use Disorder,36,0,0,start,2019-11-01,2019-11-30,Q13a1,without_children,36
Alcohol Use Disorder,36,0,0,start,2019-11-01,2019-11-30,Q13a1,with_only_children,0
Alcohol Use Disorder,36,0,0,start,2019-11-01,2019-11-30,Q13a1,unknown_household_type,0
Drug Use Disorder,24,3,0,start,2019-11-01,2019-11-30,Q13a1,without_children,21
Drug Use Disorder,24,3,0,start,2019-11-01,2019-11-30,Q13a1,with_only_children,0
Drug Use Disorder,24,3,0,start,2019-11-01,2019-11-30,Q13a1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,30,1,0,start,2019-11-01,2019-11-30,Q13a1,without_children,29
Both Alcohol and Drug Use Disorders,30,1,0,start,2019-11-01,2019-11-30,Q13a1,with_only_children,0
Both Alcohol and Drug Use Disorders,30,1,0,start,2019-11-01,2019-11-30,Q13a1,unknown_household_type,0
Chronic Health Condition,94,9,1,start,2019-11-01,2019-11-30,Q13a1,without_children,84
Chronic Health Condition,94,9,1,start,2019-11-01,2019-11-30,Q13a1,with_only_children,0
Chronic Health Condition,94,9,1,start,2019-11-01,2019-11-30,Q13a1,unknown_household_type,0
HIV/AIDS,88,5,0,start,2019-11-01,2019-11-30,Q13a1,without_children,83
HIV/AIDS,88,5,0,start,2019-11-01,2019-11-30,Q13a1,with_only_children,0
HIV/AIDS,88,5,0,start,2019-11-01,2019-11-30,Q13a1,unknown_household_type,0
Development Disability,41,2,8,start,2019-11-01,2019-11-30,Q13a1,without_children,30
Development Disability,41,2,8,start,2019-11-01,2019-11-30,Q13a1,with_only_children,0
Development Disability,41,2,8,start,2019-11-01,2019-11-30,Q13a1,unknown_household_type,1
Physical Disability,121,13,1,start,2019-11-01,2019-11-30,Q13a1,without_children,107
Physical Disability,121,13,1,start,2019-11-01,2019-11-30,Q13a1,with_only_children,0
Physical Disability,121,13,1,start,2019-11-01,2019-11-30,Q13a1,unknown_household_type,0
