count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,556,122,194,start,2020-03-01,2020-03-31,Q13a2,without_children,219
None,556,122,194,start,2020-03-01,2020-03-31,Q13a2,with_only_children,12
None,556,122,194,start,2020-03-01,2020-03-31,Q13a2,unknown_household_type,9
1 Condition,235,27,8,start,2020-03-01,2020-03-31,Q13a2,without_children,199
1 Condition,235,27,8,start,2020-03-01,2020-03-31,Q13a2,with_only_children,0
1 Condition,235,27,8,start,2020-03-01,2020-03-31,Q13a2,unknown_household_type,1
2 Conditions,121,7,4,start,2020-03-01,2020-03-31,Q13a2,without_children,110
2 Conditions,121,7,4,start,2020-03-01,2020-03-31,Q13a2,with_only_children,0
2 Conditions,121,7,4,start,2020-03-01,2020-03-31,Q13a2,unknown_household_type,0
3+ Conditions,89,2,0,start,2020-03-01,2020-03-31,Q13a2,without_children,87
3+ Conditions,89,2,0,start,2020-03-01,2020-03-31,Q13a2,with_only_children,0
3+ Conditions,89,2,0,start,2020-03-01,2020-03-31,Q13a2,unknown_household_type,0
Condition Unknown,56,2,1,start,2020-03-01,2020-03-31,Q13a2,without_children,53
Condition Unknown,56,2,1,start,2020-03-01,2020-03-31,Q13a2,with_only_children,0
Condition Unknown,56,2,1,start,2020-03-01,2020-03-31,Q13a2,unknown_household_type,0
Client Doesn't Know/Client Refused,2,0,0,start,2020-03-01,2020-03-31,Q13a2,without_children,2
Client Doesn't Know/Client Refused,2,0,0,start,2020-03-01,2020-03-31,Q13a2,with_only_children,0
Client Doesn't Know/Client Refused,2,0,0,start,2020-03-01,2020-03-31,Q13a2,unknown_household_type,0
Data Not Collected,53,8,29,start,2020-03-01,2020-03-31,Q13a2,without_children,10
Data Not Collected,53,8,29,start,2020-03-01,2020-03-31,Q13a2,with_only_children,3
Data Not Collected,53,8,29,start,2020-03-01,2020-03-31,Q13a2,unknown_household_type,3
