persons_served,total,population,start_date,end_date,question,household_type,count
Adults,831,all_persons,2020-05-01,2020-05-31,Q7a,without_children,678
Adults,831,all_persons,2020-05-01,2020-05-31,Q7a,with_children_and_adults,150
Adults,831,all_persons,2020-05-01,2020-05-31,Q7a,with_only_children,0
Adults,831,all_persons,2020-05-01,2020-05-31,Q7a,unknown_household_type,3
Children,233,all_persons,2020-05-01,2020-05-31,Q7a,without_children,0
Children,233,all_persons,2020-05-01,2020-05-31,Q7a,with_children_and_adults,218
Children,233,all_persons,2020-05-01,2020-05-31,Q7a,with_only_children,15
Children,233,all_persons,2020-05-01,2020-05-31,Q7a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2020-05-01,2020-05-31,Q7a,without_children,0
Client Doesn't Know/Client Refused,1,all_persons,2020-05-01,2020-05-31,Q7a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2020-05-01,2020-05-31,Q7a,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2020-05-01,2020-05-31,Q7a,unknown_household_type,1
Data Not Collected,8,all_persons,2020-05-01,2020-05-31,Q7a,without_children,0
Data Not Collected,8,all_persons,2020-05-01,2020-05-31,Q7a,with_children_and_adults,0
Data Not Collected,8,all_persons,2020-05-01,2020-05-31,Q7a,with_only_children,0
Data Not Collected,8,all_persons,2020-05-01,2020-05-31,Q7a,unknown_household_type,8
For PSH and RRH - the total persons served who moved into housing,119,all_persons,2020-05-01,2020-05-31,Q7a,without_children,84
For PSH and RRH - the total persons served who moved into housing,119,all_persons,2020-05-01,2020-05-31,Q7a,with_children_and_adults,35
For PSH and RRH - the total persons served who moved into housing,119,all_persons,2020-05-01,2020-05-31,Q7a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,119,all_persons,2020-05-01,2020-05-31,Q7a,unknown_household_type,0
