count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,517,107,187,all_persons,2020-06-01,2020-06-30,Q13a2,without_children,203
None,517,107,187,all_persons,2020-06-01,2020-06-30,Q13a2,with_only_children,12
None,517,107,187,all_persons,2020-06-01,2020-06-30,Q13a2,unknown_household_type,8
1 Condition,246,26,12,all_persons,2020-06-01,2020-06-30,Q13a2,without_children,207
1 Condition,246,26,12,all_persons,2020-06-01,2020-06-30,Q13a2,with_only_children,0
1 Condition,246,26,12,all_persons,2020-06-01,2020-06-30,Q13a2,unknown_household_type,1
2 Conditions,122,6,3,all_persons,2020-06-01,2020-06-30,Q13a2,without_children,113
2 Conditions,122,6,3,all_persons,2020-06-01,2020-06-30,Q13a2,with_only_children,0
2 Conditions,122,6,3,all_persons,2020-06-01,2020-06-30,Q13a2,unknown_household_type,0
3+ Conditions,90,1,0,all_persons,2020-06-01,2020-06-30,Q13a2,without_children,89
3+ Conditions,90,1,0,all_persons,2020-06-01,2020-06-30,Q13a2,with_only_children,0
3+ Conditions,90,1,0,all_persons,2020-06-01,2020-06-30,Q13a2,unknown_household_type,0
Condition Unknown,64,2,0,all_persons,2020-06-01,2020-06-30,Q13a2,without_children,62
Condition Unknown,64,2,0,all_persons,2020-06-01,2020-06-30,Q13a2,with_only_children,0
Condition Unknown,64,2,0,all_persons,2020-06-01,2020-06-30,Q13a2,unknown_household_type,0
Client Doesn't Know/Client Refused,1,0,0,all_persons,2020-06-01,2020-06-30,Q13a2,without_children,1
Client Doesn't Know/Client Refused,1,0,0,all_persons,2020-06-01,2020-06-30,Q13a2,with_only_children,0
Client Doesn't Know/Client Refused,1,0,0,all_persons,2020-06-01,2020-06-30,Q13a2,unknown_household_type,0
Data Not Collected,54,9,28,all_persons,2020-06-01,2020-06-30,Q13a2,without_children,11
Data Not Collected,54,9,28,all_persons,2020-06-01,2020-06-30,Q13a2,with_only_children,3
Data Not Collected,54,9,28,all_persons,2020-06-01,2020-06-30,Q13a2,unknown_household_type,3
