gender_identity,total,population,start_date,end_date,question,household_type,count
Male,525,adults,2020-12-01,2020-12-31,Q10a,without_children,474
Male,525,adults,2020-12-01,2020-12-31,Q10a,with_children_and_adults,48
Male,525,adults,2020-12-01,2020-12-31,Q10a,unknown_household_type,3
Female,422,adults,2020-12-01,2020-12-31,Q10a,without_children,298
Female,422,adults,2020-12-01,2020-12-31,Q10a,with_children_and_adults,123
Female,422,adults,2020-12-01,2020-12-31,Q10a,unknown_household_type,1
No Single Gender,2,adults,2020-12-01,2020-12-31,Q10a,without_children,2
No Single Gender,2,adults,2020-12-01,2020-12-31,Q10a,with_children_and_adults,0
No Single Gender,2,adults,2020-12-01,2020-12-31,Q10a,unknown_household_type,0
Questioning,0,adults,2020-12-01,2020-12-31,Q10a,without_children,0
Questioning,0,adults,2020-12-01,2020-12-31,Q10a,with_children_and_adults,0
Questioning,0,adults,2020-12-01,2020-12-31,Q10a,unknown_household_type,0
Transgender,5,adults,2020-12-01,2020-12-31,Q10a,without_children,5
Transgender,5,adults,2020-12-01,2020-12-31,Q10a,with_children_and_adults,0
Transgender,5,adults,2020-12-01,2020-12-31,Q10a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,adults,2020-12-01,2020-12-31,Q10a,without_children,0
Client Doesn't Know/Client Refused,0,adults,2020-12-01,2020-12-31,Q10a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,adults,2020-12-01,2020-12-31,Q10a,unknown_household_type,0
Data Not Collected,0,adults,2020-12-01,2020-12-31,Q10a,without_children,0
Data Not Collected,0,adults,2020-12-01,2020-12-31,Q10a,with_children_and_adults,0
Data Not Collected,0,adults,2020-12-01,2020-12-31,Q10a,unknown_household_type,0
