conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,30,1,0,all_persons,2022-02-01,2022-02-28,Q13b1,without_children,29
Mental Health Disorder,30,1,0,all_persons,2022-02-01,2022-02-28,Q13b1,with_only_children,0
Mental Health Disorder,30,1,0,all_persons,2022-02-01,2022-02-28,Q13b1,unknown_household_type,0
Alcohol Use Disorder,5,0,0,all_persons,2022-02-01,2022-02-28,Q13b1,without_children,5
Alcohol Use Disorder,5,0,0,all_persons,2022-02-01,2022-02-28,Q13b1,with_only_children,0
Alcohol Use Disorder,5,0,0,all_persons,2022-02-01,2022-02-28,Q13b1,unknown_household_type,0
Drug Use Disorder,6,1,0,all_persons,2022-02-01,2022-02-28,Q13b1,without_children,5
Drug Use Disorder,6,1,0,all_persons,2022-02-01,2022-02-28,Q13b1,with_only_children,0
Drug Use Disorder,6,1,0,all_persons,2022-02-01,2022-02-28,Q13b1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,4,0,0,all_persons,2022-02-01,2022-02-28,Q13b1,without_children,4
Both Alcohol and Drug Use Disorders,4,0,0,all_persons,2022-02-01,2022-02-28,Q13b1,with_only_children,0
Both Alcohol and Drug Use Disorders,4,0,0,all_persons,2022-02-01,2022-02-28,Q13b1,unknown_household_type,0
Chronic Health Condition,18,0,0,all_persons,2022-02-01,2022-02-28,Q13b1,without_children,18
Chronic Health Condition,18,0,0,all_persons,2022-02-01,2022-02-28,Q13b1,with_only_children,0
Chronic Health Condition,18,0,0,all_persons,2022-02-01,2022-02-28,Q13b1,unknown_household_type,0
HIV/AIDS,0,0,0,all_persons,2022-02-01,2022-02-28,Q13b1,without_children,0
HIV/AIDS,0,0,0,all_persons,2022-02-01,2022-02-28,Q13b1,with_only_children,0
HIV/AIDS,0,0,0,all_persons,2022-02-01,2022-02-28,Q13b1,unknown_household_type,0
Development Disability,7,0,2,all_persons,2022-02-01,2022-02-28,Q13b1,without_children,5
Development Disability,7,0,2,all_persons,2022-02-01,2022-02-28,Q13b1,with_only_children,0
Development Disability,7,0,2,all_persons,2022-02-01,2022-02-28,Q13b1,unknown_household_type,0
Physical Disability,22,1,1,all_persons,2022-02-01,2022-02-28,Q13b1,without_children,20
Physical Disability,22,1,1,all_persons,2022-02-01,2022-02-28,Q13b1,with_only_children,0
Physical Disability,22,1,1,all_persons,2022-02-01,2022-02-28,Q13b1,unknown_household_type,0
