count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,103,26,31,exit,2022-02-01,2022-02-28,Q13b2,without_children,46
None,103,26,31,exit,2022-02-01,2022-02-28,Q13b2,with_only_children,0
None,103,26,31,exit,2022-02-01,2022-02-28,Q13b2,unknown_household_type,0
1 Condition,29,1,3,exit,2022-02-01,2022-02-28,Q13b2,without_children,25
1 Condition,29,1,3,exit,2022-02-01,2022-02-28,Q13b2,with_only_children,0
1 Condition,29,1,3,exit,2022-02-01,2022-02-28,Q13b2,unknown_household_type,0
2 Conditions,18,1,0,exit,2022-02-01,2022-02-28,Q13b2,without_children,17
2 Conditions,18,1,0,exit,2022-02-01,2022-02-28,Q13b2,with_only_children,0
2 Conditions,18,1,0,exit,2022-02-01,2022-02-28,Q13b2,unknown_household_type,0
3+ Conditions,9,0,0,exit,2022-02-01,2022-02-28,Q13b2,without_children,9
3+ Conditions,9,0,0,exit,2022-02-01,2022-02-28,Q13b2,with_only_children,0
3+ Conditions,9,0,0,exit,2022-02-01,2022-02-28,Q13b2,unknown_household_type,0
Condition Unknown,23,2,0,exit,2022-02-01,2022-02-28,Q13b2,without_children,21
Condition Unknown,23,2,0,exit,2022-02-01,2022-02-28,Q13b2,with_only_children,0
Condition Unknown,23,2,0,exit,2022-02-01,2022-02-28,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,exit,2022-02-01,2022-02-28,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2022-02-01,2022-02-28,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2022-02-01,2022-02-28,Q13b2,unknown_household_type,0
Data Not Collected,20,3,16,exit,2022-02-01,2022-02-28,Q13b2,without_children,0
Data Not Collected,20,3,16,exit,2022-02-01,2022-02-28,Q13b2,with_only_children,0
Data Not Collected,20,3,16,exit,2022-02-01,2022-02-28,Q13b2,unknown_household_type,0
