count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,136,43,34,all_persons,2022-06-01,2022-06-30,Q13b2,without_children,59
None,136,43,34,all_persons,2022-06-01,2022-06-30,Q13b2,with_only_children,0
None,136,43,34,all_persons,2022-06-01,2022-06-30,Q13b2,unknown_household_type,0
1 Condition,36,6,3,all_persons,2022-06-01,2022-06-30,Q13b2,without_children,27
1 Condition,36,6,3,all_persons,2022-06-01,2022-06-30,Q13b2,with_only_children,0
1 Condition,36,6,3,all_persons,2022-06-01,2022-06-30,Q13b2,unknown_household_type,0
2 Conditions,28,1,2,all_persons,2022-06-01,2022-06-30,Q13b2,without_children,25
2 Conditions,28,1,2,all_persons,2022-06-01,2022-06-30,Q13b2,with_only_children,0
2 Conditions,28,1,2,all_persons,2022-06-01,2022-06-30,Q13b2,unknown_household_type,0
3+ Conditions,18,0,0,all_persons,2022-06-01,2022-06-30,Q13b2,without_children,18
3+ Conditions,18,0,0,all_persons,2022-06-01,2022-06-30,Q13b2,with_only_children,0
3+ Conditions,18,0,0,all_persons,2022-06-01,2022-06-30,Q13b2,unknown_household_type,0
Condition Unknown,33,9,2,all_persons,2022-06-01,2022-06-30,Q13b2,without_children,22
Condition Unknown,33,9,2,all_persons,2022-06-01,2022-06-30,Q13b2,with_only_children,0
Condition Unknown,33,9,2,all_persons,2022-06-01,2022-06-30,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2022-06-01,2022-06-30,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2022-06-01,2022-06-30,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2022-06-01,2022-06-30,Q13b2,unknown_household_type,0
Data Not Collected,73,5,64,all_persons,2022-06-01,2022-06-30,Q13b2,without_children,4
Data Not Collected,73,5,64,all_persons,2022-06-01,2022-06-30,Q13b2,with_only_children,0
Data Not Collected,73,5,64,all_persons,2022-06-01,2022-06-30,Q13b2,unknown_household_type,0
