exit_destination,total,population,start_date,end_date,question,category,household_type,count
Moved from one HOPWA funded project to HOPWA PH,0,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,without_children,0
Moved from one HOPWA funded project to HOPWA PH,0,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,with_children_and_adults,0
Moved from one HOPWA funded project to HOPWA PH,0,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,with_only_children,0
Moved from one HOPWA funded project to HOPWA PH,0,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,unknown_household_type,0
"Owned by client, no ongoing subsidy",0,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,without_children,0
"Owned by client, no ongoing subsidy",0,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,with_children_and_adults,0
"Owned by client, no ongoing subsidy",0,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,with_only_children,0
"Owned by client, no ongoing subsidy",0,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,unknown_household_type,0
"Owned by client, with ongoing subsidy",0,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,without_children,0
"Owned by client, with ongoing subsidy",0,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,with_children_and_adults,0
"Owned by client, with ongoing subsidy",0,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,with_only_children,0
"Owned by client, with ongoing subsidy",0,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,unknown_household_type,0
"Rental by client, no ongoing subsidy",96,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,without_children,44
"Rental by client, no ongoing subsidy",96,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,with_children_and_adults,52
"Rental by client, no ongoing subsidy",96,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,with_only_children,0
"Rental by client, no ongoing subsidy",96,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,unknown_household_type,0
"Rental by client, with VASH subsidy",0,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,without_children,0
"Rental by client, with VASH subsidy",0,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,with_children_and_adults,0
"Rental by client, with VASH subsidy",0,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,with_only_children,0
"Rental by client, with VASH subsidy",0,all_persons,2022-07-01,2022-07-31,Q23c,Permanent Destinations,unknown_household_type,0
