time_prior_to_housing,total,population,start_date,end_date,question,household_type,count
7 days or less,174,all_persons,2022-08-01,2022-08-31,Q22e,without_children,115
7 days or less,174,all_persons,2022-08-01,2022-08-31,Q22e,with_children_and_adults,59
7 days or less,174,all_persons,2022-08-01,2022-08-31,Q22e,with_only_children,0
7 days or less,174,all_persons,2022-08-01,2022-08-31,Q22e,unknown_household_type,0
8 to 14 days,32,all_persons,2022-08-01,2022-08-31,Q22e,without_children,24
8 to 14 days,32,all_persons,2022-08-01,2022-08-31,Q22e,with_children_and_adults,8
8 to 14 days,32,all_persons,2022-08-01,2022-08-31,Q22e,with_only_children,0
8 to 14 days,32,all_persons,2022-08-01,2022-08-31,Q22e,unknown_household_type,0
15 to 21 days,18,all_persons,2022-08-01,2022-08-31,Q22e,without_children,18
15 to 21 days,18,all_persons,2022-08-01,2022-08-31,Q22e,with_children_and_adults,0
15 to 21 days,18,all_persons,2022-08-01,2022-08-31,Q22e,with_only_children,0
15 to 21 days,18,all_persons,2022-08-01,2022-08-31,Q22e,unknown_household_type,0
22 to 30 days,12,all_persons,2022-08-01,2022-08-31,Q22e,without_children,10
22 to 30 days,12,all_persons,2022-08-01,2022-08-31,Q22e,with_children_and_adults,2
22 to 30 days,12,all_persons,2022-08-01,2022-08-31,Q22e,with_only_children,0
22 to 30 days,12,all_persons,2022-08-01,2022-08-31,Q22e,unknown_household_type,0
31 to 60 days,25,all_persons,2022-08-01,2022-08-31,Q22e,without_children,20
31 to 60 days,25,all_persons,2022-08-01,2022-08-31,Q22e,with_children_and_adults,5
31 to 60 days,25,all_persons,2022-08-01,2022-08-31,Q22e,with_only_children,0
31 to 60 days,25,all_persons,2022-08-01,2022-08-31,Q22e,unknown_household_type,0
61 to 180 days,100,all_persons,2022-08-01,2022-08-31,Q22e,without_children,72
61 to 180 days,100,all_persons,2022-08-01,2022-08-31,Q22e,with_children_and_adults,28
61 to 180 days,100,all_persons,2022-08-01,2022-08-31,Q22e,with_only_children,0
61 to 180 days,100,all_persons,2022-08-01,2022-08-31,Q22e,unknown_household_type,0
181 to 365 days,61,all_persons,2022-08-01,2022-08-31,Q22e,without_children,50
181 to 365 days,61,all_persons,2022-08-01,2022-08-31,Q22e,with_children_and_adults,10
181 to 365 days,61,all_persons,2022-08-01,2022-08-31,Q22e,with_only_children,1
181 to 365 days,61,all_persons,2022-08-01,2022-08-31,Q22e,unknown_household_type,0
366-730 days (1-2 years),48,all_persons,2022-08-01,2022-08-31,Q22e,without_children,48
366-730 days (1-2 years),48,all_persons,2022-08-01,2022-08-31,Q22e,with_children_and_adults,0
366-730 days (1-2 years),48,all_persons,2022-08-01,2022-08-31,Q22e,with_only_children,0
366-730 days (1-2 years),48,all_persons,2022-08-01,2022-08-31,Q22e,unknown_household_type,0
731 days or more,115,all_persons,2022-08-01,2022-08-31,Q22e,without_children,102
731 days or more,115,all_persons,2022-08-01,2022-08-31,Q22e,with_children_and_adults,11
731 days or more,115,all_persons,2022-08-01,2022-08-31,Q22e,with_only_children,2
731 days or more,115,all_persons,2022-08-01,2022-08-31,Q22e,unknown_household_type,0
Total (persons moved into housing),585,all_persons,2022-08-01,2022-08-31,Q22e,without_children,459
Total (persons moved into housing),585,all_persons,2022-08-01,2022-08-31,Q22e,with_children_and_adults,123
Total (persons moved into housing),585,all_persons,2022-08-01,2022-08-31,Q22e,with_only_children,3
Total (persons moved into housing),585,all_persons,2022-08-01,2022-08-31,Q22e,unknown_household_type,0
Not yet moved into housing,42,all_persons,2022-08-01,2022-08-31,Q22e,without_children,25
Not yet moved into housing,42,all_persons,2022-08-01,2022-08-31,Q22e,with_children_and_adults,17
Not yet moved into housing,42,all_persons,2022-08-01,2022-08-31,Q22e,with_only_children,0
Not yet moved into housing,42,all_persons,2022-08-01,2022-08-31,Q22e,unknown_household_type,0
Data not collected,86,all_persons,2022-08-01,2022-08-31,Q22e,without_children,39
Data not collected,86,all_persons,2022-08-01,2022-08-31,Q22e,with_children_and_adults,34
Data not collected,86,all_persons,2022-08-01,2022-08-31,Q22e,with_only_children,8
Data not collected,86,all_persons,2022-08-01,2022-08-31,Q22e,unknown_household_type,5
Total persons,713,all_persons,2022-08-01,2022-08-31,Q22e,without_children,523
Total persons,713,all_persons,2022-08-01,2022-08-31,Q22e,with_children_and_adults,174
Total persons,713,all_persons,2022-08-01,2022-08-31,Q22e,with_only_children,11
Total persons,713,all_persons,2022-08-01,2022-08-31,Q22e,unknown_household_type,5
