conditions,population,start_date,end_date,question,status,count
Mental Health Disorder,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_start,100
Mental Health Disorder,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_latest_assessment_for_stayers,97
Mental Health Disorder,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_exit_for_leavers,3
Alcohol Use Disorder,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_start,22
Alcohol Use Disorder,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_latest_assessment_for_stayers,20
Alcohol Use Disorder,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_exit_for_leavers,2
Drug Use Disorder,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_start,18
Drug Use Disorder,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_latest_assessment_for_stayers,17
Drug Use Disorder,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_exit_for_leavers,1
Both Alcohol and Drug Use Disorders,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_start,25
Both Alcohol and Drug Use Disorders,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_latest_assessment_for_stayers,25
Both Alcohol and Drug Use Disorders,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_exit_for_leavers,0
Chronic Health Condition,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_start,59
Chronic Health Condition,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_latest_assessment_for_stayers,57
Chronic Health Condition,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_exit_for_leavers,2
HIV/AIDS,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_start,5
HIV/AIDS,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_latest_assessment_for_stayers,5
HIV/AIDS,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_exit_for_leavers,0
Development Disability,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_start,24
Development Disability,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_latest_assessment_for_stayers,24
Development Disability,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_exit_for_leavers,0
Physical Disability,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_start,68
Physical Disability,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_latest_assessment_for_stayers,65
Physical Disability,chronically_homeless,2022-08-01,2022-08-31,Q26e,conditions_at_exit_for_leavers,3
