length_participation,total,population,start_date,end_date,question,status,count
30 days or less,22,youth,2022-08-01,2022-08-31,Q27e,leavers,14
30 days or less,22,youth,2022-08-01,2022-08-31,Q27e,stayers,8
31 to 60 days,2,youth,2022-08-01,2022-08-31,Q27e,leavers,0
31 to 60 days,2,youth,2022-08-01,2022-08-31,Q27e,stayers,2
61 to 90 days,5,youth,2022-08-01,2022-08-31,Q27e,leavers,0
61 to 90 days,5,youth,2022-08-01,2022-08-31,Q27e,stayers,5
91 to 180 days,20,youth,2022-08-01,2022-08-31,Q27e,leavers,1
91 to 180 days,20,youth,2022-08-01,2022-08-31,Q27e,stayers,19
181 to 365 days,25,youth,2022-08-01,2022-08-31,Q27e,leavers,0
181 to 365 days,25,youth,2022-08-01,2022-08-31,Q27e,stayers,25
366 to 730 Days (1-2 Yrs),11,youth,2022-08-01,2022-08-31,Q27e,leavers,0
366 to 730 Days (1-2 Yrs),11,youth,2022-08-01,2022-08-31,Q27e,stayers,11
"731 to 1,095 Days (2-3 Yrs)",5,youth,2022-08-01,2022-08-31,Q27e,leavers,0
"731 to 1,095 Days (2-3 Yrs)",5,youth,2022-08-01,2022-08-31,Q27e,stayers,5
"1,096 to 1,460 Days (3-4 Yrs)",5,youth,2022-08-01,2022-08-31,Q27e,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",5,youth,2022-08-01,2022-08-31,Q27e,stayers,5
"1,461 to 1,825 Days (5-5 Yrs)",7,youth,2022-08-01,2022-08-31,Q27e,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",7,youth,2022-08-01,2022-08-31,Q27e,stayers,7
"More than 1,825 Days (>5 Yrs)",6,youth,2022-08-01,2022-08-31,Q27e,leavers,0
"More than 1,825 Days (>5 Yrs)",6,youth,2022-08-01,2022-08-31,Q27e,stayers,6
Data Not Collected,0,youth,2022-08-01,2022-08-31,Q27e,leavers,0
Data Not Collected,0,youth,2022-08-01,2022-08-31,Q27e,stayers,0
