gender_identity,total,population,start_date,end_date,question,household_type,count
Male,67,children,2014-11-01,2014-11-30,Q10b,with_children_and_adults,67
Male,67,children,2014-11-01,2014-11-30,Q10b,with_only_children,0
Male,67,children,2014-11-01,2014-11-30,Q10b,unknown_household_type,0
Female,75,children,2014-11-01,2014-11-30,Q10b,with_children_and_adults,75
Female,75,children,2014-11-01,2014-11-30,Q10b,with_only_children,0
Female,75,children,2014-11-01,2014-11-30,Q10b,unknown_household_type,0
No Single Gender,0,children,2014-11-01,2014-11-30,Q10b,with_children_and_adults,0
No Single Gender,0,children,2014-11-01,2014-11-30,Q10b,with_only_children,0
No Single Gender,0,children,2014-11-01,2014-11-30,Q10b,unknown_household_type,0
Questioning,0,children,2014-11-01,2014-11-30,Q10b,with_children_and_adults,0
Questioning,0,children,2014-11-01,2014-11-30,Q10b,with_only_children,0
Questioning,0,children,2014-11-01,2014-11-30,Q10b,unknown_household_type,0
Transgender,0,children,2014-11-01,2014-11-30,Q10b,with_children_and_adults,0
Transgender,0,children,2014-11-01,2014-11-30,Q10b,with_only_children,0
Transgender,0,children,2014-11-01,2014-11-30,Q10b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,children,2014-11-01,2014-11-30,Q10b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,children,2014-11-01,2014-11-30,Q10b,with_only_children,0
Client Doesn't Know/Client Refused,0,children,2014-11-01,2014-11-30,Q10b,unknown_household_type,0
Data Not Collected,0,children,2014-11-01,2014-11-30,Q10b,with_children_and_adults,0
Data Not Collected,0,children,2014-11-01,2014-11-30,Q10b,with_only_children,0
Data Not Collected,0,children,2014-11-01,2014-11-30,Q10b,unknown_household_type,0
Male,65,children,2014-12-01,2014-12-31,Q10b,with_children_and_adults,63
Male,65,children,2014-12-01,2014-12-31,Q10b,with_only_children,2
Male,65,children,2014-12-01,2014-12-31,Q10b,unknown_household_type,0
Female,89,children,2014-12-01,2014-12-31,Q10b,with_children_and_adults,88
Female,89,children,2014-12-01,2014-12-31,Q10b,with_only_children,1
Female,89,children,2014-12-01,2014-12-31,Q10b,unknown_household_type,0
No Single Gender,0,children,2014-12-01,2014-12-31,Q10b,with_children_and_adults,0
No Single Gender,0,children,2014-12-01,2014-12-31,Q10b,with_only_children,0
No Single Gender,0,children,2014-12-01,2014-12-31,Q10b,unknown_household_type,0
Questioning,0,children,2014-12-01,2014-12-31,Q10b,with_children_and_adults,0
Questioning,0,children,2014-12-01,2014-12-31,Q10b,with_only_children,0
Questioning,0,children,2014-12-01,2014-12-31,Q10b,unknown_household_type,0
Transgender,0,children,2014-12-01,2014-12-31,Q10b,with_children_and_adults,0
Transgender,0,children,2014-12-01,2014-12-31,Q10b,with_only_children,0
Transgender,0,children,2014-12-01,2014-12-31,Q10b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,children,2014-12-01,2014-12-31,Q10b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,children,2014-12-01,2014-12-31,Q10b,with_only_children,0
Client Doesn't Know/Client Refused,0,children,2014-12-01,2014-12-31,Q10b,unknown_household_type,0
Data Not Collected,0,children,2014-12-01,2014-12-31,Q10b,with_children_and_adults,0
Data Not Collected,0,children,2014-12-01,2014-12-31,Q10b,with_only_children,0
Data Not Collected,0,children,2014-12-01,2014-12-31,Q10b,unknown_household_type,0
Male,66,children,2015-01-01,2015-01-31,Q10b,with_children_and_adults,65
Male,66,children,2015-01-01,2015-01-31,Q10b,with_only_children,1
Male,66,children,2015-01-01,2015-01-31,Q10b,unknown_household_type,0
Female,86,children,2015-01-01,2015-01-31,Q10b,with_children_and_adults,85
Female,86,children,2015-01-01,2015-01-31,Q10b,with_only_children,1
Female,86,children,2015-01-01,2015-01-31,Q10b,unknown_household_type,0
No Single Gender,0,children,2015-01-01,2015-01-31,Q10b,with_children_and_adults,0
No Single Gender,0,children,2015-01-01,2015-01-31,Q10b,with_only_children,0
No Single Gender,0,children,2015-01-01,2015-01-31,Q10b,unknown_household_type,0
Questioning,0,children,2015-01-01,2015-01-31,Q10b,with_children_and_adults,0
Questioning,0,children,2015-01-01,2015-01-31,Q10b,with_only_children,0
Questioning,0,children,2015-01-01,2015-01-31,Q10b,unknown_household_type,0
Transgender,0,children,2015-01-01,2015-01-31,Q10b,with_children_and_adults,0
Transgender,0,children,2015-01-01,2015-01-31,Q10b,with_only_children,0
Transgender,0,children,2015-01-01,2015-01-31,Q10b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,children,2015-01-01,2015-01-31,Q10b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,children,2015-01-01,2015-01-31,Q10b,with_only_children,0
Client Doesn't Know/Client Refused,0,children,2015-01-01,2015-01-31,Q10b,unknown_household_type,0
Data Not Collected,0,children,2015-01-01,2015-01-31,Q10b,with_children_and_adults,0
Data Not Collected,0,children,2015-01-01,2015-01-31,Q10b,with_only_children,0
Data Not Collected,0,children,2015-01-01,2015-01-31,Q10b,unknown_household_type,0
Male,73,children,2015-02-01,2015-02-28,Q10b,with_children_and_adults,72
Male,73,children,2015-02-01,2015-02-28,Q10b,with_only_children,1
