ethnicity,total,population,start_date,end_date,question,household_type,count
Non-Hispanic/Non-Latin(a)(o)(x),511,all_persons,2014-11-01,2014-11-30,Q12b,without_children,285
Non-Hispanic/Non-Latin(a)(o)(x),511,all_persons,2014-11-01,2014-11-30,Q12b,with_children_and_adults,226
Non-Hispanic/Non-Latin(a)(o)(x),511,all_persons,2014-11-01,2014-11-30,Q12b,with_only_children,0
Non-Hispanic/Non-Latin(a)(o)(x),511,all_persons,2014-11-01,2014-11-30,Q12b,unknown_household_type,0
Hispanic/Latin(a)(o)(x),40,all_persons,2014-11-01,2014-11-30,Q12b,without_children,21
Hispanic/Latin(a)(o)(x),40,all_persons,2014-11-01,2014-11-30,Q12b,with_children_and_adults,19
Hispanic/Latin(a)(o)(x),40,all_persons,2014-11-01,2014-11-30,Q12b,with_only_children,0
Hispanic/Latin(a)(o)(x),40,all_persons,2014-11-01,2014-11-30,Q12b,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2014-11-01,2014-11-30,Q12b,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2014-11-01,2014-11-30,Q12b,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2014-11-01,2014-11-30,Q12b,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2014-11-01,2014-11-30,Q12b,unknown_household_type,0
Data Not Collected,0,all_persons,2014-11-01,2014-11-30,Q12b,without_children,0
Data Not Collected,0,all_persons,2014-11-01,2014-11-30,Q12b,with_children_and_adults,0
Data Not Collected,0,all_persons,2014-11-01,2014-11-30,Q12b,with_only_children,0
Data Not Collected,0,all_persons,2014-11-01,2014-11-30,Q12b,unknown_household_type,0
Non-Hispanic/Non-Latin(a)(o)(x),538,all_persons,2014-12-01,2014-12-31,Q12b,without_children,286
Non-Hispanic/Non-Latin(a)(o)(x),538,all_persons,2014-12-01,2014-12-31,Q12b,with_children_and_adults,249
Non-Hispanic/Non-Latin(a)(o)(x),538,all_persons,2014-12-01,2014-12-31,Q12b,with_only_children,3
Non-Hispanic/Non-Latin(a)(o)(x),538,all_persons,2014-12-01,2014-12-31,Q12b,unknown_household_type,0
Hispanic/Latin(a)(o)(x),35,all_persons,2014-12-01,2014-12-31,Q12b,without_children,19
Hispanic/Latin(a)(o)(x),35,all_persons,2014-12-01,2014-12-31,Q12b,with_children_and_adults,16
Hispanic/Latin(a)(o)(x),35,all_persons,2014-12-01,2014-12-31,Q12b,with_only_children,0
Hispanic/Latin(a)(o)(x),35,all_persons,2014-12-01,2014-12-31,Q12b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2014-12-01,2014-12-31,Q12b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2014-12-01,2014-12-31,Q12b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2014-12-01,2014-12-31,Q12b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2014-12-01,2014-12-31,Q12b,unknown_household_type,0
Data Not Collected,0,all_persons,2014-12-01,2014-12-31,Q12b,without_children,0
Data Not Collected,0,all_persons,2014-12-01,2014-12-31,Q12b,with_children_and_adults,0
Data Not Collected,0,all_persons,2014-12-01,2014-12-31,Q12b,with_only_children,0
Data Not Collected,0,all_persons,2014-12-01,2014-12-31,Q12b,unknown_household_type,0
Non-Hispanic/Non-Latin(a)(o)(x),546,all_persons,2015-01-01,2015-01-31,Q12b,without_children,295
Non-Hispanic/Non-Latin(a)(o)(x),546,all_persons,2015-01-01,2015-01-31,Q12b,with_children_and_adults,249
Non-Hispanic/Non-Latin(a)(o)(x),546,all_persons,2015-01-01,2015-01-31,Q12b,with_only_children,2
Non-Hispanic/Non-Latin(a)(o)(x),546,all_persons,2015-01-01,2015-01-31,Q12b,unknown_household_type,0
Hispanic/Latin(a)(o)(x),50,all_persons,2015-01-01,2015-01-31,Q12b,without_children,26
Hispanic/Latin(a)(o)(x),50,all_persons,2015-01-01,2015-01-31,Q12b,with_children_and_adults,24
Hispanic/Latin(a)(o)(x),50,all_persons,2015-01-01,2015-01-31,Q12b,with_only_children,0
Hispanic/Latin(a)(o)(x),50,all_persons,2015-01-01,2015-01-31,Q12b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2015-01-01,2015-01-31,Q12b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-01-01,2015-01-31,Q12b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2015-01-01,2015-01-31,Q12b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-01-01,2015-01-31,Q12b,unknown_household_type,0
Data Not Collected,0,all_persons,2015-01-01,2015-01-31,Q12b,without_children,0
Data Not Collected,0,all_persons,2015-01-01,2015-01-31,Q12b,with_children_and_adults,0
Data Not Collected,0,all_persons,2015-01-01,2015-01-31,Q12b,with_only_children,0
Data Not Collected,0,all_persons,2015-01-01,2015-01-31,Q12b,unknown_household_type,0
Non-Hispanic/Non-Latin(a)(o)(x),555,all_persons,2015-02-01,2015-02-28,Q12b,without_children,310
Non-Hispanic/Non-Latin(a)(o)(x),555,all_persons,2015-02-01,2015-02-28,Q12b,with_children_and_adults,242
Non-Hispanic/Non-Latin(a)(o)(x),555,all_persons,2015-02-01,2015-02-28,Q12b,with_only_children,2
Non-Hispanic/Non-Latin(a)(o)(x),555,all_persons,2015-02-01,2015-02-28,Q12b,unknown_household_type,1
Hispanic/Latin(a)(o)(x),43,all_persons,2015-02-01,2015-02-28,Q12b,without_children,24
Hispanic/Latin(a)(o)(x),43,all_persons,2015-02-01,2015-02-28,Q12b,with_children_and_adults,19
Hispanic/Latin(a)(o)(x),43,all_persons,2015-02-01,2015-02-28,Q12b,with_only_children,0
Hispanic/Latin(a)(o)(x),43,all_persons,2015-02-01,2015-02-28,Q12b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2015-02-01,2015-02-28,Q12b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-02-01,2015-02-28,Q12b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2015-02-01,2015-02-28,Q12b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-02-01,2015-02-28,Q12b,unknown_household_type,0
Data Not Collected,1,all_persons,2015-02-01,2015-02-28,Q12b,without_children,0
Data Not Collected,1,all_persons,2015-02-01,2015-02-28,Q12b,with_children_and_adults,0
Data Not Collected,1,all_persons,2015-02-01,2015-02-28,Q12b,with_only_children,0
Data Not Collected,1,all_persons,2015-02-01,2015-02-28,Q12b,unknown_household_type,1
Non-Hispanic/Non-Latin(a)(o)(x),527,all_persons,2015-03-01,2015-03-31,Q12b,without_children,313
Non-Hispanic/Non-Latin(a)(o)(x),527,all_persons,2015-03-01,2015-03-31,Q12b,with_children_and_adults,211
Non-Hispanic/Non-Latin(a)(o)(x),527,all_persons,2015-03-01,2015-03-31,Q12b,with_only_children,2
Non-Hispanic/Non-Latin(a)(o)(x),527,all_persons,2015-03-01,2015-03-31,Q12b,unknown_household_type,1
Hispanic/Latin(a)(o)(x),43,all_persons,2015-03-01,2015-03-31,Q12b,without_children,27
Hispanic/Latin(a)(o)(x),43,all_persons,2015-03-01,2015-03-31,Q12b,with_children_and_adults,16
Hispanic/Latin(a)(o)(x),43,all_persons,2015-03-01,2015-03-31,Q12b,with_only_children,0
Hispanic/Latin(a)(o)(x),43,all_persons,2015-03-01,2015-03-31,Q12b,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2015-03-01,2015-03-31,Q12b,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2015-03-01,2015-03-31,Q12b,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2015-03-01,2015-03-31,Q12b,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2015-03-01,2015-03-31,Q12b,unknown_household_type,0
Data Not Collected,1,all_persons,2015-03-01,2015-03-31,Q12b,without_children,0
Data Not Collected,1,all_persons,2015-03-01,2015-03-31,Q12b,with_children_and_adults,0
Data Not Collected,1,all_persons,2015-03-01,2015-03-31,Q12b,with_only_children,0
Data Not Collected,1,all_persons,2015-03-01,2015-03-31,Q12b,unknown_household_type,1
Non-Hispanic/Non-Latin(a)(o)(x),466,all_persons,2015-04-01,2015-04-30,Q12b,without_children,313
Non-Hispanic/Non-Latin(a)(o)(x),466,all_persons,2015-04-01,2015-04-30,Q12b,with_children_and_adults,150
Non-Hispanic/Non-Latin(a)(o)(x),466,all_persons,2015-04-01,2015-04-30,Q12b,with_only_children,2
Non-Hispanic/Non-Latin(a)(o)(x),466,all_persons,2015-04-01,2015-04-30,Q12b,unknown_household_type,1
Hispanic/Latin(a)(o)(x),47,all_persons,2015-04-01,2015-04-30,Q12b,without_children,23
Hispanic/Latin(a)(o)(x),47,all_persons,2015-04-01,2015-04-30,Q12b,with_children_and_adults,24
Hispanic/Latin(a)(o)(x),47,all_persons,2015-04-01,2015-04-30,Q12b,with_only_children,0
Hispanic/Latin(a)(o)(x),47,all_persons,2015-04-01,2015-04-30,Q12b,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2015-04-01,2015-04-30,Q12b,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2015-04-01,2015-04-30,Q12b,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2015-04-01,2015-04-30,Q12b,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2015-04-01,2015-04-30,Q12b,unknown_household_type,0
Data Not Collected,2,all_persons,2015-04-01,2015-04-30,Q12b,without_children,1
Data Not Collected,2,all_persons,2015-04-01,2015-04-30,Q12b,with_children_and_adults,0
Data Not Collected,2,all_persons,2015-04-01,2015-04-30,Q12b,with_only_children,0
Data Not Collected,2,all_persons,2015-04-01,2015-04-30,Q12b,unknown_household_type,1
Non-Hispanic/Non-Latin(a)(o)(x),412,all_persons,2015-05-01,2015-05-31,Q12b,without_children,242
Non-Hispanic/Non-Latin(a)(o)(x),412,all_persons,2015-05-01,2015-05-31,Q12b,with_children_and_adults,167
Non-Hispanic/Non-Latin(a)(o)(x),412,all_persons,2015-05-01,2015-05-31,Q12b,with_only_children,2
Non-Hispanic/Non-Latin(a)(o)(x),412,all_persons,2015-05-01,2015-05-31,Q12b,unknown_household_type,1
Hispanic/Latin(a)(o)(x),43,all_persons,2015-05-01,2015-05-31,Q12b,without_children,24
Hispanic/Latin(a)(o)(x),43,all_persons,2015-05-01,2015-05-31,Q12b,with_children_and_adults,19
Hispanic/Latin(a)(o)(x),43,all_persons,2015-05-01,2015-05-31,Q12b,with_only_children,0
Hispanic/Latin(a)(o)(x),43,all_persons,2015-05-01,2015-05-31,Q12b,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_persons,2015-05-01,2015-05-31,Q12b,without_children,2
Client Doesn't Know/Client Refused,2,all_persons,2015-05-01,2015-05-31,Q12b,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_persons,2015-05-01,2015-05-31,Q12b,with_only_children,0
Client Doesn't Know/Client Refused,2,all_persons,2015-05-01,2015-05-31,Q12b,unknown_household_type,0
Data Not Collected,2,all_persons,2015-05-01,2015-05-31,Q12b,without_children,1
Data Not Collected,2,all_persons,2015-05-01,2015-05-31,Q12b,with_children_and_adults,0
Data Not Collected,2,all_persons,2015-05-01,2015-05-31,Q12b,with_only_children,0
Data Not Collected,2,all_persons,2015-05-01,2015-05-31,Q12b,unknown_household_type,1
Non-Hispanic/Non-Latin(a)(o)(x),489,all_persons,2015-06-01,2015-06-30,Q12b,without_children,249
