conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,97,13,3,start,2014-11-01,2014-11-30,Q13a1,without_children,81
Mental Health Disorder,97,13,3,start,2014-11-01,2014-11-30,Q13a1,with_only_children,0
Mental Health Disorder,97,13,3,start,2014-11-01,2014-11-30,Q13a1,unknown_household_type,0
Alcohol Use Disorder,9,0,0,start,2014-11-01,2014-11-30,Q13a1,without_children,9
Alcohol Use Disorder,9,0,0,start,2014-11-01,2014-11-30,Q13a1,with_only_children,0
Alcohol Use Disorder,9,0,0,start,2014-11-01,2014-11-30,Q13a1,unknown_household_type,0
Drug Use Disorder,5,2,0,start,2014-11-01,2014-11-30,Q13a1,without_children,3
Drug Use Disorder,5,2,0,start,2014-11-01,2014-11-30,Q13a1,with_only_children,0
Drug Use Disorder,5,2,0,start,2014-11-01,2014-11-30,Q13a1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,16,0,0,start,2014-11-01,2014-11-30,Q13a1,without_children,16
Both Alcohol and Drug Use Disorders,16,0,0,start,2014-11-01,2014-11-30,Q13a1,with_only_children,0
Both Alcohol and Drug Use Disorders,16,0,0,start,2014-11-01,2014-11-30,Q13a1,unknown_household_type,0
Chronic Health Condition,54,8,6,start,2014-11-01,2014-11-30,Q13a1,without_children,40
Chronic Health Condition,54,8,6,start,2014-11-01,2014-11-30,Q13a1,with_only_children,0
Chronic Health Condition,54,8,6,start,2014-11-01,2014-11-30,Q13a1,unknown_household_type,0
HIV/AIDS,71,4,0,start,2014-11-01,2014-11-30,Q13a1,without_children,67
HIV/AIDS,71,4,0,start,2014-11-01,2014-11-30,Q13a1,with_only_children,0
HIV/AIDS,71,4,0,start,2014-11-01,2014-11-30,Q13a1,unknown_household_type,0
Development Disability,19,3,5,start,2014-11-01,2014-11-30,Q13a1,without_children,11
Development Disability,19,3,5,start,2014-11-01,2014-11-30,Q13a1,with_only_children,0
Development Disability,19,3,5,start,2014-11-01,2014-11-30,Q13a1,unknown_household_type,0
Physical Disability,57,3,2,start,2014-11-01,2014-11-30,Q13a1,without_children,52
Physical Disability,57,3,2,start,2014-11-01,2014-11-30,Q13a1,with_only_children,0
Physical Disability,57,3,2,start,2014-11-01,2014-11-30,Q13a1,unknown_household_type,0
Mental Health Disorder,99,17,2,start,2014-12-01,2014-12-31,Q13a1,without_children,80
Mental Health Disorder,99,17,2,start,2014-12-01,2014-12-31,Q13a1,with_only_children,0
Mental Health Disorder,99,17,2,start,2014-12-01,2014-12-31,Q13a1,unknown_household_type,0
Alcohol Use Disorder,10,0,0,start,2014-12-01,2014-12-31,Q13a1,without_children,10
Alcohol Use Disorder,10,0,0,start,2014-12-01,2014-12-31,Q13a1,with_only_children,0
Alcohol Use Disorder,10,0,0,start,2014-12-01,2014-12-31,Q13a1,unknown_household_type,0
Drug Use Disorder,4,3,0,start,2014-12-01,2014-12-31,Q13a1,without_children,1
Drug Use Disorder,4,3,0,start,2014-12-01,2014-12-31,Q13a1,with_only_children,0
Drug Use Disorder,4,3,0,start,2014-12-01,2014-12-31,Q13a1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,16,0,0,start,2014-12-01,2014-12-31,Q13a1,without_children,16
Both Alcohol and Drug Use Disorders,16,0,0,start,2014-12-01,2014-12-31,Q13a1,with_only_children,0
Both Alcohol and Drug Use Disorders,16,0,0,start,2014-12-01,2014-12-31,Q13a1,unknown_household_type,0
Chronic Health Condition,65,11,8,start,2014-12-01,2014-12-31,Q13a1,without_children,46
Chronic Health Condition,65,11,8,start,2014-12-01,2014-12-31,Q13a1,with_only_children,0
Chronic Health Condition,65,11,8,start,2014-12-01,2014-12-31,Q13a1,unknown_household_type,0
HIV/AIDS,71,3,0,start,2014-12-01,2014-12-31,Q13a1,without_children,68
HIV/AIDS,71,3,0,start,2014-12-01,2014-12-31,Q13a1,with_only_children,0
HIV/AIDS,71,3,0,start,2014-12-01,2014-12-31,Q13a1,unknown_household_type,0
Development Disability,19,3,9,start,2014-12-01,2014-12-31,Q13a1,without_children,7
Development Disability,19,3,9,start,2014-12-01,2014-12-31,Q13a1,with_only_children,0
Development Disability,19,3,9,start,2014-12-01,2014-12-31,Q13a1,unknown_household_type,0
Physical Disability,67,3,4,start,2014-12-01,2014-12-31,Q13a1,without_children,60
Physical Disability,67,3,4,start,2014-12-01,2014-12-31,Q13a1,with_only_children,0
Physical Disability,67,3,4,start,2014-12-01,2014-12-31,Q13a1,unknown_household_type,0
Mental Health Disorder,108,19,3,start,2015-01-01,2015-01-31,Q13a1,without_children,86
Mental Health Disorder,108,19,3,start,2015-01-01,2015-01-31,Q13a1,with_only_children,0
Mental Health Disorder,108,19,3,start,2015-01-01,2015-01-31,Q13a1,unknown_household_type,0
Alcohol Use Disorder,13,0,0,start,2015-01-01,2015-01-31,Q13a1,without_children,13
Alcohol Use Disorder,13,0,0,start,2015-01-01,2015-01-31,Q13a1,with_only_children,0
Alcohol Use Disorder,13,0,0,start,2015-01-01,2015-01-31,Q13a1,unknown_household_type,0
Drug Use Disorder,6,4,0,start,2015-01-01,2015-01-31,Q13a1,without_children,2
Drug Use Disorder,6,4,0,start,2015-01-01,2015-01-31,Q13a1,with_only_children,0
Drug Use Disorder,6,4,0,start,2015-01-01,2015-01-31,Q13a1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,18,0,0,start,2015-01-01,2015-01-31,Q13a1,without_children,18
Both Alcohol and Drug Use Disorders,18,0,0,start,2015-01-01,2015-01-31,Q13a1,with_only_children,0
Both Alcohol and Drug Use Disorders,18,0,0,start,2015-01-01,2015-01-31,Q13a1,unknown_household_type,0
Chronic Health Condition,66,12,7,start,2015-01-01,2015-01-31,Q13a1,without_children,47
Chronic Health Condition,66,12,7,start,2015-01-01,2015-01-31,Q13a1,with_only_children,0
Chronic Health Condition,66,12,7,start,2015-01-01,2015-01-31,Q13a1,unknown_household_type,0
HIV/AIDS,78,3,0,start,2015-01-01,2015-01-31,Q13a1,without_children,75
HIV/AIDS,78,3,0,start,2015-01-01,2015-01-31,Q13a1,with_only_children,0
HIV/AIDS,78,3,0,start,2015-01-01,2015-01-31,Q13a1,unknown_household_type,0
Development Disability,23,3,9,start,2015-01-01,2015-01-31,Q13a1,without_children,11
Development Disability,23,3,9,start,2015-01-01,2015-01-31,Q13a1,with_only_children,0
