conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,19,0,2,exit,2014-11-01,2014-11-30,Q13b1,without_children,17
Mental Health Disorder,19,0,2,exit,2014-11-01,2014-11-30,Q13b1,with_only_children,0
Mental Health Disorder,19,0,2,exit,2014-11-01,2014-11-30,Q13b1,unknown_household_type,0
Alcohol Use Disorder,2,0,0,exit,2014-11-01,2014-11-30,Q13b1,without_children,2
Alcohol Use Disorder,2,0,0,exit,2014-11-01,2014-11-30,Q13b1,with_only_children,0
Alcohol Use Disorder,2,0,0,exit,2014-11-01,2014-11-30,Q13b1,unknown_household_type,0
Drug Use Disorder,2,0,0,exit,2014-11-01,2014-11-30,Q13b1,without_children,2
Drug Use Disorder,2,0,0,exit,2014-11-01,2014-11-30,Q13b1,with_only_children,0
Drug Use Disorder,2,0,0,exit,2014-11-01,2014-11-30,Q13b1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,3,0,0,exit,2014-11-01,2014-11-30,Q13b1,without_children,3
Both Alcohol and Drug Use Disorders,3,0,0,exit,2014-11-01,2014-11-30,Q13b1,with_only_children,0
Both Alcohol and Drug Use Disorders,3,0,0,exit,2014-11-01,2014-11-30,Q13b1,unknown_household_type,0
Chronic Health Condition,11,0,1,exit,2014-11-01,2014-11-30,Q13b1,without_children,10
Chronic Health Condition,11,0,1,exit,2014-11-01,2014-11-30,Q13b1,with_only_children,0
Chronic Health Condition,11,0,1,exit,2014-11-01,2014-11-30,Q13b1,unknown_household_type,0
HIV/AIDS,1,0,0,exit,2014-11-01,2014-11-30,Q13b1,without_children,1
HIV/AIDS,1,0,0,exit,2014-11-01,2014-11-30,Q13b1,with_only_children,0
HIV/AIDS,1,0,0,exit,2014-11-01,2014-11-30,Q13b1,unknown_household_type,0
Development Disability,7,0,0,exit,2014-11-01,2014-11-30,Q13b1,without_children,7
Development Disability,7,0,0,exit,2014-11-01,2014-11-30,Q13b1,with_only_children,0
Development Disability,7,0,0,exit,2014-11-01,2014-11-30,Q13b1,unknown_household_type,0
Physical Disability,15,0,0,exit,2014-11-01,2014-11-30,Q13b1,without_children,15
Physical Disability,15,0,0,exit,2014-11-01,2014-11-30,Q13b1,with_only_children,0
Physical Disability,15,0,0,exit,2014-11-01,2014-11-30,Q13b1,unknown_household_type,0
Mental Health Disorder,15,1,0,exit,2014-12-01,2014-12-31,Q13b1,without_children,14
Mental Health Disorder,15,1,0,exit,2014-12-01,2014-12-31,Q13b1,with_only_children,0
Mental Health Disorder,15,1,0,exit,2014-12-01,2014-12-31,Q13b1,unknown_household_type,0
Alcohol Use Disorder,4,0,0,exit,2014-12-01,2014-12-31,Q13b1,without_children,4
Alcohol Use Disorder,4,0,0,exit,2014-12-01,2014-12-31,Q13b1,with_only_children,0
Alcohol Use Disorder,4,0,0,exit,2014-12-01,2014-12-31,Q13b1,unknown_household_type,0
Drug Use Disorder,0,0,0,exit,2014-12-01,2014-12-31,Q13b1,without_children,0
Drug Use Disorder,0,0,0,exit,2014-12-01,2014-12-31,Q13b1,with_only_children,0
Drug Use Disorder,0,0,0,exit,2014-12-01,2014-12-31,Q13b1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,1,0,0,exit,2014-12-01,2014-12-31,Q13b1,without_children,1
Both Alcohol and Drug Use Disorders,1,0,0,exit,2014-12-01,2014-12-31,Q13b1,with_only_children,0
Both Alcohol and Drug Use Disorders,1,0,0,exit,2014-12-01,2014-12-31,Q13b1,unknown_household_type,0
Chronic Health Condition,21,2,2,exit,2014-12-01,2014-12-31,Q13b1,without_children,17
Chronic Health Condition,21,2,2,exit,2014-12-01,2014-12-31,Q13b1,with_only_children,0
Chronic Health Condition,21,2,2,exit,2014-12-01,2014-12-31,Q13b1,unknown_household_type,0
HIV/AIDS,2,0,0,exit,2014-12-01,2014-12-31,Q13b1,without_children,2
HIV/AIDS,2,0,0,exit,2014-12-01,2014-12-31,Q13b1,with_only_children,0
HIV/AIDS,2,0,0,exit,2014-12-01,2014-12-31,Q13b1,unknown_household_type,0
Development Disability,4,0,2,exit,2014-12-01,2014-12-31,Q13b1,without_children,2
Development Disability,4,0,2,exit,2014-12-01,2014-12-31,Q13b1,with_only_children,0
Development Disability,4,0,2,exit,2014-12-01,2014-12-31,Q13b1,unknown_household_type,0
Physical Disability,23,1,2,exit,2014-12-01,2014-12-31,Q13b1,without_children,20
Physical Disability,23,1,2,exit,2014-12-01,2014-12-31,Q13b1,with_only_children,0
Physical Disability,23,1,2,exit,2014-12-01,2014-12-31,Q13b1,unknown_household_type,0
Mental Health Disorder,22,2,0,exit,2015-01-01,2015-01-31,Q13b1,without_children,20
Mental Health Disorder,22,2,0,exit,2015-01-01,2015-01-31,Q13b1,with_only_children,0
Mental Health Disorder,22,2,0,exit,2015-01-01,2015-01-31,Q13b1,unknown_household_type,0
Alcohol Use Disorder,4,0,0,exit,2015-01-01,2015-01-31,Q13b1,without_children,4
Alcohol Use Disorder,4,0,0,exit,2015-01-01,2015-01-31,Q13b1,with_only_children,0
Alcohol Use Disorder,4,0,0,exit,2015-01-01,2015-01-31,Q13b1,unknown_household_type,0
Drug Use Disorder,2,1,0,exit,2015-01-01,2015-01-31,Q13b1,without_children,1
Drug Use Disorder,2,1,0,exit,2015-01-01,2015-01-31,Q13b1,with_only_children,0
Drug Use Disorder,2,1,0,exit,2015-01-01,2015-01-31,Q13b1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,5,0,0,exit,2015-01-01,2015-01-31,Q13b1,without_children,5
Both Alcohol and Drug Use Disorders,5,0,0,exit,2015-01-01,2015-01-31,Q13b1,with_only_children,0
Both Alcohol and Drug Use Disorders,5,0,0,exit,2015-01-01,2015-01-31,Q13b1,unknown_household_type,0
Chronic Health Condition,17,1,0,exit,2015-01-01,2015-01-31,Q13b1,without_children,16
Chronic Health Condition,17,1,0,exit,2015-01-01,2015-01-31,Q13b1,with_only_children,0
Chronic Health Condition,17,1,0,exit,2015-01-01,2015-01-31,Q13b1,unknown_household_type,0
HIV/AIDS,1,0,0,exit,2015-01-01,2015-01-31,Q13b1,without_children,1
HIV/AIDS,1,0,0,exit,2015-01-01,2015-01-31,Q13b1,with_only_children,0
HIV/AIDS,1,0,0,exit,2015-01-01,2015-01-31,Q13b1,unknown_household_type,0
Development Disability,7,0,0,exit,2015-01-01,2015-01-31,Q13b1,without_children,7
Development Disability,7,0,0,exit,2015-01-01,2015-01-31,Q13b1,with_only_children,0
Development Disability,7,0,0,exit,2015-01-01,2015-01-31,Q13b1,unknown_household_type,0
Physical Disability,26,2,0,exit,2015-01-01,2015-01-31,Q13b1,without_children,24
Physical Disability,26,2,0,exit,2015-01-01,2015-01-31,Q13b1,with_only_children,0
Physical Disability,26,2,0,exit,2015-01-01,2015-01-31,Q13b1,unknown_household_type,0
Mental Health Disorder,29,4,1,exit,2015-02-01,2015-02-28,Q13b1,without_children,24
Mental Health Disorder,29,4,1,exit,2015-02-01,2015-02-28,Q13b1,with_only_children,0
Mental Health Disorder,29,4,1,exit,2015-02-01,2015-02-28,Q13b1,unknown_household_type,0
Alcohol Use Disorder,6,0,0,exit,2015-02-01,2015-02-28,Q13b1,without_children,6
Alcohol Use Disorder,6,0,0,exit,2015-02-01,2015-02-28,Q13b1,with_only_children,0
Alcohol Use Disorder,6,0,0,exit,2015-02-01,2015-02-28,Q13b1,unknown_household_type,0
Drug Use Disorder,4,2,0,exit,2015-02-01,2015-02-28,Q13b1,without_children,2
Drug Use Disorder,4,2,0,exit,2015-02-01,2015-02-28,Q13b1,with_only_children,0
Drug Use Disorder,4,2,0,exit,2015-02-01,2015-02-28,Q13b1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,5,0,0,exit,2015-02-01,2015-02-28,Q13b1,without_children,5
Both Alcohol and Drug Use Disorders,5,0,0,exit,2015-02-01,2015-02-28,Q13b1,with_only_children,0
Both Alcohol and Drug Use Disorders,5,0,0,exit,2015-02-01,2015-02-28,Q13b1,unknown_household_type,0
Chronic Health Condition,19,3,3,exit,2015-02-01,2015-02-28,Q13b1,without_children,13
Chronic Health Condition,19,3,3,exit,2015-02-01,2015-02-28,Q13b1,with_only_children,0
Chronic Health Condition,19,3,3,exit,2015-02-01,2015-02-28,Q13b1,unknown_household_type,0
HIV/AIDS,0,0,0,exit,2015-02-01,2015-02-28,Q13b1,without_children,0
HIV/AIDS,0,0,0,exit,2015-02-01,2015-02-28,Q13b1,with_only_children,0
HIV/AIDS,0,0,0,exit,2015-02-01,2015-02-28,Q13b1,unknown_household_type,0
Development Disability,7,0,3,exit,2015-02-01,2015-02-28,Q13b1,without_children,4
Development Disability,7,0,3,exit,2015-02-01,2015-02-28,Q13b1,with_only_children,0
Development Disability,7,0,3,exit,2015-02-01,2015-02-28,Q13b1,unknown_household_type,0
Physical Disability,22,4,1,exit,2015-02-01,2015-02-28,Q13b1,without_children,17
Physical Disability,22,4,1,exit,2015-02-01,2015-02-28,Q13b1,with_only_children,0
Physical Disability,22,4,1,exit,2015-02-01,2015-02-28,Q13b1,unknown_household_type,0
Mental Health Disorder,22,5,0,exit,2015-03-01,2015-03-31,Q13b1,without_children,17
Mental Health Disorder,22,5,0,exit,2015-03-01,2015-03-31,Q13b1,with_only_children,0
Mental Health Disorder,22,5,0,exit,2015-03-01,2015-03-31,Q13b1,unknown_household_type,0
Alcohol Use Disorder,4,0,0,exit,2015-03-01,2015-03-31,Q13b1,without_children,4
Alcohol Use Disorder,4,0,0,exit,2015-03-01,2015-03-31,Q13b1,with_only_children,0
Alcohol Use Disorder,4,0,0,exit,2015-03-01,2015-03-31,Q13b1,unknown_household_type,0
