count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,126,30,33,all_persons,2014-11-01,2014-11-30,Q13b2,without_children,63
None,126,30,33,all_persons,2014-11-01,2014-11-30,Q13b2,with_only_children,0
None,126,30,33,all_persons,2014-11-01,2014-11-30,Q13b2,unknown_household_type,0
1 Condition,25,0,3,all_persons,2014-11-01,2014-11-30,Q13b2,without_children,22
1 Condition,25,0,3,all_persons,2014-11-01,2014-11-30,Q13b2,with_only_children,0
1 Condition,25,0,3,all_persons,2014-11-01,2014-11-30,Q13b2,unknown_household_type,0
2 Conditions,8,0,0,all_persons,2014-11-01,2014-11-30,Q13b2,without_children,8
2 Conditions,8,0,0,all_persons,2014-11-01,2014-11-30,Q13b2,with_only_children,0
2 Conditions,8,0,0,all_persons,2014-11-01,2014-11-30,Q13b2,unknown_household_type,0
3+ Conditions,6,0,0,all_persons,2014-11-01,2014-11-30,Q13b2,without_children,6
3+ Conditions,6,0,0,all_persons,2014-11-01,2014-11-30,Q13b2,with_only_children,0
3+ Conditions,6,0,0,all_persons,2014-11-01,2014-11-30,Q13b2,unknown_household_type,0
Condition Unknown,6,0,0,all_persons,2014-11-01,2014-11-30,Q13b2,without_children,6
Condition Unknown,6,0,0,all_persons,2014-11-01,2014-11-30,Q13b2,with_only_children,0
Condition Unknown,6,0,0,all_persons,2014-11-01,2014-11-30,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2014-11-01,2014-11-30,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2014-11-01,2014-11-30,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2014-11-01,2014-11-30,Q13b2,unknown_household_type,0
Data Not Collected,2,0,1,all_persons,2014-11-01,2014-11-30,Q13b2,without_children,1
Data Not Collected,2,0,1,all_persons,2014-11-01,2014-11-30,Q13b2,with_only_children,0
Data Not Collected,2,0,1,all_persons,2014-11-01,2014-11-30,Q13b2,unknown_household_type,0
None,129,31,42,all_persons,2014-12-01,2014-12-31,Q13b2,without_children,56
None,129,31,42,all_persons,2014-12-01,2014-12-31,Q13b2,with_only_children,0
None,129,31,42,all_persons,2014-12-01,2014-12-31,Q13b2,unknown_household_type,0
1 Condition,21,4,2,all_persons,2014-12-01,2014-12-31,Q13b2,without_children,15
1 Condition,21,4,2,all_persons,2014-12-01,2014-12-31,Q13b2,with_only_children,0
1 Condition,21,4,2,all_persons,2014-12-01,2014-12-31,Q13b2,unknown_household_type,0
2 Conditions,18,0,2,all_persons,2014-12-01,2014-12-31,Q13b2,without_children,16
2 Conditions,18,0,2,all_persons,2014-12-01,2014-12-31,Q13b2,with_only_children,0
2 Conditions,18,0,2,all_persons,2014-12-01,2014-12-31,Q13b2,unknown_household_type,0
3+ Conditions,4,0,0,all_persons,2014-12-01,2014-12-31,Q13b2,without_children,4
3+ Conditions,4,0,0,all_persons,2014-12-01,2014-12-31,Q13b2,with_only_children,0
3+ Conditions,4,0,0,all_persons,2014-12-01,2014-12-31,Q13b2,unknown_household_type,0
Condition Unknown,8,2,0,all_persons,2014-12-01,2014-12-31,Q13b2,without_children,6
Condition Unknown,8,2,0,all_persons,2014-12-01,2014-12-31,Q13b2,with_only_children,0
Condition Unknown,8,2,0,all_persons,2014-12-01,2014-12-31,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2014-12-01,2014-12-31,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2014-12-01,2014-12-31,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2014-12-01,2014-12-31,Q13b2,unknown_household_type,0
Data Not Collected,0,0,0,all_persons,2014-12-01,2014-12-31,Q13b2,without_children,0
Data Not Collected,0,0,0,all_persons,2014-12-01,2014-12-31,Q13b2,with_only_children,0
Data Not Collected,0,0,0,all_persons,2014-12-01,2014-12-31,Q13b2,unknown_household_type,0
None,118,28,34,all_persons,2015-01-01,2015-01-31,Q13b2,without_children,56
None,118,28,34,all_persons,2015-01-01,2015-01-31,Q13b2,with_only_children,0
None,118,28,34,all_persons,2015-01-01,2015-01-31,Q13b2,unknown_household_type,0
1 Condition,24,2,0,all_persons,2015-01-01,2015-01-31,Q13b2,without_children,22
1 Condition,24,2,0,all_persons,2015-01-01,2015-01-31,Q13b2,with_only_children,0
1 Condition,24,2,0,all_persons,2015-01-01,2015-01-31,Q13b2,unknown_household_type,0
2 Conditions,15,2,0,all_persons,2015-01-01,2015-01-31,Q13b2,without_children,13
2 Conditions,15,2,0,all_persons,2015-01-01,2015-01-31,Q13b2,with_only_children,0
2 Conditions,15,2,0,all_persons,2015-01-01,2015-01-31,Q13b2,unknown_household_type,0
3+ Conditions,10,0,0,all_persons,2015-01-01,2015-01-31,Q13b2,without_children,10
3+ Conditions,10,0,0,all_persons,2015-01-01,2015-01-31,Q13b2,with_only_children,0
3+ Conditions,10,0,0,all_persons,2015-01-01,2015-01-31,Q13b2,unknown_household_type,0
Condition Unknown,8,1,1,all_persons,2015-01-01,2015-01-31,Q13b2,without_children,6
Condition Unknown,8,1,1,all_persons,2015-01-01,2015-01-31,Q13b2,with_only_children,0
Condition Unknown,8,1,1,all_persons,2015-01-01,2015-01-31,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2015-01-01,2015-01-31,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2015-01-01,2015-01-31,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2015-01-01,2015-01-31,Q13b2,unknown_household_type,0
Data Not Collected,3,0,1,all_persons,2015-01-01,2015-01-31,Q13b2,without_children,2
Data Not Collected,3,0,1,all_persons,2015-01-01,2015-01-31,Q13b2,with_only_children,0
Data Not Collected,3,0,1,all_persons,2015-01-01,2015-01-31,Q13b2,unknown_household_type,0
None,103,21,32,all_persons,2015-02-01,2015-02-28,Q13b2,without_children,50
None,103,21,32,all_persons,2015-02-01,2015-02-28,Q13b2,with_only_children,0
None,103,21,32,all_persons,2015-02-01,2015-02-28,Q13b2,unknown_household_type,0
1 Condition,40,5,6,all_persons,2015-02-01,2015-02-28,Q13b2,without_children,29
1 Condition,40,5,6,all_persons,2015-02-01,2015-02-28,Q13b2,with_only_children,0
1 Condition,40,5,6,all_persons,2015-02-01,2015-02-28,Q13b2,unknown_household_type,0
2 Conditions,14,1,1,all_persons,2015-02-01,2015-02-28,Q13b2,without_children,12
2 Conditions,14,1,1,all_persons,2015-02-01,2015-02-28,Q13b2,with_only_children,0
2 Conditions,14,1,1,all_persons,2015-02-01,2015-02-28,Q13b2,unknown_household_type,0
3+ Conditions,9,2,0,all_persons,2015-02-01,2015-02-28,Q13b2,without_children,7
3+ Conditions,9,2,0,all_persons,2015-02-01,2015-02-28,Q13b2,with_only_children,0
3+ Conditions,9,2,0,all_persons,2015-02-01,2015-02-28,Q13b2,unknown_household_type,0
Condition Unknown,7,2,0,all_persons,2015-02-01,2015-02-28,Q13b2,without_children,5
Condition Unknown,7,2,0,all_persons,2015-02-01,2015-02-28,Q13b2,with_only_children,0
Condition Unknown,7,2,0,all_persons,2015-02-01,2015-02-28,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2015-02-01,2015-02-28,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2015-02-01,2015-02-28,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2015-02-01,2015-02-28,Q13b2,unknown_household_type,0
Data Not Collected,0,0,0,all_persons,2015-02-01,2015-02-28,Q13b2,without_children,0
Data Not Collected,0,0,0,all_persons,2015-02-01,2015-02-28,Q13b2,with_only_children,0
Data Not Collected,0,0,0,all_persons,2015-02-01,2015-02-28,Q13b2,unknown_household_type,0
None,134,30,52,all_persons,2015-03-01,2015-03-31,Q13b2,without_children,52
None,134,30,52,all_persons,2015-03-01,2015-03-31,Q13b2,with_only_children,0
None,134,30,52,all_persons,2015-03-01,2015-03-31,Q13b2,unknown_household_type,0
1 Condition,33,9,3,all_persons,2015-03-01,2015-03-31,Q13b2,without_children,21
1 Condition,33,9,3,all_persons,2015-03-01,2015-03-31,Q13b2,with_only_children,0
1 Condition,33,9,3,all_persons,2015-03-01,2015-03-31,Q13b2,unknown_household_type,0
2 Conditions,16,1,2,all_persons,2015-03-01,2015-03-31,Q13b2,without_children,13
2 Conditions,16,1,2,all_persons,2015-03-01,2015-03-31,Q13b2,with_only_children,0
2 Conditions,16,1,2,all_persons,2015-03-01,2015-03-31,Q13b2,unknown_household_type,0
3+ Conditions,6,0,0,all_persons,2015-03-01,2015-03-31,Q13b2,without_children,6
3+ Conditions,6,0,0,all_persons,2015-03-01,2015-03-31,Q13b2,with_only_children,0
3+ Conditions,6,0,0,all_persons,2015-03-01,2015-03-31,Q13b2,unknown_household_type,0
Condition Unknown,3,2,0,all_persons,2015-03-01,2015-03-31,Q13b2,without_children,1
Condition Unknown,3,2,0,all_persons,2015-03-01,2015-03-31,Q13b2,with_only_children,0
Condition Unknown,3,2,0,all_persons,2015-03-01,2015-03-31,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,1,0,1,all_persons,2015-03-01,2015-03-31,Q13b2,without_children,0
Client Doesn't Know/Client Refused,1,0,1,all_persons,2015-03-01,2015-03-31,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,1,0,1,all_persons,2015-03-01,2015-03-31,Q13b2,unknown_household_type,0
Data Not Collected,6,0,1,all_persons,2015-03-01,2015-03-31,Q13b2,without_children,5
Data Not Collected,6,0,1,all_persons,2015-03-01,2015-03-31,Q13b2,with_only_children,0
