conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,78,13,1,stayers,2014-11-01,2014-11-30,Q13c1,without_children,64
Mental Health Disorder,78,13,1,stayers,2014-11-01,2014-11-30,Q13c1,with_only_children,0
Mental Health Disorder,78,13,1,stayers,2014-11-01,2014-11-30,Q13c1,unknown_household_type,0
Alcohol Use Disorder,7,0,0,stayers,2014-11-01,2014-11-30,Q13c1,without_children,7
Alcohol Use Disorder,7,0,0,stayers,2014-11-01,2014-11-30,Q13c1,with_only_children,0
Alcohol Use Disorder,7,0,0,stayers,2014-11-01,2014-11-30,Q13c1,unknown_household_type,0
Drug Use Disorder,3,2,0,stayers,2014-11-01,2014-11-30,Q13c1,without_children,1
Drug Use Disorder,3,2,0,stayers,2014-11-01,2014-11-30,Q13c1,with_only_children,0
Drug Use Disorder,3,2,0,stayers,2014-11-01,2014-11-30,Q13c1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,13,0,0,stayers,2014-11-01,2014-11-30,Q13c1,without_children,13
Both Alcohol and Drug Use Disorders,13,0,0,stayers,2014-11-01,2014-11-30,Q13c1,with_only_children,0
Both Alcohol and Drug Use Disorders,13,0,0,stayers,2014-11-01,2014-11-30,Q13c1,unknown_household_type,0
Chronic Health Condition,43,8,5,stayers,2014-11-01,2014-11-30,Q13c1,without_children,30
Chronic Health Condition,43,8,5,stayers,2014-11-01,2014-11-30,Q13c1,with_only_children,0
Chronic Health Condition,43,8,5,stayers,2014-11-01,2014-11-30,Q13c1,unknown_household_type,0
HIV/AIDS,70,4,0,stayers,2014-11-01,2014-11-30,Q13c1,without_children,66
HIV/AIDS,70,4,0,stayers,2014-11-01,2014-11-30,Q13c1,with_only_children,0
HIV/AIDS,70,4,0,stayers,2014-11-01,2014-11-30,Q13c1,unknown_household_type,0
Development Disability,12,3,5,stayers,2014-11-01,2014-11-30,Q13c1,without_children,4
Development Disability,12,3,5,stayers,2014-11-01,2014-11-30,Q13c1,with_only_children,0
Development Disability,12,3,5,stayers,2014-11-01,2014-11-30,Q13c1,unknown_household_type,0
Physical Disability,43,3,2,stayers,2014-11-01,2014-11-30,Q13c1,without_children,38
Physical Disability,43,3,2,stayers,2014-11-01,2014-11-30,Q13c1,with_only_children,0
Physical Disability,43,3,2,stayers,2014-11-01,2014-11-30,Q13c1,unknown_household_type,0
Mental Health Disorder,85,16,2,stayers,2014-12-01,2014-12-31,Q13c1,without_children,67
Mental Health Disorder,85,16,2,stayers,2014-12-01,2014-12-31,Q13c1,with_only_children,0
Mental Health Disorder,85,16,2,stayers,2014-12-01,2014-12-31,Q13c1,unknown_household_type,0
Alcohol Use Disorder,6,0,0,stayers,2014-12-01,2014-12-31,Q13c1,without_children,6
Alcohol Use Disorder,6,0,0,stayers,2014-12-01,2014-12-31,Q13c1,with_only_children,0
Alcohol Use Disorder,6,0,0,stayers,2014-12-01,2014-12-31,Q13c1,unknown_household_type,0
Drug Use Disorder,4,3,0,stayers,2014-12-01,2014-12-31,Q13c1,without_children,1
Drug Use Disorder,4,3,0,stayers,2014-12-01,2014-12-31,Q13c1,with_only_children,0
Drug Use Disorder,4,3,0,stayers,2014-12-01,2014-12-31,Q13c1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,16,0,0,stayers,2014-12-01,2014-12-31,Q13c1,without_children,16
Both Alcohol and Drug Use Disorders,16,0,0,stayers,2014-12-01,2014-12-31,Q13c1,with_only_children,0
Both Alcohol and Drug Use Disorders,16,0,0,stayers,2014-12-01,2014-12-31,Q13c1,unknown_household_type,0
Chronic Health Condition,44,9,6,stayers,2014-12-01,2014-12-31,Q13c1,without_children,29
