count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,195,46,91,stayers,2014-11-01,2014-11-30,Q13c2,without_children,58
None,195,46,91,stayers,2014-11-01,2014-11-30,Q13c2,with_only_children,0
None,195,46,91,stayers,2014-11-01,2014-11-30,Q13c2,unknown_household_type,0
1 Condition,98,17,7,stayers,2014-11-01,2014-11-30,Q13c2,without_children,74
1 Condition,98,17,7,stayers,2014-11-01,2014-11-30,Q13c2,with_only_children,0
1 Condition,98,17,7,stayers,2014-11-01,2014-11-30,Q13c2,unknown_household_type,0
2 Conditions,51,6,3,stayers,2014-11-01,2014-11-30,Q13c2,without_children,42
2 Conditions,51,6,3,stayers,2014-11-01,2014-11-30,Q13c2,with_only_children,0
2 Conditions,51,6,3,stayers,2014-11-01,2014-11-30,Q13c2,unknown_household_type,0
3+ Conditions,22,1,0,stayers,2014-11-01,2014-11-30,Q13c2,without_children,21
3+ Conditions,22,1,0,stayers,2014-11-01,2014-11-30,Q13c2,with_only_children,0
3+ Conditions,22,1,0,stayers,2014-11-01,2014-11-30,Q13c2,unknown_household_type,0
Condition Unknown,11,3,3,stayers,2014-11-01,2014-11-30,Q13c2,without_children,5
Condition Unknown,11,3,3,stayers,2014-11-01,2014-11-30,Q13c2,with_only_children,0
Condition Unknown,11,3,3,stayers,2014-11-01,2014-11-30,Q13c2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2014-11-01,2014-11-30,Q13c2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2014-11-01,2014-11-30,Q13c2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2014-11-01,2014-11-30,Q13c2,unknown_household_type,0
Data Not Collected,2,0,1,stayers,2014-11-01,2014-11-30,Q13c2,without_children,1
Data Not Collected,2,0,1,stayers,2014-11-01,2014-11-30,Q13c2,with_only_children,0
Data Not Collected,2,0,1,stayers,2014-11-01,2014-11-30,Q13c2,unknown_household_type,0
None,196,48,86,stayers,2014-12-01,2014-12-31,Q13c2,without_children,60
None,196,48,86,stayers,2014-12-01,2014-12-31,Q13c2,with_only_children,2
None,196,48,86,stayers,2014-12-01,2014-12-31,Q13c2,unknown_household_type,0
1 Condition,106,19,10,stayers,2014-12-01,2014-12-31,Q13c2,without_children,77
1 Condition,106,19,10,stayers,2014-12-01,2014-12-31,Q13c2,with_only_children,0
1 Condition,106,19,10,stayers,2014-12-01,2014-12-31,Q13c2,unknown_household_type,0
2 Conditions,47,5,2,stayers,2014-12-01,2014-12-31,Q13c2,without_children,40
2 Conditions,47,5,2,stayers,2014-12-01,2014-12-31,Q13c2,with_only_children,0
2 Conditions,47,5,2,stayers,2014-12-01,2014-12-31,Q13c2,unknown_household_type,0
3+ Conditions,28,2,1,stayers,2014-12-01,2014-12-31,Q13c2,without_children,25
3+ Conditions,28,2,1,stayers,2014-12-01,2014-12-31,Q13c2,with_only_children,0
3+ Conditions,28,2,1,stayers,2014-12-01,2014-12-31,Q13c2,unknown_household_type,0
Condition Unknown,11,3,3,stayers,2014-12-01,2014-12-31,Q13c2,without_children,5
Condition Unknown,11,3,3,stayers,2014-12-01,2014-12-31,Q13c2,with_only_children,0
Condition Unknown,11,3,3,stayers,2014-12-01,2014-12-31,Q13c2,unknown_household_type,0
Client Doesn't Know/Client Refused,1,0,1,stayers,2014-12-01,2014-12-31,Q13c2,without_children,0
Client Doesn't Know/Client Refused,1,0,1,stayers,2014-12-01,2014-12-31,Q13c2,with_only_children,0
Client Doesn't Know/Client Refused,1,0,1,stayers,2014-12-01,2014-12-31,Q13c2,unknown_household_type,0
Data Not Collected,4,0,2,stayers,2014-12-01,2014-12-31,Q13c2,without_children,1
Data Not Collected,4,0,2,stayers,2014-12-01,2014-12-31,Q13c2,with_only_children,1
Data Not Collected,4,0,2,stayers,2014-12-01,2014-12-31,Q13c2,unknown_household_type,0
None,214,58,94,stayers,2015-01-01,2015-01-31,Q13c2,without_children,60
None,214,58,94,stayers,2015-01-01,2015-01-31,Q13c2,with_only_children,2
None,214,58,94,stayers,2015-01-01,2015-01-31,Q13c2,unknown_household_type,0
1 Condition,113,21,12,stayers,2015-01-01,2015-01-31,Q13c2,without_children,80
1 Condition,113,21,12,stayers,2015-01-01,2015-01-31,Q13c2,with_only_children,0
1 Condition,113,21,12,stayers,2015-01-01,2015-01-31,Q13c2,unknown_household_type,0
2 Conditions,50,4,3,stayers,2015-01-01,2015-01-31,Q13c2,without_children,43
2 Conditions,50,4,3,stayers,2015-01-01,2015-01-31,Q13c2,with_only_children,0
2 Conditions,50,4,3,stayers,2015-01-01,2015-01-31,Q13c2,unknown_household_type,0
3+ Conditions,28,4,1,stayers,2015-01-01,2015-01-31,Q13c2,without_children,23
3+ Conditions,28,4,1,stayers,2015-01-01,2015-01-31,Q13c2,with_only_children,0
3+ Conditions,28,4,1,stayers,2015-01-01,2015-01-31,Q13c2,unknown_household_type,0
Condition Unknown,10,3,2,stayers,2015-01-01,2015-01-31,Q13c2,without_children,5
