dv_history,total,population,start_date,end_date,question,household_type,count
Yes,53,all_persons,2014-11-01,2014-11-30,Q14a,without_children,35
Yes,53,all_persons,2014-11-01,2014-11-30,Q14a,with_children_and_adults,18
Yes,53,all_persons,2014-11-01,2014-11-30,Q14a,with_only_children,0
Yes,53,all_persons,2014-11-01,2014-11-30,Q14a,unknown_household_type,0
No,343,all_persons,2014-11-01,2014-11-30,Q14a,without_children,258
No,343,all_persons,2014-11-01,2014-11-30,Q14a,with_children_and_adults,85
No,343,all_persons,2014-11-01,2014-11-30,Q14a,with_only_children,0
No,343,all_persons,2014-11-01,2014-11-30,Q14a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2014-11-01,2014-11-30,Q14a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2014-11-01,2014-11-30,Q14a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2014-11-01,2014-11-30,Q14a,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2014-11-01,2014-11-30,Q14a,unknown_household_type,0
Data Not Collected,13,all_persons,2014-11-01,2014-11-30,Q14a,without_children,13
Data Not Collected,13,all_persons,2014-11-01,2014-11-30,Q14a,with_children_and_adults,0
Data Not Collected,13,all_persons,2014-11-01,2014-11-30,Q14a,with_only_children,0
Data Not Collected,13,all_persons,2014-11-01,2014-11-30,Q14a,unknown_household_type,0
Yes,37,all_persons,2014-12-01,2014-12-31,Q14a,without_children,22
Yes,37,all_persons,2014-12-01,2014-12-31,Q14a,with_children_and_adults,15
Yes,37,all_persons,2014-12-01,2014-12-31,Q14a,with_only_children,0
Yes,37,all_persons,2014-12-01,2014-12-31,Q14a,unknown_household_type,0
No,369,all_persons,2014-12-01,2014-12-31,Q14a,without_children,270
No,369,all_persons,2014-12-01,2014-12-31,Q14a,with_children_and_adults,99
No,369,all_persons,2014-12-01,2014-12-31,Q14a,with_only_children,0
No,369,all_persons,2014-12-01,2014-12-31,Q14a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2014-12-01,2014-12-31,Q14a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2014-12-01,2014-12-31,Q14a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2014-12-01,2014-12-31,Q14a,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2014-12-01,2014-12-31,Q14a,unknown_household_type,0
Data Not Collected,12,all_persons,2014-12-01,2014-12-31,Q14a,without_children,12
Data Not Collected,12,all_persons,2014-12-01,2014-12-31,Q14a,with_children_and_adults,0
Data Not Collected,12,all_persons,2014-12-01,2014-12-31,Q14a,with_only_children,0
Data Not Collected,12,all_persons,2014-12-01,2014-12-31,Q14a,unknown_household_type,0
Yes,38,all_persons,2015-01-01,2015-01-31,Q14a,without_children,23
Yes,38,all_persons,2015-01-01,2015-01-31,Q14a,with_children_and_adults,15
Yes,38,all_persons,2015-01-01,2015-01-31,Q14a,with_only_children,0
Yes,38,all_persons,2015-01-01,2015-01-31,Q14a,unknown_household_type,0
No,391,all_persons,2015-01-01,2015-01-31,Q14a,without_children,284
No,391,all_persons,2015-01-01,2015-01-31,Q14a,with_children_and_adults,107
No,391,all_persons,2015-01-01,2015-01-31,Q14a,with_only_children,0
No,391,all_persons,2015-01-01,2015-01-31,Q14a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2015-01-01,2015-01-31,Q14a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2015-01-01,2015-01-31,Q14a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2015-01-01,2015-01-31,Q14a,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2015-01-01,2015-01-31,Q14a,unknown_household_type,0
Data Not Collected,14,all_persons,2015-01-01,2015-01-31,Q14a,without_children,13
Data Not Collected,14,all_persons,2015-01-01,2015-01-31,Q14a,with_children_and_adults,1
Data Not Collected,14,all_persons,2015-01-01,2015-01-31,Q14a,with_only_children,0
Data Not Collected,14,all_persons,2015-01-01,2015-01-31,Q14a,unknown_household_type,0
Yes,47,all_persons,2015-02-01,2015-02-28,Q14a,without_children,28
Yes,47,all_persons,2015-02-01,2015-02-28,Q14a,with_children_and_adults,19
Yes,47,all_persons,2015-02-01,2015-02-28,Q14a,with_only_children,0
Yes,47,all_persons,2015-02-01,2015-02-28,Q14a,unknown_household_type,0
No,386,all_persons,2015-02-01,2015-02-28,Q14a,without_children,292
No,386,all_persons,2015-02-01,2015-02-28,Q14a,with_children_and_adults,94
No,386,all_persons,2015-02-01,2015-02-28,Q14a,with_only_children,0
No,386,all_persons,2015-02-01,2015-02-28,Q14a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2015-02-01,2015-02-28,Q14a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2015-02-01,2015-02-28,Q14a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2015-02-01,2015-02-28,Q14a,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2015-02-01,2015-02-28,Q14a,unknown_household_type,0
Data Not Collected,14,all_persons,2015-02-01,2015-02-28,Q14a,without_children,13
Data Not Collected,14,all_persons,2015-02-01,2015-02-28,Q14a,with_children_and_adults,0
Data Not Collected,14,all_persons,2015-02-01,2015-02-28,Q14a,with_only_children,0
Data Not Collected,14,all_persons,2015-02-01,2015-02-28,Q14a,unknown_household_type,1
Yes,44,all_persons,2015-03-01,2015-03-31,Q14a,without_children,26
Yes,44,all_persons,2015-03-01,2015-03-31,Q14a,with_children_and_adults,18
Yes,44,all_persons,2015-03-01,2015-03-31,Q14a,with_only_children,0
Yes,44,all_persons,2015-03-01,2015-03-31,Q14a,unknown_household_type,0
No,376,all_persons,2015-03-01,2015-03-31,Q14a,without_children,296
No,376,all_persons,2015-03-01,2015-03-31,Q14a,with_children_and_adults,80
No,376,all_persons,2015-03-01,2015-03-31,Q14a,with_only_children,0
No,376,all_persons,2015-03-01,2015-03-31,Q14a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2015-03-01,2015-03-31,Q14a,without_children,1
