dv_fleeing,total,population,start_date,end_date,question,household_type,count
Yes,0,all_persons,2014-11-01,2014-11-30,Q14b,without_children,0
Yes,0,all_persons,2014-11-01,2014-11-30,Q14b,with_children_and_adults,0
Yes,0,all_persons,2014-11-01,2014-11-30,Q14b,with_only_children,0
Yes,0,all_persons,2014-11-01,2014-11-30,Q14b,unknown_household_type,0
No,1,all_persons,2014-11-01,2014-11-30,Q14b,without_children,0
No,1,all_persons,2014-11-01,2014-11-30,Q14b,with_children_and_adults,1
No,1,all_persons,2014-11-01,2014-11-30,Q14b,with_only_children,0
No,1,all_persons,2014-11-01,2014-11-30,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2014-11-01,2014-11-30,Q14b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2014-11-01,2014-11-30,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2014-11-01,2014-11-30,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2014-11-01,2014-11-30,Q14b,unknown_household_type,0
Data Not Collected,52,all_persons,2014-11-01,2014-11-30,Q14b,without_children,35
Data Not Collected,52,all_persons,2014-11-01,2014-11-30,Q14b,with_children_and_adults,17
Data Not Collected,52,all_persons,2014-11-01,2014-11-30,Q14b,with_only_children,0
Data Not Collected,52,all_persons,2014-11-01,2014-11-30,Q14b,unknown_household_type,0
Yes,0,all_persons,2014-12-01,2014-12-31,Q14b,without_children,0
Yes,0,all_persons,2014-12-01,2014-12-31,Q14b,with_children_and_adults,0
Yes,0,all_persons,2014-12-01,2014-12-31,Q14b,with_only_children,0
Yes,0,all_persons,2014-12-01,2014-12-31,Q14b,unknown_household_type,0
No,0,all_persons,2014-12-01,2014-12-31,Q14b,without_children,0
No,0,all_persons,2014-12-01,2014-12-31,Q14b,with_children_and_adults,0
No,0,all_persons,2014-12-01,2014-12-31,Q14b,with_only_children,0
No,0,all_persons,2014-12-01,2014-12-31,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2014-12-01,2014-12-31,Q14b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2014-12-01,2014-12-31,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2014-12-01,2014-12-31,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2014-12-01,2014-12-31,Q14b,unknown_household_type,0
Data Not Collected,37,all_persons,2014-12-01,2014-12-31,Q14b,without_children,22
Data Not Collected,37,all_persons,2014-12-01,2014-12-31,Q14b,with_children_and_adults,15
Data Not Collected,37,all_persons,2014-12-01,2014-12-31,Q14b,with_only_children,0
Data Not Collected,37,all_persons,2014-12-01,2014-12-31,Q14b,unknown_household_type,0
Yes,0,all_persons,2015-01-01,2015-01-31,Q14b,without_children,0
Yes,0,all_persons,2015-01-01,2015-01-31,Q14b,with_children_and_adults,0
Yes,0,all_persons,2015-01-01,2015-01-31,Q14b,with_only_children,0
Yes,0,all_persons,2015-01-01,2015-01-31,Q14b,unknown_household_type,0
No,1,all_persons,2015-01-01,2015-01-31,Q14b,without_children,0
No,1,all_persons,2015-01-01,2015-01-31,Q14b,with_children_and_adults,1
No,1,all_persons,2015-01-01,2015-01-31,Q14b,with_only_children,0
No,1,all_persons,2015-01-01,2015-01-31,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2015-01-01,2015-01-31,Q14b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-01-01,2015-01-31,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2015-01-01,2015-01-31,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-01-01,2015-01-31,Q14b,unknown_household_type,0
Data Not Collected,37,all_persons,2015-01-01,2015-01-31,Q14b,without_children,23
Data Not Collected,37,all_persons,2015-01-01,2015-01-31,Q14b,with_children_and_adults,14
Data Not Collected,37,all_persons,2015-01-01,2015-01-31,Q14b,with_only_children,0
Data Not Collected,37,all_persons,2015-01-01,2015-01-31,Q14b,unknown_household_type,0
Yes,0,all_persons,2015-02-01,2015-02-28,Q14b,without_children,0
Yes,0,all_persons,2015-02-01,2015-02-28,Q14b,with_children_and_adults,0
Yes,0,all_persons,2015-02-01,2015-02-28,Q14b,with_only_children,0
Yes,0,all_persons,2015-02-01,2015-02-28,Q14b,unknown_household_type,0
No,1,all_persons,2015-02-01,2015-02-28,Q14b,without_children,0
No,1,all_persons,2015-02-01,2015-02-28,Q14b,with_children_and_adults,1
No,1,all_persons,2015-02-01,2015-02-28,Q14b,with_only_children,0
No,1,all_persons,2015-02-01,2015-02-28,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2015-02-01,2015-02-28,Q14b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-02-01,2015-02-28,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2015-02-01,2015-02-28,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-02-01,2015-02-28,Q14b,unknown_household_type,0
Data Not Collected,46,all_persons,2015-02-01,2015-02-28,Q14b,without_children,28
Data Not Collected,46,all_persons,2015-02-01,2015-02-28,Q14b,with_children_and_adults,18
Data Not Collected,46,all_persons,2015-02-01,2015-02-28,Q14b,with_only_children,0
Data Not Collected,46,all_persons,2015-02-01,2015-02-28,Q14b,unknown_household_type,0
Yes,0,all_persons,2015-03-01,2015-03-31,Q14b,without_children,0
Yes,0,all_persons,2015-03-01,2015-03-31,Q14b,with_children_and_adults,0
Yes,0,all_persons,2015-03-01,2015-03-31,Q14b,with_only_children,0
Yes,0,all_persons,2015-03-01,2015-03-31,Q14b,unknown_household_type,0
No,3,all_persons,2015-03-01,2015-03-31,Q14b,without_children,0
No,3,all_persons,2015-03-01,2015-03-31,Q14b,with_children_and_adults,3
No,3,all_persons,2015-03-01,2015-03-31,Q14b,with_only_children,0
No,3,all_persons,2015-03-01,2015-03-31,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2015-03-01,2015-03-31,Q14b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-03-01,2015-03-31,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2015-03-01,2015-03-31,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-03-01,2015-03-31,Q14b,unknown_household_type,0
Data Not Collected,41,all_persons,2015-03-01,2015-03-31,Q14b,without_children,26
Data Not Collected,41,all_persons,2015-03-01,2015-03-31,Q14b,with_children_and_adults,15
Data Not Collected,41,all_persons,2015-03-01,2015-03-31,Q14b,with_only_children,0
Data Not Collected,41,all_persons,2015-03-01,2015-03-31,Q14b,unknown_household_type,0
Yes,0,all_persons,2015-04-01,2015-04-30,Q14b,without_children,0
Yes,0,all_persons,2015-04-01,2015-04-30,Q14b,with_children_and_adults,0
Yes,0,all_persons,2015-04-01,2015-04-30,Q14b,with_only_children,0
Yes,0,all_persons,2015-04-01,2015-04-30,Q14b,unknown_household_type,0
No,7,all_persons,2015-04-01,2015-04-30,Q14b,without_children,3
No,7,all_persons,2015-04-01,2015-04-30,Q14b,with_children_and_adults,4
No,7,all_persons,2015-04-01,2015-04-30,Q14b,with_only_children,0
No,7,all_persons,2015-04-01,2015-04-30,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2015-04-01,2015-04-30,Q14b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-04-01,2015-04-30,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2015-04-01,2015-04-30,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-04-01,2015-04-30,Q14b,unknown_household_type,0
