income_range,population,start_date,end_date,question,status,count
No Income,adults,2014-11-01,2014-11-30,Q16,income_at_start,170
No Income,adults,2014-11-01,2014-11-30,Q16,income_at_latest_annual_assessment_for_stayers,1
No Income,adults,2014-11-01,2014-11-30,Q16,income_at_exit_for_leavers,63
$1 -  $150,adults,2014-11-01,2014-11-30,Q16,income_at_start,5
$1 -  $150,adults,2014-11-01,2014-11-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$1 -  $150,adults,2014-11-01,2014-11-30,Q16,income_at_exit_for_leavers,2
$151 - $250,adults,2014-11-01,2014-11-30,Q16,income_at_start,7
$151 - $250,adults,2014-11-01,2014-11-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$151 - $250,adults,2014-11-01,2014-11-30,Q16,income_at_exit_for_leavers,4
$251 - $500,adults,2014-11-01,2014-11-30,Q16,income_at_start,26
$251 - $500,adults,2014-11-01,2014-11-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$251 - $500,adults,2014-11-01,2014-11-30,Q16,income_at_exit_for_leavers,7
$501 - $1000,adults,2014-11-01,2014-11-30,Q16,income_at_start,87
$501 - $1000,adults,2014-11-01,2014-11-30,Q16,income_at_latest_annual_assessment_for_stayers,2
$501 - $1000,adults,2014-11-01,2014-11-30,Q16,income_at_exit_for_leavers,18
$1001 - $1500,adults,2014-11-01,2014-11-30,Q16,income_at_start,44
$1001 - $1500,adults,2014-11-01,2014-11-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$1001 - $1500,adults,2014-11-01,2014-11-30,Q16,income_at_exit_for_leavers,11
$1501 - $2000,adults,2014-11-01,2014-11-30,Q16,income_at_start,21
$1501 - $2000,adults,2014-11-01,2014-11-30,Q16,income_at_latest_annual_assessment_for_stayers,0
$1501 - $2000,adults,2014-11-01,2014-11-30,Q16,income_at_exit_for_leavers,12
$2001+,adults,2014-11-01,2014-11-30,Q16,income_at_start,22
$2001+,adults,2014-11-01,2014-11-30,Q16,income_at_latest_annual_assessment_for_stayers,1
$2001+,adults,2014-11-01,2014-11-30,Q16,income_at_exit_for_leavers,13
Client Doesn't Know/Client Refused,adults,2014-11-01,2014-11-30,Q16,income_at_start,1
