number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_start,91
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_annual_assessment_stayers,1
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_exit_leavers,35
Adults with Only Other Income,all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_start,105
Adults with Only Other Income,all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_annual_assessment_stayers,2
Adults with Only Other Income,all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_exit_leavers,24
Adults with Both Earned and Other Income,all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_start,16
Adults with Both Earned and Other Income,all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_exit_leavers,8
Adults with No Income,all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_start,193
Adults with No Income,all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_annual_assessment_stayers,1
Adults with No Income,all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_exit_leavers,69
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_start,1
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_start,4
Adults with Missing Income Information,all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2014-11-01,2014-11-30,Q18,number_of_adults_at_start,0
