income_change_by_income_category_universe_adult_stayers_with_income_information_at_start_and_annual_assessment,had_income_category_at_start_and_did_not_have_it_at_annual_assessment,retained_income_category_but_had_less_at_annual_assessment_than_at_start,retained_income_category_and_same_at_annual_assessment_as_at_start,retained_income_category_and_increased_at_annual_assessment,did_not_have_the_income_category_at_start_and_gained_the_income_category_at_annual_assessment,did_not_have_the_income_category_at_start_or_at_annual_assessment,total_adults_including_those_with_no_income,performance_measure_adults_who_gained_or_increased_income_from_start_to_annual_assessment,average_gain,performance_measure_percent_of_persons_who_accomplished_this_measure,population,start_date,end_date,question
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,0,1,0,3,4,1,0.25,NA,all_persons,2014-11-01,2014-11-30,Q19a1
Average Change in Earned Income,0,0,0,1200,0,0,0,1200,0,NA,all_persons,2014-11-01,2014-11-30,Q19a1
Number of Adults with Other Income,1,0,2,0,0,1,4,0,0,NA,all_persons,2014-11-01,2014-11-30,Q19a1
Average Change in Other Income,-231,0,0,0,0,0,0,0,0,NA,all_persons,2014-11-01,2014-11-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,0,2,1,0,0,4,1,0.25,NA,all_persons,2014-11-01,2014-11-30,Q19a1
Average Change in Overall Income,-231,0,0,1200,0,0,242,1200,0,NA,all_persons,2014-11-01,2014-11-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,1,1,0,6,8,1,0.13,NA,all_persons,2014-12-01,2014-12-31,Q19a1
Average Change in Earned Income,0,0,0,1200,0,0,0,1200,0,NA,all_persons,2014-12-01,2014-12-31,Q19a1
Number of Adults with Other Income,1,0,4,0,1,2,8,1,0.13,NA,all_persons,2014-12-01,2014-12-31,Q19a1
Average Change in Other Income,-231,0,0,0,733,0,0,733,0,NA,all_persons,2014-12-01,2014-12-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,0,4,2,0,1,8,2,0.25,NA,all_persons,2014-12-01,2014-12-31,Q19a1
Average Change in Overall Income,-231,0,0,966.5,0,0,212,966.5,0,NA,all_persons,2014-12-01,2014-12-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,1,1,0,9,11,1,0.09,NA,all_persons,2015-01-01,2015-01-31,Q19a1
Average Change in Earned Income,0,0,0,1200,0,0,0,1200,0,NA,all_persons,2015-01-01,2015-01-31,Q19a1
Number of Adults with Other Income,1,1,6,0,1,2,11,1,0.09,NA,all_persons,2015-01-01,2015-01-31,Q19a1
Average Change in Other Income,-231,-131,0,0,733,0,0,733,0,NA,all_persons,2015-01-01,2015-01-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,1,6,2,0,1,11,2,0.18,NA,all_persons,2015-01-01,2015-01-31,Q19a1
Average Change in Overall Income,-231,-131,0,966.5,0,0,142,966.5,0,NA,all_persons,2015-01-01,2015-01-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,1,1,0,10,12,1,0.08,NA,all_persons,2015-02-01,2015-02-28,Q19a1
Average Change in Earned Income,0,0,0,1200,0,0,0,1200,0,NA,all_persons,2015-02-01,2015-02-28,Q19a1
Number of Adults with Other Income,1,1,7,0,1,2,12,1,0.08,NA,all_persons,2015-02-01,2015-02-28,Q19a1
Average Change in Other Income,-231,-131,0,0,733,0,0,733,0,NA,all_persons,2015-02-01,2015-02-28,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,1,7,2,0,1,12,2,0.17,NA,all_persons,2015-02-01,2015-02-28,Q19a1
Average Change in Overall Income,-231,-131,0,966.5,0,0,130,966.5,0,NA,all_persons,2015-02-01,2015-02-28,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,1,1,0,10,12,1,0.08,NA,all_persons,2015-03-01,2015-03-31,Q19a1
Average Change in Earned Income,0,0,0,1200,0,0,0,1200,0,NA,all_persons,2015-03-01,2015-03-31,Q19a1
Number of Adults with Other Income,1,1,7,0,1,2,12,1,0.08,NA,all_persons,2015-03-01,2015-03-31,Q19a1
Average Change in Other Income,-231,-131,0,0,733,0,0,733,0,NA,all_persons,2015-03-01,2015-03-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,1,7,2,0,1,12,2,0.17,NA,all_persons,2015-03-01,2015-03-31,Q19a1
Average Change in Overall Income,-231,-131,0,966.5,0,0,130,966.5,0,NA,all_persons,2015-03-01,2015-03-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,2,1,0,11,14,1,0.07,NA,all_persons,2015-04-01,2015-04-30,Q19a1
Average Change in Earned Income,0,0,0,1200,0,0,0,1200,0,NA,all_persons,2015-04-01,2015-04-30,Q19a1
Number of Adults with Other Income,1,1,8,0,1,3,14,1,0.07,NA,all_persons,2015-04-01,2015-04-30,Q19a1
Average Change in Other Income,-231,-131,0,0,733,0,0,733,0,NA,all_persons,2015-04-01,2015-04-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,1,9,2,0,1,14,2,0.14,NA,all_persons,2015-04-01,2015-04-30,Q19a1
Average Change in Overall Income,-231,-131,0,966.5,0,0,112,966.5,0,NA,all_persons,2015-04-01,2015-04-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,2,1,0,17,20,1,0.05,NA,all_persons,2015-05-01,2015-05-31,Q19a1
Average Change in Earned Income,0,0,0,1200,0,0,0,1200,0,NA,all_persons,2015-05-01,2015-05-31,Q19a1
Number of Adults with Other Income,1,1,14,0,1,3,20,1,0.05,NA,all_persons,2015-05-01,2015-05-31,Q19a1
Average Change in Other Income,-231,-131,0,0,733,0,0,733,0,NA,all_persons,2015-05-01,2015-05-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,1,15,2,0,1,20,2,0.1,NA,all_persons,2015-05-01,2015-05-31,Q19a1
Average Change in Overall Income,-231,-131,0,966.5,0,0,78,966.5,0,NA,all_persons,2015-05-01,2015-05-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,2,0,0,17,19,0,0,NA,all_persons,2015-06-01,2015-06-30,Q19a1
Average Change in Earned Income,0,0,0,0,0,0,0,0,0,NA,all_persons,2015-06-01,2015-06-30,Q19a1
Number of Adults with Other Income,1,1,14,0,1,2,19,1,0.05,NA,all_persons,2015-06-01,2015-06-30,Q19a1
Average Change in Other Income,-231,-131,0,0,733,0,0,733,0,NA,all_persons,2015-06-01,2015-06-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,1,15,1,0,1,19,1,0.05,NA,all_persons,2015-06-01,2015-06-30,Q19a1
Average Change in Overall Income,-231,-131,0,733,0,0,19,733,0,NA,all_persons,2015-06-01,2015-06-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,2,0,0,18,20,0,0,NA,all_persons,2015-07-01,2015-07-31,Q19a1
Average Change in Earned Income,0,0,0,0,0,0,0,0,0,NA,all_persons,2015-07-01,2015-07-31,Q19a1
Number of Adults with Other Income,1,1,14,1,1,2,20,2,0.1,NA,all_persons,2015-07-01,2015-07-31,Q19a1
Average Change in Other Income,-231,-131,0,2810,733,0,0,1771.5,0,NA,all_persons,2015-07-01,2015-07-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,1,15,2,0,1,20,2,0.1,NA,all_persons,2015-07-01,2015-07-31,Q19a1
Average Change in Overall Income,-231,-131,0,1771.5,0,0,159,1771.5,0,NA,all_persons,2015-07-01,2015-07-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,2,0,0,19,21,0,0,NA,all_persons,2015-08-01,2015-08-31,Q19a1
Average Change in Earned Income,0,0,0,0,0,0,0,0,0,NA,all_persons,2015-08-01,2015-08-31,Q19a1
Number of Adults with Other Income,1,1,14,1,2,2,21,3,0.14,NA,all_persons,2015-08-01,2015-08-31,Q19a1
Average Change in Other Income,-231,-131,0,2810,716.5,0,0,1414.33,0,NA,all_persons,2015-08-01,2015-08-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,1,15,2,1,1,21,3,0.14,NA,all_persons,2015-08-01,2015-08-31,Q19a1
Average Change in Overall Income,-231,-131,0,1771.5,700,0,184,1414.33,0,NA,all_persons,2015-08-01,2015-08-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,2,0,0,20,22,0,0,NA,all_persons,2015-09-01,2015-09-30,Q19a1
Average Change in Earned Income,0,0,0,0,0,0,0,0,0,NA,all_persons,2015-09-01,2015-09-30,Q19a1
Number of Adults with Other Income,1,1,15,1,2,2,22,3,0.14,NA,all_persons,2015-09-01,2015-09-30,Q19a1
Average Change in Other Income,-231,-131,0,2810,716.5,0,0,1414.33,0,NA,all_persons,2015-09-01,2015-09-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,1,16,2,1,1,22,3,0.14,NA,all_persons,2015-09-01,2015-09-30,Q19a1
Average Change in Overall Income,-231,-131,0,1771.5,700,0,176,1414.33,0,NA,all_persons,2015-09-01,2015-09-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,2,1,0,21,25,1,0.04,NA,all_persons,2015-10-01,2015-10-31,Q19a1
Average Change in Earned Income,0,0,0,2033,0,0,0,2033,0,NA,all_persons,2015-10-01,2015-10-31,Q19a1
Number of Adults with Other Income,1,1,15,1,2,5,25,3,0.12,NA,all_persons,2015-10-01,2015-10-31,Q19a1
Average Change in Other Income,-231,-131,0,2810,716.5,0,0,1414.33,0,NA,all_persons,2015-10-01,2015-10-31,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",1,1,16,3,1,2,25,4,0.16,NA,all_persons,2015-10-01,2015-10-31,Q19a1
Average Change in Overall Income,-231,-131,0,1858.67,700,0,236,1569,0,NA,all_persons,2015-10-01,2015-10-31,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",0,0,2,1,1,27,32,2,0.06,NA,all_persons,2015-11-01,2015-11-30,Q19a1
Average Change in Earned Income,0,0,0,2033,917,0,0,1475,0,NA,all_persons,2015-11-01,2015-11-30,Q19a1
Number of Adults with Other Income,2,1,17,1,3,8,32,4,0.13,NA,all_persons,2015-11-01,2015-11-30,Q19a1
Average Change in Other Income,-427,-131,0,2810,1041.67,0,0,1483.75,0,NA,all_persons,2015-11-01,2015-11-30,Q19a1
"Number of Adults with Any Income (i.e., Total Income)",2,1,18,3,3,4,32,6,0.19,NA,all_persons,2015-11-01,2015-11-30,Q19a1
Average Change in Overall Income,-427,-131,0,1858.67,1103,0,246,1480.83,0,NA,all_persons,2015-11-01,2015-11-30,Q19a1
"Number of Adults with Earned Income (ie.e, Employment Income)",1,0,1,1,1,27,32,2,0.06,NA,all_persons,2015-12-01,2015-12-31,Q19a1
Average Change in Earned Income,-721,0,0,2033,917,0,0,1475,0,NA,all_persons,2015-12-01,2015-12-31,Q19a1
Number of Adults with Other Income,2,1,16,2,3,8,32,5,0.16,NA,all_persons,2015-12-01,2015-12-31,Q19a1
