income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,3,21,24,0.13,0,18,18,0,0,0,0,0,adults,2014-11-01,2014-11-30,Q19b
Supplemental Security Income (SSI),5,1,6,0.83,0,0,0,0,0,0,0,0,adults,2014-11-01,2014-11-30,Q19b
Social Security Disability Insurance (SSDI),11,1,12,0.92,0,1,1,0,0,0,0,0,adults,2014-11-01,2014-11-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2014-11-01,2014-11-30,Q19b
Private Disability Insurance,0,0,0,0,0,0,0,0,0,0,0,0,adults,2014-11-01,2014-11-30,Q19b
Worker's Compensation,0,0,0,0,0,0,0,0,0,0,0,0,adults,2014-11-01,2014-11-30,Q19b
Temporary Assistance for Needy Families (TANF),0,3,3,0,0,1,1,0,0,0,0,0,adults,2014-11-01,2014-11-30,Q19b
Retirement Income from Social Security,0,1,1,0,0,0,0,0,0,0,0,0,adults,2014-11-01,2014-11-30,Q19b
Pension or retirement income from a former job,0,0,0,0,0,0,0,0,0,0,0,0,adults,2014-11-01,2014-11-30,Q19b
Child Support,1,5,6,0.17,0,5,5,0,0,0,0,0,adults,2014-11-01,2014-11-30,Q19b
Other source,2,2,4,0.5,0,0,0,0,0,0,0,0,adults,2014-11-01,2014-11-30,Q19b
No Sources,9,38,47,0.19,0,9,9,0,0,0,0,0,adults,2014-11-01,2014-11-30,Q19b
Unduplicated Total Adults,27,66,93,NA,0,29,29,NA,0,0,0,NA,adults,2014-11-01,2014-11-30,Q19b
Earned Income,2,18,20,0.1,1,16,17,0.06,0,0,0,0,adults,2014-12-01,2014-12-31,Q19b
