count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_entry,212
No Sources,all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,2
No Sources,all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_exit_for_leavers,72
1 + Source(s),all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_entry,157
1 + Source(s),all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,2
1 + Source(s),all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_exit_for_leavers,57
Client Doesn't Know/Client Refused,all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_entry,1
Client Doesn't Know/Client Refused,all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_exit_for_leavers,1
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_entry,40
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,270
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2014-11-01,2014-11-30,Q20b,benefit_at_exit_for_leavers,6
No Sources,all_persons,2014-12-01,2014-12-31,Q20b,benefit_at_entry,225
No Sources,all_persons,2014-12-01,2014-12-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,3
No Sources,all_persons,2014-12-01,2014-12-31,Q20b,benefit_at_exit_for_leavers,73
1 + Source(s),all_persons,2014-12-01,2014-12-31,Q20b,benefit_at_entry,151
1 + Source(s),all_persons,2014-12-01,2014-12-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,5
1 + Source(s),all_persons,2014-12-01,2014-12-31,Q20b,benefit_at_exit_for_leavers,54
Client Doesn't Know/Client Refused,all_persons,2014-12-01,2014-12-31,Q20b,benefit_at_entry,0
Client Doesn't Know/Client Refused,all_persons,2014-12-01,2014-12-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2014-12-01,2014-12-31,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2014-12-01,2014-12-31,Q20b,benefit_at_entry,43
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2014-12-01,2014-12-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,277
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2014-12-01,2014-12-31,Q20b,benefit_at_exit_for_leavers,7
No Sources,all_persons,2015-01-01,2015-01-31,Q20b,benefit_at_entry,233
No Sources,all_persons,2015-01-01,2015-01-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,4
No Sources,all_persons,2015-01-01,2015-01-31,Q20b,benefit_at_exit_for_leavers,74
1 + Source(s),all_persons,2015-01-01,2015-01-31,Q20b,benefit_at_entry,165
1 + Source(s),all_persons,2015-01-01,2015-01-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,6
1 + Source(s),all_persons,2015-01-01,2015-01-31,Q20b,benefit_at_exit_for_leavers,59
Client Doesn't Know/Client Refused,all_persons,2015-01-01,2015-01-31,Q20b,benefit_at_entry,0
Client Doesn't Know/Client Refused,all_persons,2015-01-01,2015-01-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2015-01-01,2015-01-31,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2015-01-01,2015-01-31,Q20b,benefit_at_entry,46
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2015-01-01,2015-01-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,292
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2015-01-01,2015-01-31,Q20b,benefit_at_exit_for_leavers,9
No Sources,all_persons,2015-02-01,2015-02-28,Q20b,benefit_at_entry,247
No Sources,all_persons,2015-02-01,2015-02-28,Q20b,benefit_at_latest_annual_assessment_for_stayers,4
No Sources,all_persons,2015-02-01,2015-02-28,Q20b,benefit_at_exit_for_leavers,71
1 + Source(s),all_persons,2015-02-01,2015-02-28,Q20b,benefit_at_entry,155
1 + Source(s),all_persons,2015-02-01,2015-02-28,Q20b,benefit_at_latest_annual_assessment_for_stayers,7
1 + Source(s),all_persons,2015-02-01,2015-02-28,Q20b,benefit_at_exit_for_leavers,53
Client Doesn't Know/Client Refused,all_persons,2015-02-01,2015-02-28,Q20b,benefit_at_entry,1
Client Doesn't Know/Client Refused,all_persons,2015-02-01,2015-02-28,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2015-02-01,2015-02-28,Q20b,benefit_at_exit_for_leavers,1
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2015-02-01,2015-02-28,Q20b,benefit_at_entry,45
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2015-02-01,2015-02-28,Q20b,benefit_at_latest_annual_assessment_for_stayers,303
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2015-02-01,2015-02-28,Q20b,benefit_at_exit_for_leavers,9
No Sources,all_persons,2015-03-01,2015-03-31,Q20b,benefit_at_entry,249
No Sources,all_persons,2015-03-01,2015-03-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,4
No Sources,all_persons,2015-03-01,2015-03-31,Q20b,benefit_at_exit_for_leavers,74
1 + Source(s),all_persons,2015-03-01,2015-03-31,Q20b,benefit_at_entry,147
