summary,population,start_date,end_date,question,status,count
Average Length,all_persons,2014-11-01,2014-11-30,Q22b,leavers,22
Average Length,all_persons,2014-11-01,2014-11-30,Q22b,stayers,630
Median Length,all_persons,2014-11-01,2014-11-30,Q22b,leavers,1
Median Length,all_persons,2014-11-01,2014-11-30,Q22b,stayers,87
Average Length,all_persons,2014-12-01,2014-12-31,Q22b,leavers,37
Average Length,all_persons,2014-12-01,2014-12-31,Q22b,stayers,613
Median Length,all_persons,2014-12-01,2014-12-31,Q22b,leavers,2
Median Length,all_persons,2014-12-01,2014-12-31,Q22b,stayers,77
Average Length,all_persons,2015-01-01,2015-01-31,Q22b,leavers,19
Average Length,all_persons,2015-01-01,2015-01-31,Q22b,stayers,606
Median Length,all_persons,2015-01-01,2015-01-31,Q22b,leavers,1
Median Length,all_persons,2015-01-01,2015-01-31,Q22b,stayers,88
Average Length,all_persons,2015-02-01,2015-02-28,Q22b,leavers,30
Average Length,all_persons,2015-02-01,2015-02-28,Q22b,stayers,608
Median Length,all_persons,2015-02-01,2015-02-28,Q22b,leavers,2
Median Length,all_persons,2015-02-01,2015-02-28,Q22b,stayers,88
Average Length,all_persons,2015-03-01,2015-03-31,Q22b,leavers,23
Average Length,all_persons,2015-03-01,2015-03-31,Q22b,stayers,699
Median Length,all_persons,2015-03-01,2015-03-31,Q22b,leavers,3
Median Length,all_persons,2015-03-01,2015-03-31,Q22b,stayers,126
Average Length,all_persons,2015-04-01,2015-04-30,Q22b,leavers,32
Average Length,all_persons,2015-04-01,2015-04-30,Q22b,stayers,790
Median Length,all_persons,2015-04-01,2015-04-30,Q22b,leavers,3
Median Length,all_persons,2015-04-01,2015-04-30,Q22b,stayers,184
Average Length,all_persons,2015-05-01,2015-05-31,Q22b,leavers,33
Average Length,all_persons,2015-05-01,2015-05-31,Q22b,stayers,723
Median Length,all_persons,2015-05-01,2015-05-31,Q22b,leavers,0
Median Length,all_persons,2015-05-01,2015-05-31,Q22b,stayers,132
Average Length,all_persons,2015-06-01,2015-06-30,Q22b,leavers,129
Average Length,all_persons,2015-06-01,2015-06-30,Q22b,stayers,721
Median Length,all_persons,2015-06-01,2015-06-30,Q22b,leavers,40
Median Length,all_persons,2015-06-01,2015-06-30,Q22b,stayers,110
Average Length,all_persons,2015-07-01,2015-07-31,Q22b,leavers,36
Average Length,all_persons,2015-07-01,2015-07-31,Q22b,stayers,676
Median Length,all_persons,2015-07-01,2015-07-31,Q22b,leavers,8
Median Length,all_persons,2015-07-01,2015-07-31,Q22b,stayers,101
Average Length,all_persons,2015-08-01,2015-08-31,Q22b,leavers,69
Average Length,all_persons,2015-08-01,2015-08-31,Q22b,stayers,639
Median Length,all_persons,2015-08-01,2015-08-31,Q22b,leavers,48
Median Length,all_persons,2015-08-01,2015-08-31,Q22b,stayers,84
Average Length,all_persons,2015-09-01,2015-09-30,Q22b,leavers,85
Average Length,all_persons,2015-09-01,2015-09-30,Q22b,stayers,603
Median Length,all_persons,2015-09-01,2015-09-30,Q22b,leavers,35
Median Length,all_persons,2015-09-01,2015-09-30,Q22b,stayers,70
Average Length,all_persons,2015-10-01,2015-10-31,Q22b,leavers,59
Average Length,all_persons,2015-10-01,2015-10-31,Q22b,stayers,584
Median Length,all_persons,2015-10-01,2015-10-31,Q22b,leavers,34
Median Length,all_persons,2015-10-01,2015-10-31,Q22b,stayers,68
Average Length,all_persons,2015-11-01,2015-11-30,Q22b,leavers,46
Average Length,all_persons,2015-11-01,2015-11-30,Q22b,stayers,578
Median Length,all_persons,2015-11-01,2015-11-30,Q22b,leavers,38
Median Length,all_persons,2015-11-01,2015-11-30,Q22b,stayers,80
