veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,3,all_households,2014-11-01,2014-11-30,Q25b,without_children,3
Chronically Homeless Veteran,3,all_households,2014-11-01,2014-11-30,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,3,all_households,2014-11-01,2014-11-30,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,13,all_households,2014-11-01,2014-11-30,Q25b,without_children,13
Non-Chronically Homeless Veteran,13,all_households,2014-11-01,2014-11-30,Q25b,with_children_and_adults,0
Non-Chronically Homeless Veteran,13,all_households,2014-11-01,2014-11-30,Q25b,unknown_household_type,0
Not a Veteran,281,all_households,2014-11-01,2014-11-30,Q25b,without_children,225
Not a Veteran,281,all_households,2014-11-01,2014-11-30,Q25b,with_children_and_adults,56
Not a Veteran,281,all_households,2014-11-01,2014-11-30,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_households,2014-11-01,2014-11-30,Q25b,without_children,2
Client Doesn't Know/Client Refused,2,all_households,2014-11-01,2014-11-30,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_households,2014-11-01,2014-11-30,Q25b,unknown_household_type,0
Data Not Collected,6,all_households,2014-11-01,2014-11-30,Q25b,without_children,5
Data Not Collected,6,all_households,2014-11-01,2014-11-30,Q25b,with_children_and_adults,1
Data Not Collected,6,all_households,2014-11-01,2014-11-30,Q25b,unknown_household_type,0
Chronically Homeless Veteran,3,all_households,2014-12-01,2014-12-31,Q25b,without_children,3
Chronically Homeless Veteran,3,all_households,2014-12-01,2014-12-31,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,3,all_households,2014-12-01,2014-12-31,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,14,all_households,2014-12-01,2014-12-31,Q25b,without_children,14
Non-Chronically Homeless Veteran,14,all_households,2014-12-01,2014-12-31,Q25b,with_children_and_adults,0
Non-Chronically Homeless Veteran,14,all_households,2014-12-01,2014-12-31,Q25b,unknown_household_type,0
Not a Veteran,298,all_households,2014-12-01,2014-12-31,Q25b,without_children,235
Not a Veteran,298,all_households,2014-12-01,2014-12-31,Q25b,with_children_and_adults,63
Not a Veteran,298,all_households,2014-12-01,2014-12-31,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_households,2014-12-01,2014-12-31,Q25b,without_children,2
Client Doesn't Know/Client Refused,2,all_households,2014-12-01,2014-12-31,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_households,2014-12-01,2014-12-31,Q25b,unknown_household_type,0
Data Not Collected,5,all_households,2014-12-01,2014-12-31,Q25b,without_children,5
Data Not Collected,5,all_households,2014-12-01,2014-12-31,Q25b,with_children_and_adults,0
Data Not Collected,5,all_households,2014-12-01,2014-12-31,Q25b,unknown_household_type,0
Chronically Homeless Veteran,4,all_households,2015-01-01,2015-01-31,Q25b,without_children,4
Chronically Homeless Veteran,4,all_households,2015-01-01,2015-01-31,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,4,all_households,2015-01-01,2015-01-31,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,13,all_households,2015-01-01,2015-01-31,Q25b,without_children,13
Non-Chronically Homeless Veteran,13,all_households,2015-01-01,2015-01-31,Q25b,with_children_and_adults,0
Non-Chronically Homeless Veteran,13,all_households,2015-01-01,2015-01-31,Q25b,unknown_household_type,0
Not a Veteran,326,all_households,2015-01-01,2015-01-31,Q25b,without_children,254
Not a Veteran,326,all_households,2015-01-01,2015-01-31,Q25b,with_children_and_adults,72
Not a Veteran,326,all_households,2015-01-01,2015-01-31,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_households,2015-01-01,2015-01-31,Q25b,without_children,2
Client Doesn't Know/Client Refused,2,all_households,2015-01-01,2015-01-31,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_households,2015-01-01,2015-01-31,Q25b,unknown_household_type,0
Data Not Collected,5,all_households,2015-01-01,2015-01-31,Q25b,without_children,5
Data Not Collected,5,all_households,2015-01-01,2015-01-31,Q25b,with_children_and_adults,0
Data Not Collected,5,all_households,2015-01-01,2015-01-31,Q25b,unknown_household_type,0
Chronically Homeless Veteran,4,all_households,2015-02-01,2015-02-28,Q25b,without_children,4
Chronically Homeless Veteran,4,all_households,2015-02-01,2015-02-28,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,4,all_households,2015-02-01,2015-02-28,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,11,all_households,2015-02-01,2015-02-28,Q25b,without_children,11
Non-Chronically Homeless Veteran,11,all_households,2015-02-01,2015-02-28,Q25b,with_children_and_adults,0
Non-Chronically Homeless Veteran,11,all_households,2015-02-01,2015-02-28,Q25b,unknown_household_type,0
Not a Veteran,337,all_households,2015-02-01,2015-02-28,Q25b,without_children,271
Not a Veteran,337,all_households,2015-02-01,2015-02-28,Q25b,with_children_and_adults,66
Not a Veteran,337,all_households,2015-02-01,2015-02-28,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_households,2015-02-01,2015-02-28,Q25b,without_children,2
Client Doesn't Know/Client Refused,2,all_households,2015-02-01,2015-02-28,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_households,2015-02-01,2015-02-28,Q25b,unknown_household_type,0
Data Not Collected,5,all_households,2015-02-01,2015-02-28,Q25b,without_children,5
Data Not Collected,5,all_households,2015-02-01,2015-02-28,Q25b,with_children_and_adults,0
Data Not Collected,5,all_households,2015-02-01,2015-02-28,Q25b,unknown_household_type,0
Chronically Homeless Veteran,4,all_households,2015-03-01,2015-03-31,Q25b,without_children,4
Chronically Homeless Veteran,4,all_households,2015-03-01,2015-03-31,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,4,all_households,2015-03-01,2015-03-31,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,18,all_households,2015-03-01,2015-03-31,Q25b,without_children,18
Non-Chronically Homeless Veteran,18,all_households,2015-03-01,2015-03-31,Q25b,with_children_and_adults,0
Non-Chronically Homeless Veteran,18,all_households,2015-03-01,2015-03-31,Q25b,unknown_household_type,0
Not a Veteran,321,all_households,2015-03-01,2015-03-31,Q25b,without_children,266
Not a Veteran,321,all_households,2015-03-01,2015-03-31,Q25b,with_children_and_adults,55
Not a Veteran,321,all_households,2015-03-01,2015-03-31,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_households,2015-03-01,2015-03-31,Q25b,without_children,2
Client Doesn't Know/Client Refused,2,all_households,2015-03-01,2015-03-31,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_households,2015-03-01,2015-03-31,Q25b,unknown_household_type,0
Data Not Collected,5,all_households,2015-03-01,2015-03-31,Q25b,without_children,5
Data Not Collected,5,all_households,2015-03-01,2015-03-31,Q25b,with_children_and_adults,0
Data Not Collected,5,all_households,2015-03-01,2015-03-31,Q25b,unknown_household_type,0
Chronically Homeless Veteran,4,all_households,2015-04-01,2015-04-30,Q25b,without_children,4
Chronically Homeless Veteran,4,all_households,2015-04-01,2015-04-30,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,4,all_households,2015-04-01,2015-04-30,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,13,all_households,2015-04-01,2015-04-30,Q25b,without_children,12
Non-Chronically Homeless Veteran,13,all_households,2015-04-01,2015-04-30,Q25b,with_children_and_adults,1
Non-Chronically Homeless Veteran,13,all_households,2015-04-01,2015-04-30,Q25b,unknown_household_type,0
Not a Veteran,298,all_households,2015-04-01,2015-04-30,Q25b,without_children,251
Not a Veteran,298,all_households,2015-04-01,2015-04-30,Q25b,with_children_and_adults,47
Not a Veteran,298,all_households,2015-04-01,2015-04-30,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_households,2015-04-01,2015-04-30,Q25b,without_children,2
Client Doesn't Know/Client Refused,2,all_households,2015-04-01,2015-04-30,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_households,2015-04-01,2015-04-30,Q25b,unknown_household_type,0
Data Not Collected,5,all_households,2015-04-01,2015-04-30,Q25b,without_children,5
Data Not Collected,5,all_households,2015-04-01,2015-04-30,Q25b,with_children_and_adults,0
Data Not Collected,5,all_households,2015-04-01,2015-04-30,Q25b,unknown_household_type,0
Chronically Homeless Veteran,0,all_households,2015-05-01,2015-05-31,Q25b,without_children,0
Chronically Homeless Veteran,0,all_households,2015-05-01,2015-05-31,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,0,all_households,2015-05-01,2015-05-31,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,6,all_households,2015-05-01,2015-05-31,Q25b,without_children,6
Non-Chronically Homeless Veteran,6,all_households,2015-05-01,2015-05-31,Q25b,with_children_and_adults,0
Non-Chronically Homeless Veteran,6,all_households,2015-05-01,2015-05-31,Q25b,unknown_household_type,0
Not a Veteran,267,all_households,2015-05-01,2015-05-31,Q25b,without_children,213
Not a Veteran,267,all_households,2015-05-01,2015-05-31,Q25b,with_children_and_adults,54
Not a Veteran,267,all_households,2015-05-01,2015-05-31,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_households,2015-05-01,2015-05-31,Q25b,without_children,2
Client Doesn't Know/Client Refused,2,all_households,2015-05-01,2015-05-31,Q25b,with_children_and_adults,0
