gender_identity,total,population,start_date,end_date,question,household_type,count
Male,15,veterans,2014-11-01,2014-11-30,Q25c,without_children,15
Male,15,veterans,2014-11-01,2014-11-30,Q25c,with_children_and_adults,0
Male,15,veterans,2014-11-01,2014-11-30,Q25c,unknown_household_type,0
Female,2,veterans,2014-11-01,2014-11-30,Q25c,without_children,1
Female,2,veterans,2014-11-01,2014-11-30,Q25c,with_children_and_adults,1
Female,2,veterans,2014-11-01,2014-11-30,Q25c,unknown_household_type,0
No Single Gender,0,veterans,2014-11-01,2014-11-30,Q25c,without_children,0
No Single Gender,0,veterans,2014-11-01,2014-11-30,Q25c,with_children_and_adults,0
No Single Gender,0,veterans,2014-11-01,2014-11-30,Q25c,unknown_household_type,0
Questioning,0,veterans,2014-11-01,2014-11-30,Q25c,without_children,0
Questioning,0,veterans,2014-11-01,2014-11-30,Q25c,with_children_and_adults,0
Questioning,0,veterans,2014-11-01,2014-11-30,Q25c,unknown_household_type,0
Transgender,0,veterans,2014-11-01,2014-11-30,Q25c,without_children,0
Transgender,0,veterans,2014-11-01,2014-11-30,Q25c,with_children_and_adults,0
Transgender,0,veterans,2014-11-01,2014-11-30,Q25c,unknown_household_type,0
Client Doesn't Know/Client Refused,0,veterans,2014-11-01,2014-11-30,Q25c,without_children,0
Client Doesn't Know/Client Refused,0,veterans,2014-11-01,2014-11-30,Q25c,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,veterans,2014-11-01,2014-11-30,Q25c,unknown_household_type,0
Data Not Collected,0,veterans,2014-11-01,2014-11-30,Q25c,without_children,0
Data Not Collected,0,veterans,2014-11-01,2014-11-30,Q25c,with_children_and_adults,0
Data Not Collected,0,veterans,2014-11-01,2014-11-30,Q25c,unknown_household_type,0
Male,18,veterans,2014-12-01,2014-12-31,Q25c,without_children,18
Male,18,veterans,2014-12-01,2014-12-31,Q25c,with_children_and_adults,0
Male,18,veterans,2014-12-01,2014-12-31,Q25c,unknown_household_type,0
Female,1,veterans,2014-12-01,2014-12-31,Q25c,without_children,0
Female,1,veterans,2014-12-01,2014-12-31,Q25c,with_children_and_adults,1
Female,1,veterans,2014-12-01,2014-12-31,Q25c,unknown_household_type,0
No Single Gender,0,veterans,2014-12-01,2014-12-31,Q25c,without_children,0
No Single Gender,0,veterans,2014-12-01,2014-12-31,Q25c,with_children_and_adults,0
No Single Gender,0,veterans,2014-12-01,2014-12-31,Q25c,unknown_household_type,0
Questioning,0,veterans,2014-12-01,2014-12-31,Q25c,without_children,0
Questioning,0,veterans,2014-12-01,2014-12-31,Q25c,with_children_and_adults,0
Questioning,0,veterans,2014-12-01,2014-12-31,Q25c,unknown_household_type,0
Transgender,0,veterans,2014-12-01,2014-12-31,Q25c,without_children,0
Transgender,0,veterans,2014-12-01,2014-12-31,Q25c,with_children_and_adults,0
Transgender,0,veterans,2014-12-01,2014-12-31,Q25c,unknown_household_type,0
Client Doesn't Know/Client Refused,0,veterans,2014-12-01,2014-12-31,Q25c,without_children,0
Client Doesn't Know/Client Refused,0,veterans,2014-12-01,2014-12-31,Q25c,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,veterans,2014-12-01,2014-12-31,Q25c,unknown_household_type,0
Data Not Collected,0,veterans,2014-12-01,2014-12-31,Q25c,without_children,0
Data Not Collected,0,veterans,2014-12-01,2014-12-31,Q25c,with_children_and_adults,0
Data Not Collected,0,veterans,2014-12-01,2014-12-31,Q25c,unknown_household_type,0
Male,17,veterans,2015-01-01,2015-01-31,Q25c,without_children,16
Male,17,veterans,2015-01-01,2015-01-31,Q25c,with_children_and_adults,1
Male,17,veterans,2015-01-01,2015-01-31,Q25c,unknown_household_type,0
Female,2,veterans,2015-01-01,2015-01-31,Q25c,without_children,1
Female,2,veterans,2015-01-01,2015-01-31,Q25c,with_children_and_adults,1
Female,2,veterans,2015-01-01,2015-01-31,Q25c,unknown_household_type,0
No Single Gender,0,veterans,2015-01-01,2015-01-31,Q25c,without_children,0
No Single Gender,0,veterans,2015-01-01,2015-01-31,Q25c,with_children_and_adults,0
No Single Gender,0,veterans,2015-01-01,2015-01-31,Q25c,unknown_household_type,0
Questioning,0,veterans,2015-01-01,2015-01-31,Q25c,without_children,0
Questioning,0,veterans,2015-01-01,2015-01-31,Q25c,with_children_and_adults,0
Questioning,0,veterans,2015-01-01,2015-01-31,Q25c,unknown_household_type,0
Transgender,0,veterans,2015-01-01,2015-01-31,Q25c,without_children,0
Transgender,0,veterans,2015-01-01,2015-01-31,Q25c,with_children_and_adults,0
Transgender,0,veterans,2015-01-01,2015-01-31,Q25c,unknown_household_type,0
Client Doesn't Know/Client Refused,0,veterans,2015-01-01,2015-01-31,Q25c,without_children,0
Client Doesn't Know/Client Refused,0,veterans,2015-01-01,2015-01-31,Q25c,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,veterans,2015-01-01,2015-01-31,Q25c,unknown_household_type,0
Data Not Collected,0,veterans,2015-01-01,2015-01-31,Q25c,without_children,0
Data Not Collected,0,veterans,2015-01-01,2015-01-31,Q25c,with_children_and_adults,0
Data Not Collected,0,veterans,2015-01-01,2015-01-31,Q25c,unknown_household_type,0
Male,15,veterans,2015-02-01,2015-02-28,Q25c,without_children,15
Male,15,veterans,2015-02-01,2015-02-28,Q25c,with_children_and_adults,0
Male,15,veterans,2015-02-01,2015-02-28,Q25c,unknown_household_type,0
Female,1,veterans,2015-02-01,2015-02-28,Q25c,without_children,1
Female,1,veterans,2015-02-01,2015-02-28,Q25c,with_children_and_adults,0
Female,1,veterans,2015-02-01,2015-02-28,Q25c,unknown_household_type,0
No Single Gender,0,veterans,2015-02-01,2015-02-28,Q25c,without_children,0
No Single Gender,0,veterans,2015-02-01,2015-02-28,Q25c,with_children_and_adults,0
No Single Gender,0,veterans,2015-02-01,2015-02-28,Q25c,unknown_household_type,0
Questioning,0,veterans,2015-02-01,2015-02-28,Q25c,without_children,0
Questioning,0,veterans,2015-02-01,2015-02-28,Q25c,with_children_and_adults,0
Questioning,0,veterans,2015-02-01,2015-02-28,Q25c,unknown_household_type,0
Transgender,0,veterans,2015-02-01,2015-02-28,Q25c,without_children,0
Transgender,0,veterans,2015-02-01,2015-02-28,Q25c,with_children_and_adults,0
Transgender,0,veterans,2015-02-01,2015-02-28,Q25c,unknown_household_type,0
Client Doesn't Know/Client Refused,0,veterans,2015-02-01,2015-02-28,Q25c,without_children,0
Client Doesn't Know/Client Refused,0,veterans,2015-02-01,2015-02-28,Q25c,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,veterans,2015-02-01,2015-02-28,Q25c,unknown_household_type,0
Data Not Collected,0,veterans,2015-02-01,2015-02-28,Q25c,without_children,0
Data Not Collected,0,veterans,2015-02-01,2015-02-28,Q25c,with_children_and_adults,0
Data Not Collected,0,veterans,2015-02-01,2015-02-28,Q25c,unknown_household_type,0
Male,22,veterans,2015-03-01,2015-03-31,Q25c,without_children,22
Male,22,veterans,2015-03-01,2015-03-31,Q25c,with_children_and_adults,0
Male,22,veterans,2015-03-01,2015-03-31,Q25c,unknown_household_type,0
Female,0,veterans,2015-03-01,2015-03-31,Q25c,without_children,0
Female,0,veterans,2015-03-01,2015-03-31,Q25c,with_children_and_adults,0
Female,0,veterans,2015-03-01,2015-03-31,Q25c,unknown_household_type,0
No Single Gender,0,veterans,2015-03-01,2015-03-31,Q25c,without_children,0
No Single Gender,0,veterans,2015-03-01,2015-03-31,Q25c,with_children_and_adults,0
No Single Gender,0,veterans,2015-03-01,2015-03-31,Q25c,unknown_household_type,0
Questioning,0,veterans,2015-03-01,2015-03-31,Q25c,without_children,0
Questioning,0,veterans,2015-03-01,2015-03-31,Q25c,with_children_and_adults,0
Questioning,0,veterans,2015-03-01,2015-03-31,Q25c,unknown_household_type,0
Transgender,0,veterans,2015-03-01,2015-03-31,Q25c,without_children,0
Transgender,0,veterans,2015-03-01,2015-03-31,Q25c,with_children_and_adults,0
Transgender,0,veterans,2015-03-01,2015-03-31,Q25c,unknown_household_type,0
Client Doesn't Know/Client Refused,0,veterans,2015-03-01,2015-03-31,Q25c,without_children,0
Client Doesn't Know/Client Refused,0,veterans,2015-03-01,2015-03-31,Q25c,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,veterans,2015-03-01,2015-03-31,Q25c,unknown_household_type,0
Data Not Collected,0,veterans,2015-03-01,2015-03-31,Q25c,without_children,0
Data Not Collected,0,veterans,2015-03-01,2015-03-31,Q25c,with_children_and_adults,0
Data Not Collected,0,veterans,2015-03-01,2015-03-31,Q25c,unknown_household_type,0
Male,17,veterans,2015-04-01,2015-04-30,Q25c,without_children,17
Male,17,veterans,2015-04-01,2015-04-30,Q25c,with_children_and_adults,0
Male,17,veterans,2015-04-01,2015-04-30,Q25c,unknown_household_type,0
Female,4,veterans,2015-04-01,2015-04-30,Q25c,without_children,3
Female,4,veterans,2015-04-01,2015-04-30,Q25c,with_children_and_adults,1
Female,4,veterans,2015-04-01,2015-04-30,Q25c,unknown_household_type,0
No Single Gender,0,veterans,2015-04-01,2015-04-30,Q25c,without_children,0
No Single Gender,0,veterans,2015-04-01,2015-04-30,Q25c,with_children_and_adults,0
No Single Gender,0,veterans,2015-04-01,2015-04-30,Q25c,unknown_household_type,0
Questioning,0,veterans,2015-04-01,2015-04-30,Q25c,without_children,0
Questioning,0,veterans,2015-04-01,2015-04-30,Q25c,with_children_and_adults,0
Questioning,0,veterans,2015-04-01,2015-04-30,Q25c,unknown_household_type,0
Transgender,0,veterans,2015-04-01,2015-04-30,Q25c,without_children,0
Transgender,0,veterans,2015-04-01,2015-04-30,Q25c,with_children_and_adults,0
Transgender,0,veterans,2015-04-01,2015-04-30,Q25c,unknown_household_type,0
Client Doesn't Know/Client Refused,0,veterans,2015-04-01,2015-04-30,Q25c,without_children,0
Client Doesn't Know/Client Refused,0,veterans,2015-04-01,2015-04-30,Q25c,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,veterans,2015-04-01,2015-04-30,Q25c,unknown_household_type,0
Data Not Collected,0,veterans,2015-04-01,2015-04-30,Q25c,without_children,0
Data Not Collected,0,veterans,2015-04-01,2015-04-30,Q25c,with_children_and_adults,0
Data Not Collected,0,veterans,2015-04-01,2015-04-30,Q25c,unknown_household_type,0
Male,5,veterans,2015-05-01,2015-05-31,Q25c,without_children,5
Male,5,veterans,2015-05-01,2015-05-31,Q25c,with_children_and_adults,0
Male,5,veterans,2015-05-01,2015-05-31,Q25c,unknown_household_type,0
Female,1,veterans,2015-05-01,2015-05-31,Q25c,without_children,1
Female,1,veterans,2015-05-01,2015-05-31,Q25c,with_children_and_adults,0
Female,1,veterans,2015-05-01,2015-05-31,Q25c,unknown_household_type,0
No Single Gender,0,veterans,2015-05-01,2015-05-31,Q25c,without_children,0
No Single Gender,0,veterans,2015-05-01,2015-05-31,Q25c,with_children_and_adults,0
No Single Gender,0,veterans,2015-05-01,2015-05-31,Q25c,unknown_household_type,0
Questioning,0,veterans,2015-05-01,2015-05-31,Q25c,without_children,0
Questioning,0,veterans,2015-05-01,2015-05-31,Q25c,with_children_and_adults,0
Questioning,0,veterans,2015-05-01,2015-05-31,Q25c,unknown_household_type,0
Transgender,0,veterans,2015-05-01,2015-05-31,Q25c,without_children,0
Transgender,0,veterans,2015-05-01,2015-05-31,Q25c,with_children_and_adults,0
Transgender,0,veterans,2015-05-01,2015-05-31,Q25c,unknown_household_type,0
Client Doesn't Know/Client Refused,0,veterans,2015-05-01,2015-05-31,Q25c,without_children,0
Client Doesn't Know/Client Refused,0,veterans,2015-05-01,2015-05-31,Q25c,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,veterans,2015-05-01,2015-05-31,Q25c,unknown_household_type,0
Data Not Collected,0,veterans,2015-05-01,2015-05-31,Q25c,without_children,0
Data Not Collected,0,veterans,2015-05-01,2015-05-31,Q25c,with_children_and_adults,0
Data Not Collected,0,veterans,2015-05-01,2015-05-31,Q25c,unknown_household_type,0
Male,7,veterans,2015-06-01,2015-06-30,Q25c,without_children,6
Male,7,veterans,2015-06-01,2015-06-30,Q25c,with_children_and_adults,1
Male,7,veterans,2015-06-01,2015-06-30,Q25c,unknown_household_type,0
Female,3,veterans,2015-06-01,2015-06-30,Q25c,without_children,1
Female,3,veterans,2015-06-01,2015-06-30,Q25c,with_children_and_adults,2
Female,3,veterans,2015-06-01,2015-06-30,Q25c,unknown_household_type,0
No Single Gender,0,veterans,2015-06-01,2015-06-30,Q25c,without_children,0
No Single Gender,0,veterans,2015-06-01,2015-06-30,Q25c,with_children_and_adults,0
No Single Gender,0,veterans,2015-06-01,2015-06-30,Q25c,unknown_household_type,0
Questioning,0,veterans,2015-06-01,2015-06-30,Q25c,without_children,0
Questioning,0,veterans,2015-06-01,2015-06-30,Q25c,with_children_and_adults,0
Questioning,0,veterans,2015-06-01,2015-06-30,Q25c,unknown_household_type,0
Transgender,0,veterans,2015-06-01,2015-06-30,Q25c,without_children,0
Transgender,0,veterans,2015-06-01,2015-06-30,Q25c,with_children_and_adults,0
Transgender,0,veterans,2015-06-01,2015-06-30,Q25c,unknown_household_type,0
Client Doesn't Know/Client Refused,0,veterans,2015-06-01,2015-06-30,Q25c,without_children,0
Client Doesn't Know/Client Refused,0,veterans,2015-06-01,2015-06-30,Q25c,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,veterans,2015-06-01,2015-06-30,Q25c,unknown_household_type,0
Data Not Collected,0,veterans,2015-06-01,2015-06-30,Q25c,without_children,0
Data Not Collected,0,veterans,2015-06-01,2015-06-30,Q25c,with_children_and_adults,0
Data Not Collected,0,veterans,2015-06-01,2015-06-30,Q25c,unknown_household_type,0
