age_group,total,population,start_date,end_date,question,household_type,count
18 - 24,0,veterans,2014-11-01,2014-11-30,Q25d,without_children,0
18 - 24,0,veterans,2014-11-01,2014-11-30,Q25d,with_children_and_adults,0
18 - 24,0,veterans,2014-11-01,2014-11-30,Q25d,unknown_household_type,0
25 - 34,2,veterans,2014-11-01,2014-11-30,Q25d,without_children,1
25 - 34,2,veterans,2014-11-01,2014-11-30,Q25d,with_children_and_adults,1
25 - 34,2,veterans,2014-11-01,2014-11-30,Q25d,unknown_household_type,0
35 - 44,1,veterans,2014-11-01,2014-11-30,Q25d,without_children,1
35 - 44,1,veterans,2014-11-01,2014-11-30,Q25d,with_children_and_adults,0
35 - 44,1,veterans,2014-11-01,2014-11-30,Q25d,unknown_household_type,0
45 - 54,5,veterans,2014-11-01,2014-11-30,Q25d,without_children,5
45 - 54,5,veterans,2014-11-01,2014-11-30,Q25d,with_children_and_adults,0
45 - 54,5,veterans,2014-11-01,2014-11-30,Q25d,unknown_household_type,0
55 - 61,6,veterans,2014-11-01,2014-11-30,Q25d,without_children,6
55 - 61,6,veterans,2014-11-01,2014-11-30,Q25d,with_children_and_adults,0
55 - 61,6,veterans,2014-11-01,2014-11-30,Q25d,unknown_household_type,0
62 +,3,veterans,2014-11-01,2014-11-30,Q25d,without_children,3
62 +,3,veterans,2014-11-01,2014-11-30,Q25d,with_children_and_adults,0
62 +,3,veterans,2014-11-01,2014-11-30,Q25d,unknown_household_type,0
Client Doesn't Know/Client Refused,0,veterans,2014-11-01,2014-11-30,Q25d,without_children,0
Client Doesn't Know/Client Refused,0,veterans,2014-11-01,2014-11-30,Q25d,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,veterans,2014-11-01,2014-11-30,Q25d,unknown_household_type,0
Data Not Collected,0,veterans,2014-11-01,2014-11-30,Q25d,without_children,0
Data Not Collected,0,veterans,2014-11-01,2014-11-30,Q25d,with_children_and_adults,0
Data Not Collected,0,veterans,2014-11-01,2014-11-30,Q25d,unknown_household_type,0
18 - 24,0,veterans,2014-12-01,2014-12-31,Q25d,without_children,0
18 - 24,0,veterans,2014-12-01,2014-12-31,Q25d,with_children_and_adults,0
18 - 24,0,veterans,2014-12-01,2014-12-31,Q25d,unknown_household_type,0
25 - 34,3,veterans,2014-12-01,2014-12-31,Q25d,without_children,2
25 - 34,3,veterans,2014-12-01,2014-12-31,Q25d,with_children_and_adults,1
25 - 34,3,veterans,2014-12-01,2014-12-31,Q25d,unknown_household_type,0
35 - 44,0,veterans,2014-12-01,2014-12-31,Q25d,without_children,0
35 - 44,0,veterans,2014-12-01,2014-12-31,Q25d,with_children_and_adults,0
35 - 44,0,veterans,2014-12-01,2014-12-31,Q25d,unknown_household_type,0
45 - 54,6,veterans,2014-12-01,2014-12-31,Q25d,without_children,6
45 - 54,6,veterans,2014-12-01,2014-12-31,Q25d,with_children_and_adults,0
45 - 54,6,veterans,2014-12-01,2014-12-31,Q25d,unknown_household_type,0
55 - 61,5,veterans,2014-12-01,2014-12-31,Q25d,without_children,5
55 - 61,5,veterans,2014-12-01,2014-12-31,Q25d,with_children_and_adults,0
55 - 61,5,veterans,2014-12-01,2014-12-31,Q25d,unknown_household_type,0
62 +,5,veterans,2014-12-01,2014-12-31,Q25d,without_children,5
62 +,5,veterans,2014-12-01,2014-12-31,Q25d,with_children_and_adults,0
62 +,5,veterans,2014-12-01,2014-12-31,Q25d,unknown_household_type,0
Client Doesn't Know/Client Refused,0,veterans,2014-12-01,2014-12-31,Q25d,without_children,0
Client Doesn't Know/Client Refused,0,veterans,2014-12-01,2014-12-31,Q25d,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,veterans,2014-12-01,2014-12-31,Q25d,unknown_household_type,0
Data Not Collected,0,veterans,2014-12-01,2014-12-31,Q25d,without_children,0
Data Not Collected,0,veterans,2014-12-01,2014-12-31,Q25d,with_children_and_adults,0
Data Not Collected,0,veterans,2014-12-01,2014-12-31,Q25d,unknown_household_type,0
18 - 24,1,veterans,2015-01-01,2015-01-31,Q25d,without_children,1
18 - 24,1,veterans,2015-01-01,2015-01-31,Q25d,with_children_and_adults,0
18 - 24,1,veterans,2015-01-01,2015-01-31,Q25d,unknown_household_type,0
25 - 34,3,veterans,2015-01-01,2015-01-31,Q25d,without_children,2
25 - 34,3,veterans,2015-01-01,2015-01-31,Q25d,with_children_and_adults,1
25 - 34,3,veterans,2015-01-01,2015-01-31,Q25d,unknown_household_type,0
35 - 44,1,veterans,2015-01-01,2015-01-31,Q25d,without_children,1
35 - 44,1,veterans,2015-01-01,2015-01-31,Q25d,with_children_and_adults,0
35 - 44,1,veterans,2015-01-01,2015-01-31,Q25d,unknown_household_type,0
45 - 54,5,veterans,2015-01-01,2015-01-31,Q25d,without_children,5
45 - 54,5,veterans,2015-01-01,2015-01-31,Q25d,with_children_and_adults,0
45 - 54,5,veterans,2015-01-01,2015-01-31,Q25d,unknown_household_type,0
55 - 61,5,veterans,2015-01-01,2015-01-31,Q25d,without_children,4
55 - 61,5,veterans,2015-01-01,2015-01-31,Q25d,with_children_and_adults,1
55 - 61,5,veterans,2015-01-01,2015-01-31,Q25d,unknown_household_type,0
62 +,4,veterans,2015-01-01,2015-01-31,Q25d,without_children,4
62 +,4,veterans,2015-01-01,2015-01-31,Q25d,with_children_and_adults,0
62 +,4,veterans,2015-01-01,2015-01-31,Q25d,unknown_household_type,0
Client Doesn't Know/Client Refused,0,veterans,2015-01-01,2015-01-31,Q25d,without_children,0
Client Doesn't Know/Client Refused,0,veterans,2015-01-01,2015-01-31,Q25d,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,veterans,2015-01-01,2015-01-31,Q25d,unknown_household_type,0
Data Not Collected,0,veterans,2015-01-01,2015-01-31,Q25d,without_children,0
Data Not Collected,0,veterans,2015-01-01,2015-01-31,Q25d,with_children_and_adults,0
Data Not Collected,0,veterans,2015-01-01,2015-01-31,Q25d,unknown_household_type,0
18 - 24,2,veterans,2015-02-01,2015-02-28,Q25d,without_children,2
18 - 24,2,veterans,2015-02-01,2015-02-28,Q25d,with_children_and_adults,0
18 - 24,2,veterans,2015-02-01,2015-02-28,Q25d,unknown_household_type,0
25 - 34,1,veterans,2015-02-01,2015-02-28,Q25d,without_children,1
25 - 34,1,veterans,2015-02-01,2015-02-28,Q25d,with_children_and_adults,0
25 - 34,1,veterans,2015-02-01,2015-02-28,Q25d,unknown_household_type,0
35 - 44,0,veterans,2015-02-01,2015-02-28,Q25d,without_children,0
35 - 44,0,veterans,2015-02-01,2015-02-28,Q25d,with_children_and_adults,0
35 - 44,0,veterans,2015-02-01,2015-02-28,Q25d,unknown_household_type,0
45 - 54,4,veterans,2015-02-01,2015-02-28,Q25d,without_children,4
45 - 54,4,veterans,2015-02-01,2015-02-28,Q25d,with_children_and_adults,0
45 - 54,4,veterans,2015-02-01,2015-02-28,Q25d,unknown_household_type,0
55 - 61,3,veterans,2015-02-01,2015-02-28,Q25d,without_children,3
