ch_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless,19,all_households,2014-11-01,2014-11-30,Q26a,without_children,19
Chronically Homeless,19,all_households,2014-11-01,2014-11-30,Q26a,with_children_and_adults,0
Chronically Homeless,19,all_households,2014-11-01,2014-11-30,Q26a,with_only_children,0
Chronically Homeless,19,all_households,2014-11-01,2014-11-30,Q26a,unknown_household_type,0
Not Chronically Homeless,183,all_households,2014-11-01,2014-11-30,Q26a,without_children,136
Not Chronically Homeless,183,all_households,2014-11-01,2014-11-30,Q26a,with_children_and_adults,47
Not Chronically Homeless,183,all_households,2014-11-01,2014-11-30,Q26a,with_only_children,0
Not Chronically Homeless,183,all_households,2014-11-01,2014-11-30,Q26a,unknown_household_type,0
Client Doesn't Know/Client Refused,4,all_households,2014-11-01,2014-11-30,Q26a,without_children,4
Client Doesn't Know/Client Refused,4,all_households,2014-11-01,2014-11-30,Q26a,with_children_and_adults,0
Client Doesn't Know/Client Refused,4,all_households,2014-11-01,2014-11-30,Q26a,with_only_children,0
Client Doesn't Know/Client Refused,4,all_households,2014-11-01,2014-11-30,Q26a,unknown_household_type,0
Data Not Collected,99,all_households,2014-11-01,2014-11-30,Q26a,without_children,89
Data Not Collected,99,all_households,2014-11-01,2014-11-30,Q26a,with_children_and_adults,10
Data Not Collected,99,all_households,2014-11-01,2014-11-30,Q26a,with_only_children,0
Data Not Collected,99,all_households,2014-11-01,2014-11-30,Q26a,unknown_household_type,0
Chronically Homeless,25,all_households,2014-12-01,2014-12-31,Q26a,without_children,25
Chronically Homeless,25,all_households,2014-12-01,2014-12-31,Q26a,with_children_and_adults,0
Chronically Homeless,25,all_households,2014-12-01,2014-12-31,Q26a,with_only_children,0
Chronically Homeless,25,all_households,2014-12-01,2014-12-31,Q26a,unknown_household_type,0
Not Chronically Homeless,188,all_households,2014-12-01,2014-12-31,Q26a,without_children,136
Not Chronically Homeless,188,all_households,2014-12-01,2014-12-31,Q26a,with_children_and_adults,52
Not Chronically Homeless,188,all_households,2014-12-01,2014-12-31,Q26a,with_only_children,0
Not Chronically Homeless,188,all_households,2014-12-01,2014-12-31,Q26a,unknown_household_type,0
Client Doesn't Know/Client Refused,4,all_households,2014-12-01,2014-12-31,Q26a,without_children,4
Client Doesn't Know/Client Refused,4,all_households,2014-12-01,2014-12-31,Q26a,with_children_and_adults,0
Client Doesn't Know/Client Refused,4,all_households,2014-12-01,2014-12-31,Q26a,with_only_children,0
Client Doesn't Know/Client Refused,4,all_households,2014-12-01,2014-12-31,Q26a,unknown_household_type,0
Data Not Collected,106,all_households,2014-12-01,2014-12-31,Q26a,without_children,94
Data Not Collected,106,all_households,2014-12-01,2014-12-31,Q26a,with_children_and_adults,12
Data Not Collected,106,all_households,2014-12-01,2014-12-31,Q26a,with_only_children,0
Data Not Collected,106,all_households,2014-12-01,2014-12-31,Q26a,unknown_household_type,0
Chronically Homeless,28,all_households,2015-01-01,2015-01-31,Q26a,without_children,28
Chronically Homeless,28,all_households,2015-01-01,2015-01-31,Q26a,with_children_and_adults,0
Chronically Homeless,28,all_households,2015-01-01,2015-01-31,Q26a,with_only_children,0
Chronically Homeless,28,all_households,2015-01-01,2015-01-31,Q26a,unknown_household_type,0
Not Chronically Homeless,206,all_households,2015-01-01,2015-01-31,Q26a,without_children,151
Not Chronically Homeless,206,all_households,2015-01-01,2015-01-31,Q26a,with_children_and_adults,55
Not Chronically Homeless,206,all_households,2015-01-01,2015-01-31,Q26a,with_only_children,0
Not Chronically Homeless,206,all_households,2015-01-01,2015-01-31,Q26a,unknown_household_type,0
Client Doesn't Know/Client Refused,4,all_households,2015-01-01,2015-01-31,Q26a,without_children,4
Client Doesn't Know/Client Refused,4,all_households,2015-01-01,2015-01-31,Q26a,with_children_and_adults,0
Client Doesn't Know/Client Refused,4,all_households,2015-01-01,2015-01-31,Q26a,with_only_children,0
Client Doesn't Know/Client Refused,4,all_households,2015-01-01,2015-01-31,Q26a,unknown_household_type,0
Data Not Collected,114,all_households,2015-01-01,2015-01-31,Q26a,without_children,95
Data Not Collected,114,all_households,2015-01-01,2015-01-31,Q26a,with_children_and_adults,19
Data Not Collected,114,all_households,2015-01-01,2015-01-31,Q26a,with_only_children,0
Data Not Collected,114,all_households,2015-01-01,2015-01-31,Q26a,unknown_household_type,0
Chronically Homeless,31,all_households,2015-02-01,2015-02-28,Q26a,without_children,31
Chronically Homeless,31,all_households,2015-02-01,2015-02-28,Q26a,with_children_and_adults,0
Chronically Homeless,31,all_households,2015-02-01,2015-02-28,Q26a,with_only_children,0
Chronically Homeless,31,all_households,2015-02-01,2015-02-28,Q26a,unknown_household_type,0
Not Chronically Homeless,210,all_households,2015-02-01,2015-02-28,Q26a,without_children,162
Not Chronically Homeless,210,all_households,2015-02-01,2015-02-28,Q26a,with_children_and_adults,48
Not Chronically Homeless,210,all_households,2015-02-01,2015-02-28,Q26a,with_only_children,0
Not Chronically Homeless,210,all_households,2015-02-01,2015-02-28,Q26a,unknown_household_type,0
Client Doesn't Know/Client Refused,4,all_households,2015-02-01,2015-02-28,Q26a,without_children,4
Client Doesn't Know/Client Refused,4,all_households,2015-02-01,2015-02-28,Q26a,with_children_and_adults,0
Client Doesn't Know/Client Refused,4,all_households,2015-02-01,2015-02-28,Q26a,with_only_children,0
Client Doesn't Know/Client Refused,4,all_households,2015-02-01,2015-02-28,Q26a,unknown_household_type,0
Data Not Collected,116,all_households,2015-02-01,2015-02-28,Q26a,without_children,96
Data Not Collected,116,all_households,2015-02-01,2015-02-28,Q26a,with_children_and_adults,20
Data Not Collected,116,all_households,2015-02-01,2015-02-28,Q26a,with_only_children,0
Data Not Collected,116,all_households,2015-02-01,2015-02-28,Q26a,unknown_household_type,0
