ch_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless,19,all_persons,2014-11-01,2014-11-30,Q26b,without_children,19
Chronically Homeless,19,all_persons,2014-11-01,2014-11-30,Q26b,with_children_and_adults,0
Chronically Homeless,19,all_persons,2014-11-01,2014-11-30,Q26b,with_only_children,0
Chronically Homeless,19,all_persons,2014-11-01,2014-11-30,Q26b,unknown_household_type,0
Not Chronically Homeless,404,all_persons,2014-11-01,2014-11-30,Q26b,without_children,175
Not Chronically Homeless,404,all_persons,2014-11-01,2014-11-30,Q26b,with_children_and_adults,229
Not Chronically Homeless,404,all_persons,2014-11-01,2014-11-30,Q26b,with_only_children,0
Not Chronically Homeless,404,all_persons,2014-11-01,2014-11-30,Q26b,unknown_household_type,0
Client Doesn't Know/Client Refused,4,all_persons,2014-11-01,2014-11-30,Q26b,without_children,4
Client Doesn't Know/Client Refused,4,all_persons,2014-11-01,2014-11-30,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,4,all_persons,2014-11-01,2014-11-30,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,4,all_persons,2014-11-01,2014-11-30,Q26b,unknown_household_type,0
Data Not Collected,125,all_persons,2014-11-01,2014-11-30,Q26b,without_children,109
Data Not Collected,125,all_persons,2014-11-01,2014-11-30,Q26b,with_children_and_adults,16
Data Not Collected,125,all_persons,2014-11-01,2014-11-30,Q26b,with_only_children,0
Data Not Collected,125,all_persons,2014-11-01,2014-11-30,Q26b,unknown_household_type,0
Chronically Homeless,26,all_persons,2014-12-01,2014-12-31,Q26b,without_children,26
Chronically Homeless,26,all_persons,2014-12-01,2014-12-31,Q26b,with_children_and_adults,0
Chronically Homeless,26,all_persons,2014-12-01,2014-12-31,Q26b,with_only_children,0
Chronically Homeless,26,all_persons,2014-12-01,2014-12-31,Q26b,unknown_household_type,0
Not Chronically Homeless,418,all_persons,2014-12-01,2014-12-31,Q26b,without_children,167
Not Chronically Homeless,418,all_persons,2014-12-01,2014-12-31,Q26b,with_children_and_adults,248
Not Chronically Homeless,418,all_persons,2014-12-01,2014-12-31,Q26b,with_only_children,3
Not Chronically Homeless,418,all_persons,2014-12-01,2014-12-31,Q26b,unknown_household_type,0
Client Doesn't Know/Client Refused,4,all_persons,2014-12-01,2014-12-31,Q26b,without_children,4
Client Doesn't Know/Client Refused,4,all_persons,2014-12-01,2014-12-31,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,4,all_persons,2014-12-01,2014-12-31,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,4,all_persons,2014-12-01,2014-12-31,Q26b,unknown_household_type,0
Data Not Collected,125,all_persons,2014-12-01,2014-12-31,Q26b,without_children,108
Data Not Collected,125,all_persons,2014-12-01,2014-12-31,Q26b,with_children_and_adults,17
Data Not Collected,125,all_persons,2014-12-01,2014-12-31,Q26b,with_only_children,0
Data Not Collected,125,all_persons,2014-12-01,2014-12-31,Q26b,unknown_household_type,0
Chronically Homeless,29,all_persons,2015-01-01,2015-01-31,Q26b,without_children,29
Chronically Homeless,29,all_persons,2015-01-01,2015-01-31,Q26b,with_children_and_adults,0
Chronically Homeless,29,all_persons,2015-01-01,2015-01-31,Q26b,with_only_children,0
Chronically Homeless,29,all_persons,2015-01-01,2015-01-31,Q26b,unknown_household_type,0
Not Chronically Homeless,432,all_persons,2015-01-01,2015-01-31,Q26b,without_children,182
Not Chronically Homeless,432,all_persons,2015-01-01,2015-01-31,Q26b,with_children_and_adults,248
Not Chronically Homeless,432,all_persons,2015-01-01,2015-01-31,Q26b,with_only_children,2
Not Chronically Homeless,432,all_persons,2015-01-01,2015-01-31,Q26b,unknown_household_type,0
Client Doesn't Know/Client Refused,4,all_persons,2015-01-01,2015-01-31,Q26b,without_children,4
Client Doesn't Know/Client Refused,4,all_persons,2015-01-01,2015-01-31,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,4,all_persons,2015-01-01,2015-01-31,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,4,all_persons,2015-01-01,2015-01-31,Q26b,unknown_household_type,0
Data Not Collected,131,all_persons,2015-01-01,2015-01-31,Q26b,without_children,106
Data Not Collected,131,all_persons,2015-01-01,2015-01-31,Q26b,with_children_and_adults,25
Data Not Collected,131,all_persons,2015-01-01,2015-01-31,Q26b,with_only_children,0
Data Not Collected,131,all_persons,2015-01-01,2015-01-31,Q26b,unknown_household_type,0
Chronically Homeless,32,all_persons,2015-02-01,2015-02-28,Q26b,without_children,32
Chronically Homeless,32,all_persons,2015-02-01,2015-02-28,Q26b,with_children_and_adults,0
Chronically Homeless,32,all_persons,2015-02-01,2015-02-28,Q26b,with_only_children,0
Chronically Homeless,32,all_persons,2015-02-01,2015-02-28,Q26b,unknown_household_type,0
Not Chronically Homeless,427,all_persons,2015-02-01,2015-02-28,Q26b,without_children,191
Not Chronically Homeless,427,all_persons,2015-02-01,2015-02-28,Q26b,with_children_and_adults,234
Not Chronically Homeless,427,all_persons,2015-02-01,2015-02-28,Q26b,with_only_children,2
Not Chronically Homeless,427,all_persons,2015-02-01,2015-02-28,Q26b,unknown_household_type,0
Client Doesn't Know/Client Refused,4,all_persons,2015-02-01,2015-02-28,Q26b,without_children,4
Client Doesn't Know/Client Refused,4,all_persons,2015-02-01,2015-02-28,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,4,all_persons,2015-02-01,2015-02-28,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,4,all_persons,2015-02-01,2015-02-28,Q26b,unknown_household_type,0
Data Not Collected,136,all_persons,2015-02-01,2015-02-28,Q26b,without_children,107
Data Not Collected,136,all_persons,2015-02-01,2015-02-28,Q26b,with_children_and_adults,27
Data Not Collected,136,all_persons,2015-02-01,2015-02-28,Q26b,with_only_children,0
Data Not Collected,136,all_persons,2015-02-01,2015-02-28,Q26b,unknown_household_type,2
Chronically Homeless,27,all_persons,2015-03-01,2015-03-31,Q26b,without_children,27
Chronically Homeless,27,all_persons,2015-03-01,2015-03-31,Q26b,with_children_and_adults,0
Chronically Homeless,27,all_persons,2015-03-01,2015-03-31,Q26b,with_only_children,0
Chronically Homeless,27,all_persons,2015-03-01,2015-03-31,Q26b,unknown_household_type,0
Not Chronically Homeless,402,all_persons,2015-03-01,2015-03-31,Q26b,without_children,196
Not Chronically Homeless,402,all_persons,2015-03-01,2015-03-31,Q26b,with_children_and_adults,204
Not Chronically Homeless,402,all_persons,2015-03-01,2015-03-31,Q26b,with_only_children,2
Not Chronically Homeless,402,all_persons,2015-03-01,2015-03-31,Q26b,unknown_household_type,0
Client Doesn't Know/Client Refused,7,all_persons,2015-03-01,2015-03-31,Q26b,without_children,7
Client Doesn't Know/Client Refused,7,all_persons,2015-03-01,2015-03-31,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,7,all_persons,2015-03-01,2015-03-31,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,7,all_persons,2015-03-01,2015-03-31,Q26b,unknown_household_type,0
Data Not Collected,136,all_persons,2015-03-01,2015-03-31,Q26b,without_children,111
Data Not Collected,136,all_persons,2015-03-01,2015-03-31,Q26b,with_children_and_adults,23
Data Not Collected,136,all_persons,2015-03-01,2015-03-31,Q26b,with_only_children,0
Data Not Collected,136,all_persons,2015-03-01,2015-03-31,Q26b,unknown_household_type,2
Chronically Homeless,25,all_persons,2015-04-01,2015-04-30,Q26b,without_children,25
Chronically Homeless,25,all_persons,2015-04-01,2015-04-30,Q26b,with_children_and_adults,0
Chronically Homeless,25,all_persons,2015-04-01,2015-04-30,Q26b,with_only_children,0
Chronically Homeless,25,all_persons,2015-04-01,2015-04-30,Q26b,unknown_household_type,0
Not Chronically Homeless,376,all_persons,2015-04-01,2015-04-30,Q26b,without_children,218
Not Chronically Homeless,376,all_persons,2015-04-01,2015-04-30,Q26b,with_children_and_adults,156
Not Chronically Homeless,376,all_persons,2015-04-01,2015-04-30,Q26b,with_only_children,2
Not Chronically Homeless,376,all_persons,2015-04-01,2015-04-30,Q26b,unknown_household_type,0
Client Doesn't Know/Client Refused,4,all_persons,2015-04-01,2015-04-30,Q26b,without_children,4
Client Doesn't Know/Client Refused,4,all_persons,2015-04-01,2015-04-30,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,4,all_persons,2015-04-01,2015-04-30,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,4,all_persons,2015-04-01,2015-04-30,Q26b,unknown_household_type,0
Data Not Collected,111,all_persons,2015-04-01,2015-04-30,Q26b,without_children,91
Data Not Collected,111,all_persons,2015-04-01,2015-04-30,Q26b,with_children_and_adults,18
Data Not Collected,111,all_persons,2015-04-01,2015-04-30,Q26b,with_only_children,0
Data Not Collected,111,all_persons,2015-04-01,2015-04-30,Q26b,unknown_household_type,2
Chronically Homeless,16,all_persons,2015-05-01,2015-05-31,Q26b,without_children,16
Chronically Homeless,16,all_persons,2015-05-01,2015-05-31,Q26b,with_children_and_adults,0
Chronically Homeless,16,all_persons,2015-05-01,2015-05-31,Q26b,with_only_children,0
Chronically Homeless,16,all_persons,2015-05-01,2015-05-31,Q26b,unknown_household_type,0
Not Chronically Homeless,356,all_persons,2015-05-01,2015-05-31,Q26b,without_children,181
Not Chronically Homeless,356,all_persons,2015-05-01,2015-05-31,Q26b,with_children_and_adults,173
Not Chronically Homeless,356,all_persons,2015-05-01,2015-05-31,Q26b,with_only_children,2
Not Chronically Homeless,356,all_persons,2015-05-01,2015-05-31,Q26b,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_persons,2015-05-01,2015-05-31,Q26b,without_children,2
Client Doesn't Know/Client Refused,2,all_persons,2015-05-01,2015-05-31,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_persons,2015-05-01,2015-05-31,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,2,all_persons,2015-05-01,2015-05-31,Q26b,unknown_household_type,0
Data Not Collected,85,all_persons,2015-05-01,2015-05-31,Q26b,without_children,70
Data Not Collected,85,all_persons,2015-05-01,2015-05-31,Q26b,with_children_and_adults,13
Data Not Collected,85,all_persons,2015-05-01,2015-05-31,Q26b,with_only_children,0
Data Not Collected,85,all_persons,2015-05-01,2015-05-31,Q26b,unknown_household_type,2
Chronically Homeless,17,all_persons,2015-06-01,2015-06-30,Q26b,without_children,17
Chronically Homeless,17,all_persons,2015-06-01,2015-06-30,Q26b,with_children_and_adults,0
Chronically Homeless,17,all_persons,2015-06-01,2015-06-30,Q26b,with_only_children,0
