conditions,population,start_date,end_date,question,status,count
Mental Health Disorder,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_start,8
Mental Health Disorder,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_latest_assessment_for_stayers,6
Mental Health Disorder,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_exit_for_leavers,2
Alcohol Use Disorder,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_start,1
Alcohol Use Disorder,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_latest_assessment_for_stayers,1
Alcohol Use Disorder,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_exit_for_leavers,0
Drug Use Disorder,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_start,0
Drug Use Disorder,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_latest_assessment_for_stayers,0
Drug Use Disorder,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_exit_for_leavers,0
Both Alcohol and Drug Use Disorders,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_start,2
Both Alcohol and Drug Use Disorders,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_latest_assessment_for_stayers,2
Both Alcohol and Drug Use Disorders,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_exit_for_leavers,0
Chronic Health Condition,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_start,7
Chronic Health Condition,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_latest_assessment_for_stayers,5
Chronic Health Condition,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_exit_for_leavers,2
HIV/AIDS,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_start,0
HIV/AIDS,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_latest_assessment_for_stayers,0
HIV/AIDS,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_exit_for_leavers,0
Development Disability,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_start,0
Development Disability,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_latest_assessment_for_stayers,0
Development Disability,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_exit_for_leavers,0
Physical Disability,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_start,8
Physical Disability,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_latest_assessment_for_stayers,5
Physical Disability,chronically_homeless,2014-11-01,2014-11-30,Q26e,conditions_at_exit_for_leavers,3
Mental Health Disorder,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_start,12
Mental Health Disorder,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_latest_assessment_for_stayers,10
Mental Health Disorder,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_exit_for_leavers,2
Alcohol Use Disorder,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_start,3
Alcohol Use Disorder,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_latest_assessment_for_stayers,1
Alcohol Use Disorder,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_exit_for_leavers,2
Drug Use Disorder,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_start,0
Drug Use Disorder,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_latest_assessment_for_stayers,0
Drug Use Disorder,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_exit_for_leavers,0
Both Alcohol and Drug Use Disorders,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_start,3
Both Alcohol and Drug Use Disorders,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_latest_assessment_for_stayers,3
Both Alcohol and Drug Use Disorders,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_exit_for_leavers,0
Chronic Health Condition,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_start,10
Chronic Health Condition,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_latest_assessment_for_stayers,5
Chronic Health Condition,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_exit_for_leavers,5
HIV/AIDS,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_start,0
HIV/AIDS,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_latest_assessment_for_stayers,0
HIV/AIDS,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_exit_for_leavers,0
Development Disability,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_start,1
Development Disability,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_latest_assessment_for_stayers,0
Development Disability,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_exit_for_leavers,1
Physical Disability,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_start,12
Physical Disability,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_latest_assessment_for_stayers,7
Physical Disability,chronically_homeless,2014-12-01,2014-12-31,Q26e,conditions_at_exit_for_leavers,5
Mental Health Disorder,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_start,15
Mental Health Disorder,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_latest_assessment_for_stayers,13
Mental Health Disorder,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_exit_for_leavers,2
Alcohol Use Disorder,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_start,2
Alcohol Use Disorder,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_latest_assessment_for_stayers,1
Alcohol Use Disorder,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_exit_for_leavers,1
Drug Use Disorder,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_start,0
Drug Use Disorder,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_latest_assessment_for_stayers,0
Drug Use Disorder,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_exit_for_leavers,0
Both Alcohol and Drug Use Disorders,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_start,4
Both Alcohol and Drug Use Disorders,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_latest_assessment_for_stayers,3
Both Alcohol and Drug Use Disorders,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_exit_for_leavers,1
Chronic Health Condition,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_start,11
Chronic Health Condition,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_latest_assessment_for_stayers,7
Chronic Health Condition,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_exit_for_leavers,4
HIV/AIDS,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_start,0
HIV/AIDS,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_latest_assessment_for_stayers,0
HIV/AIDS,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_exit_for_leavers,0
Development Disability,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_start,0
Development Disability,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_latest_assessment_for_stayers,0
Development Disability,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_exit_for_leavers,0
Physical Disability,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_start,12
Physical Disability,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_latest_assessment_for_stayers,8
Physical Disability,chronically_homeless,2015-01-01,2015-01-31,Q26e,conditions_at_exit_for_leavers,4
Mental Health Disorder,chronically_homeless,2015-02-01,2015-02-28,Q26e,conditions_at_start,17
Mental Health Disorder,chronically_homeless,2015-02-01,2015-02-28,Q26e,conditions_at_latest_assessment_for_stayers,10
Mental Health Disorder,chronically_homeless,2015-02-01,2015-02-28,Q26e,conditions_at_exit_for_leavers,7
Alcohol Use Disorder,chronically_homeless,2015-02-01,2015-02-28,Q26e,conditions_at_start,3
Alcohol Use Disorder,chronically_homeless,2015-02-01,2015-02-28,Q26e,conditions_at_latest_assessment_for_stayers,1
Alcohol Use Disorder,chronically_homeless,2015-02-01,2015-02-28,Q26e,conditions_at_exit_for_leavers,2
Drug Use Disorder,chronically_homeless,2015-02-01,2015-02-28,Q26e,conditions_at_start,0
Drug Use Disorder,chronically_homeless,2015-02-01,2015-02-28,Q26e,conditions_at_latest_assessment_for_stayers,0
Drug Use Disorder,chronically_homeless,2015-02-01,2015-02-28,Q26e,conditions_at_exit_for_leavers,0
Both Alcohol and Drug Use Disorders,chronically_homeless,2015-02-01,2015-02-28,Q26e,conditions_at_start,5
Both Alcohol and Drug Use Disorders,chronically_homeless,2015-02-01,2015-02-28,Q26e,conditions_at_latest_assessment_for_stayers,4
Both Alcohol and Drug Use Disorders,chronically_homeless,2015-02-01,2015-02-28,Q26e,conditions_at_exit_for_leavers,1
Chronic Health Condition,chronically_homeless,2015-02-01,2015-02-28,Q26e,conditions_at_start,10
