age_group,total,population,start_date,end_date,question,household_type,count
12 - 17,0,youth,2014-11-01,2014-11-30,Q27a,without_children,0
12 - 17,0,youth,2014-11-01,2014-11-30,Q27a,with_children_and_adults,0
12 - 17,0,youth,2014-11-01,2014-11-30,Q27a,with_only_children,0
12 - 17,0,youth,2014-11-01,2014-11-30,Q27a,unknown_household_type,0
18 - 24,33,youth,2014-11-01,2014-11-30,Q27a,without_children,25
18 - 24,33,youth,2014-11-01,2014-11-30,Q27a,with_children_and_adults,8
18 - 24,33,youth,2014-11-01,2014-11-30,Q27a,with_only_children,0
18 - 24,33,youth,2014-11-01,2014-11-30,Q27a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,youth,2014-11-01,2014-11-30,Q27a,without_children,0
Client Doesn't Know/Client Refused,0,youth,2014-11-01,2014-11-30,Q27a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,youth,2014-11-01,2014-11-30,Q27a,with_only_children,0
Client Doesn't Know/Client Refused,0,youth,2014-11-01,2014-11-30,Q27a,unknown_household_type,0
Data Not Collected,0,youth,2014-11-01,2014-11-30,Q27a,without_children,0
Data Not Collected,0,youth,2014-11-01,2014-11-30,Q27a,with_children_and_adults,0
Data Not Collected,0,youth,2014-11-01,2014-11-30,Q27a,with_only_children,0
Data Not Collected,0,youth,2014-11-01,2014-11-30,Q27a,unknown_household_type,0
12 - 17,3,youth,2014-12-01,2014-12-31,Q27a,without_children,0
12 - 17,3,youth,2014-12-01,2014-12-31,Q27a,with_children_and_adults,2
12 - 17,3,youth,2014-12-01,2014-12-31,Q27a,with_only_children,1
12 - 17,3,youth,2014-12-01,2014-12-31,Q27a,unknown_household_type,0
18 - 24,29,youth,2014-12-01,2014-12-31,Q27a,without_children,15
18 - 24,29,youth,2014-12-01,2014-12-31,Q27a,with_children_and_adults,14
18 - 24,29,youth,2014-12-01,2014-12-31,Q27a,with_only_children,0
18 - 24,29,youth,2014-12-01,2014-12-31,Q27a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,youth,2014-12-01,2014-12-31,Q27a,without_children,0
Client Doesn't Know/Client Refused,0,youth,2014-12-01,2014-12-31,Q27a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,youth,2014-12-01,2014-12-31,Q27a,with_only_children,0
Client Doesn't Know/Client Refused,0,youth,2014-12-01,2014-12-31,Q27a,unknown_household_type,0
Data Not Collected,0,youth,2014-12-01,2014-12-31,Q27a,without_children,0
Data Not Collected,0,youth,2014-12-01,2014-12-31,Q27a,with_children_and_adults,0
Data Not Collected,0,youth,2014-12-01,2014-12-31,Q27a,with_only_children,0
Data Not Collected,0,youth,2014-12-01,2014-12-31,Q27a,unknown_household_type,0
12 - 17,1,youth,2015-01-01,2015-01-31,Q27a,without_children,0
12 - 17,1,youth,2015-01-01,2015-01-31,Q27a,with_children_and_adults,1
12 - 17,1,youth,2015-01-01,2015-01-31,Q27a,with_only_children,0
12 - 17,1,youth,2015-01-01,2015-01-31,Q27a,unknown_household_type,0
18 - 24,35,youth,2015-01-01,2015-01-31,Q27a,without_children,24
18 - 24,35,youth,2015-01-01,2015-01-31,Q27a,with_children_and_adults,11
18 - 24,35,youth,2015-01-01,2015-01-31,Q27a,with_only_children,0
18 - 24,35,youth,2015-01-01,2015-01-31,Q27a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,youth,2015-01-01,2015-01-31,Q27a,without_children,0
Client Doesn't Know/Client Refused,0,youth,2015-01-01,2015-01-31,Q27a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,youth,2015-01-01,2015-01-31,Q27a,with_only_children,0
Client Doesn't Know/Client Refused,0,youth,2015-01-01,2015-01-31,Q27a,unknown_household_type,0
Data Not Collected,0,youth,2015-01-01,2015-01-31,Q27a,without_children,0
Data Not Collected,0,youth,2015-01-01,2015-01-31,Q27a,with_children_and_adults,0
Data Not Collected,0,youth,2015-01-01,2015-01-31,Q27a,with_only_children,0
Data Not Collected,0,youth,2015-01-01,2015-01-31,Q27a,unknown_household_type,0
12 - 17,0,youth,2015-02-01,2015-02-28,Q27a,without_children,0
12 - 17,0,youth,2015-02-01,2015-02-28,Q27a,with_children_and_adults,0
12 - 17,0,youth,2015-02-01,2015-02-28,Q27a,with_only_children,0
12 - 17,0,youth,2015-02-01,2015-02-28,Q27a,unknown_household_type,0
18 - 24,32,youth,2015-02-01,2015-02-28,Q27a,without_children,21
18 - 24,32,youth,2015-02-01,2015-02-28,Q27a,with_children_and_adults,11
18 - 24,32,youth,2015-02-01,2015-02-28,Q27a,with_only_children,0
18 - 24,32,youth,2015-02-01,2015-02-28,Q27a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,youth,2015-02-01,2015-02-28,Q27a,without_children,0
Client Doesn't Know/Client Refused,0,youth,2015-02-01,2015-02-28,Q27a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,youth,2015-02-01,2015-02-28,Q27a,with_only_children,0
Client Doesn't Know/Client Refused,0,youth,2015-02-01,2015-02-28,Q27a,unknown_household_type,0
Data Not Collected,0,youth,2015-02-01,2015-02-28,Q27a,without_children,0
Data Not Collected,0,youth,2015-02-01,2015-02-28,Q27a,with_children_and_adults,0
Data Not Collected,0,youth,2015-02-01,2015-02-28,Q27a,with_only_children,0
Data Not Collected,0,youth,2015-02-01,2015-02-28,Q27a,unknown_household_type,0
12 - 17,0,youth,2015-03-01,2015-03-31,Q27a,without_children,0
12 - 17,0,youth,2015-03-01,2015-03-31,Q27a,with_children_and_adults,0
12 - 17,0,youth,2015-03-01,2015-03-31,Q27a,with_only_children,0
12 - 17,0,youth,2015-03-01,2015-03-31,Q27a,unknown_household_type,0
18 - 24,34,youth,2015-03-01,2015-03-31,Q27a,without_children,25
18 - 24,34,youth,2015-03-01,2015-03-31,Q27a,with_children_and_adults,9
18 - 24,34,youth,2015-03-01,2015-03-31,Q27a,with_only_children,0
18 - 24,34,youth,2015-03-01,2015-03-31,Q27a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,youth,2015-03-01,2015-03-31,Q27a,without_children,0
Client Doesn't Know/Client Refused,0,youth,2015-03-01,2015-03-31,Q27a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,youth,2015-03-01,2015-03-31,Q27a,with_only_children,0
Client Doesn't Know/Client Refused,0,youth,2015-03-01,2015-03-31,Q27a,unknown_household_type,0
Data Not Collected,0,youth,2015-03-01,2015-03-31,Q27a,without_children,0
Data Not Collected,0,youth,2015-03-01,2015-03-31,Q27a,with_children_and_adults,0
Data Not Collected,0,youth,2015-03-01,2015-03-31,Q27a,with_only_children,0
Data Not Collected,0,youth,2015-03-01,2015-03-31,Q27a,unknown_household_type,0
12 - 17,0,youth,2015-04-01,2015-04-30,Q27a,without_children,0
12 - 17,0,youth,2015-04-01,2015-04-30,Q27a,with_children_and_adults,0
12 - 17,0,youth,2015-04-01,2015-04-30,Q27a,with_only_children,0
12 - 17,0,youth,2015-04-01,2015-04-30,Q27a,unknown_household_type,0
18 - 24,25,youth,2015-04-01,2015-04-30,Q27a,without_children,18
18 - 24,25,youth,2015-04-01,2015-04-30,Q27a,with_children_and_adults,7
18 - 24,25,youth,2015-04-01,2015-04-30,Q27a,with_only_children,0
18 - 24,25,youth,2015-04-01,2015-04-30,Q27a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,youth,2015-04-01,2015-04-30,Q27a,without_children,0
Client Doesn't Know/Client Refused,0,youth,2015-04-01,2015-04-30,Q27a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,youth,2015-04-01,2015-04-30,Q27a,with_only_children,0
Client Doesn't Know/Client Refused,0,youth,2015-04-01,2015-04-30,Q27a,unknown_household_type,0
Data Not Collected,0,youth,2015-04-01,2015-04-30,Q27a,without_children,0
Data Not Collected,0,youth,2015-04-01,2015-04-30,Q27a,with_children_and_adults,0
Data Not Collected,0,youth,2015-04-01,2015-04-30,Q27a,with_only_children,0
Data Not Collected,0,youth,2015-04-01,2015-04-30,Q27a,unknown_household_type,0
12 - 17,0,youth,2015-05-01,2015-05-31,Q27a,without_children,0
12 - 17,0,youth,2015-05-01,2015-05-31,Q27a,with_children_and_adults,0
12 - 17,0,youth,2015-05-01,2015-05-31,Q27a,with_only_children,0
12 - 17,0,youth,2015-05-01,2015-05-31,Q27a,unknown_household_type,0
18 - 24,29,youth,2015-05-01,2015-05-31,Q27a,without_children,18
18 - 24,29,youth,2015-05-01,2015-05-31,Q27a,with_children_and_adults,11
18 - 24,29,youth,2015-05-01,2015-05-31,Q27a,with_only_children,0
18 - 24,29,youth,2015-05-01,2015-05-31,Q27a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,youth,2015-05-01,2015-05-31,Q27a,without_children,0
Client Doesn't Know/Client Refused,0,youth,2015-05-01,2015-05-31,Q27a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,youth,2015-05-01,2015-05-31,Q27a,with_only_children,0
Client Doesn't Know/Client Refused,0,youth,2015-05-01,2015-05-31,Q27a,unknown_household_type,0
Data Not Collected,0,youth,2015-05-01,2015-05-31,Q27a,without_children,0
Data Not Collected,0,youth,2015-05-01,2015-05-31,Q27a,with_children_and_adults,0
