age_group,total_parenting_youth,total_children_of_parenting_youth,total_persons,total_households,population,start_date,end_date,question
Parent youth < 18,0,0,0,0,parenting_youth,2014-11-01,2014-11-30,Q27b
Parent youth 18 to 24,8,10,18,6,parenting_youth,2014-11-01,2014-11-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2014-12-01,2014-12-31,Q27b
Parent youth 18 to 24,13,17,30,9,parenting_youth,2014-12-01,2014-12-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2015-01-01,2015-01-31,Q27b
Parent youth 18 to 24,11,15,26,9,parenting_youth,2015-01-01,2015-01-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2015-02-01,2015-02-28,Q27b
Parent youth 18 to 24,10,16,26,8,parenting_youth,2015-02-01,2015-02-28,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2015-03-01,2015-03-31,Q27b
Parent youth 18 to 24,8,13,21,7,parenting_youth,2015-03-01,2015-03-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2015-04-01,2015-04-30,Q27b
Parent youth 18 to 24,6,11,17,6,parenting_youth,2015-04-01,2015-04-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2015-05-01,2015-05-31,Q27b
Parent youth 18 to 24,10,12,22,8,parenting_youth,2015-05-01,2015-05-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2015-06-01,2015-06-30,Q27b
Parent youth 18 to 24,12,19,31,10,parenting_youth,2015-06-01,2015-06-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2015-07-01,2015-07-31,Q27b
Parent youth 18 to 24,8,17,25,8,parenting_youth,2015-07-01,2015-07-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2015-08-01,2015-08-31,Q27b
Parent youth 18 to 24,8,12,20,8,parenting_youth,2015-08-01,2015-08-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2015-09-01,2015-09-30,Q27b
Parent youth 18 to 24,9,14,23,9,parenting_youth,2015-09-01,2015-09-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2015-10-01,2015-10-31,Q27b
Parent youth 18 to 24,15,20,35,13,parenting_youth,2015-10-01,2015-10-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2015-11-01,2015-11-30,Q27b
Parent youth 18 to 24,14,16,30,11,parenting_youth,2015-11-01,2015-11-30,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2015-12-01,2015-12-31,Q27b
Parent youth 18 to 24,15,19,34,12,parenting_youth,2015-12-01,2015-12-31,Q27b
Parent youth < 18,0,0,0,0,parenting_youth,2016-01-01,2016-01-31,Q27b
Parent youth 18 to 24,14,16,30,11,parenting_youth,2016-01-01,2016-01-31,Q27b
