number_of_youth_by_income_category,population,start_date,end_date,question,status,count
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_start,11
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_exit_leavers,6
Youth with Only Other Income,youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_start,4
Youth with Only Other Income,youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_exit_leavers,3
Youth with Both Earned and Other Income,youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_start,2
Youth with Both Earned and Other Income,youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_exit_leavers,1
Youth with No Income,youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_start,16
Youth with No Income,youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_exit_leavers,8
Youth with Client Doesn't Know/Client Refused Income Information,youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_start,0
Youth with Missing Income Information,youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_annual_assessment_stayers,14
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2014-11-01,2014-11-30,Q27h,number_of_youth_at_exit_leavers,0
