report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,552,all_persons,2014-11-01,2014-11-30,Q5a
Number of Adults (age 18 or over),410,all_persons,2014-11-01,2014-11-30,Q5a
Number of Children (under age 18),142,all_persons,2014-11-01,2014-11-30,Q5a
Number of Persons with Unknown Age,0,all_persons,2014-11-01,2014-11-30,Q5a
Number of Leavers,173,all_persons,2014-11-01,2014-11-30,Q5a
Number of Adult Leavers,136,all_persons,2014-11-01,2014-11-30,Q5a
Number of Adult and Head of Household Leavers,136,all_persons,2014-11-01,2014-11-30,Q5a
Number of Stayers,379,all_persons,2014-11-01,2014-11-30,Q5a
Number of Adult Stayers,274,all_persons,2014-11-01,2014-11-30,Q5a
Number of Veterans,17,all_persons,2014-11-01,2014-11-30,Q5a
Number of Chronically Homeless Persons,19,all_persons,2014-11-01,2014-11-30,Q5a
Number of Youth Under Age 25,33,all_persons,2014-11-01,2014-11-30,Q5a
Number of Parenting Youth Under Age 25 with Children,8,all_persons,2014-11-01,2014-11-30,Q5a
Number of Adult Heads of Household,305,all_persons,2014-11-01,2014-11-30,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2014-11-01,2014-11-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,89,all_persons,2014-11-01,2014-11-30,Q5a
Total Number of Persons Served,573,all_persons,2014-12-01,2014-12-31,Q5a
Number of Adults (age 18 or over),419,all_persons,2014-12-01,2014-12-31,Q5a
Number of Children (under age 18),154,all_persons,2014-12-01,2014-12-31,Q5a
Number of Persons with Unknown Age,0,all_persons,2014-12-01,2014-12-31,Q5a
Number of Leavers,180,all_persons,2014-12-01,2014-12-31,Q5a
Number of Adult Leavers,134,all_persons,2014-12-01,2014-12-31,Q5a
Number of Adult and Head of Household Leavers,134,all_persons,2014-12-01,2014-12-31,Q5a
Number of Stayers,393,all_persons,2014-12-01,2014-12-31,Q5a
Number of Adult Stayers,285,all_persons,2014-12-01,2014-12-31,Q5a
Number of Veterans,19,all_persons,2014-12-01,2014-12-31,Q5a
Number of Chronically Homeless Persons,26,all_persons,2014-12-01,2014-12-31,Q5a
Number of Youth Under Age 25,32,all_persons,2014-12-01,2014-12-31,Q5a
Number of Parenting Youth Under Age 25 with Children,13,all_persons,2014-12-01,2014-12-31,Q5a
Number of Adult Heads of Household,323,all_persons,2014-12-01,2014-12-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2014-12-01,2014-12-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,89,all_persons,2014-12-01,2014-12-31,Q5a
Total Number of Persons Served,596,all_persons,2015-01-01,2015-01-31,Q5a
Number of Adults (age 18 or over),444,all_persons,2015-01-01,2015-01-31,Q5a
Number of Children (under age 18),152,all_persons,2015-01-01,2015-01-31,Q5a
Number of Persons with Unknown Age,0,all_persons,2015-01-01,2015-01-31,Q5a
Number of Leavers,178,all_persons,2015-01-01,2015-01-31,Q5a
Number of Adult Leavers,142,all_persons,2015-01-01,2015-01-31,Q5a
Number of Adult and Head of Household Leavers,142,all_persons,2015-01-01,2015-01-31,Q5a
Number of Stayers,418,all_persons,2015-01-01,2015-01-31,Q5a
Number of Adult Stayers,302,all_persons,2015-01-01,2015-01-31,Q5a
Number of Veterans,19,all_persons,2015-01-01,2015-01-31,Q5a
Number of Chronically Homeless Persons,29,all_persons,2015-01-01,2015-01-31,Q5a
Number of Youth Under Age 25,36,all_persons,2015-01-01,2015-01-31,Q5a
Number of Parenting Youth Under Age 25 with Children,11,all_persons,2015-01-01,2015-01-31,Q5a
Number of Adult Heads of Household,352,all_persons,2015-01-01,2015-01-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2015-01-01,2015-01-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,92,all_persons,2015-01-01,2015-01-31,Q5a
Total Number of Persons Served,599,all_persons,2015-02-01,2015-02-28,Q5a
Number of Adults (age 18 or over),448,all_persons,2015-02-01,2015-02-28,Q5a
