data_element,client_doesn_t_know_refused,information_missing,data_issues,total,percent_of_error_rate,population,start_date,end_date,question
Name (3.1),0,0,2,2,0,data_quality,2014-11-01,2014-11-30,Q6a
Social Security Number (3.2),11,13,2,26,0.05,data_quality,2014-11-01,2014-11-30,Q6a
Date of Birth (3.3),0,0,0,0,0,data_quality,2014-11-01,2014-11-30,Q6a
Race (3.4),1,1,0,2,0,data_quality,2014-11-01,2014-11-30,Q6a
Ethinicity (3.5),1,0,0,1,0,data_quality,2014-11-01,2014-11-30,Q6a
Gender (3.6),0,0,0,0,0,data_quality,2014-11-01,2014-11-30,Q6a
Overall Score,0,0,0,30,0.05,data_quality,2014-11-01,2014-11-30,Q6a
Name (3.1),0,0,2,2,0,data_quality,2014-12-01,2014-12-31,Q6a
Social Security Number (3.2),9,11,2,22,0.04,data_quality,2014-12-01,2014-12-31,Q6a
Date of Birth (3.3),0,0,0,0,0,data_quality,2014-12-01,2014-12-31,Q6a
Race (3.4),0,2,0,2,0,data_quality,2014-12-01,2014-12-31,Q6a
Ethinicity (3.5),0,0,0,0,0,data_quality,2014-12-01,2014-12-31,Q6a
Gender (3.6),0,0,0,0,0,data_quality,2014-12-01,2014-12-31,Q6a
Overall Score,0,0,0,26,0.05,data_quality,2014-12-01,2014-12-31,Q6a
Name (3.1),0,0,1,1,0,data_quality,2015-01-01,2015-01-31,Q6a
Social Security Number (3.2),7,13,2,22,0.04,data_quality,2015-01-01,2015-01-31,Q6a
Date of Birth (3.3),0,0,0,0,0,data_quality,2015-01-01,2015-01-31,Q6a
Race (3.4),1,1,0,2,0,data_quality,2015-01-01,2015-01-31,Q6a
Ethinicity (3.5),0,0,0,0,0,data_quality,2015-01-01,2015-01-31,Q6a
Gender (3.6),0,0,0,0,0,data_quality,2015-01-01,2015-01-31,Q6a
Overall Score,0,0,0,25,0.04,data_quality,2015-01-01,2015-01-31,Q6a
Name (3.1),0,0,1,1,0,data_quality,2015-02-01,2015-02-28,Q6a
Social Security Number (3.2),6,16,2,24,0.04,data_quality,2015-02-01,2015-02-28,Q6a
Date of Birth (3.3),0,1,0,1,0,data_quality,2015-02-01,2015-02-28,Q6a
Race (3.4),1,2,0,3,0.01,data_quality,2015-02-01,2015-02-28,Q6a
Ethinicity (3.5),0,1,0,1,0,data_quality,2015-02-01,2015-02-28,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2015-02-01,2015-02-28,Q6a
Overall Score,0,0,0,26,0.04,data_quality,2015-02-01,2015-02-28,Q6a
Name (3.1),0,0,0,0,0,data_quality,2015-03-01,2015-03-31,Q6a
Social Security Number (3.2),8,15,2,25,0.04,data_quality,2015-03-01,2015-03-31,Q6a
Date of Birth (3.3),0,1,0,1,0,data_quality,2015-03-01,2015-03-31,Q6a
Race (3.4),0,2,0,2,0,data_quality,2015-03-01,2015-03-31,Q6a
Ethinicity (3.5),1,1,0,2,0,data_quality,2015-03-01,2015-03-31,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2015-03-01,2015-03-31,Q6a
Overall Score,0,0,0,27,0.05,data_quality,2015-03-01,2015-03-31,Q6a
Name (3.1),0,0,0,0,0,data_quality,2015-04-01,2015-04-30,Q6a
Social Security Number (3.2),3,12,2,17,0.03,data_quality,2015-04-01,2015-04-30,Q6a
Date of Birth (3.3),0,1,0,1,0,data_quality,2015-04-01,2015-04-30,Q6a
Race (3.4),1,2,0,3,0.01,data_quality,2015-04-01,2015-04-30,Q6a
Ethinicity (3.5),1,2,0,3,0.01,data_quality,2015-04-01,2015-04-30,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2015-04-01,2015-04-30,Q6a
Overall Score,0,0,0,20,0.04,data_quality,2015-04-01,2015-04-30,Q6a
Name (3.1),0,0,0,0,0,data_quality,2015-05-01,2015-05-31,Q6a
Social Security Number (3.2),4,17,0,21,0.05,data_quality,2015-05-01,2015-05-31,Q6a
Date of Birth (3.3),0,3,0,3,0.01,data_quality,2015-05-01,2015-05-31,Q6a
Race (3.4),1,2,0,3,0.01,data_quality,2015-05-01,2015-05-31,Q6a
Ethinicity (3.5),2,2,0,4,0.01,data_quality,2015-05-01,2015-05-31,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2015-05-01,2015-05-31,Q6a
Overall Score,0,0,0,24,0.05,data_quality,2015-05-01,2015-05-31,Q6a
Name (3.1),0,0,1,1,0,data_quality,2015-06-01,2015-06-30,Q6a
Social Security Number (3.2),17,24,1,42,0.08,data_quality,2015-06-01,2015-06-30,Q6a
Date of Birth (3.3),0,1,0,1,0,data_quality,2015-06-01,2015-06-30,Q6a
Race (3.4),0,2,0,2,0,data_quality,2015-06-01,2015-06-30,Q6a
Ethinicity (3.5),2,1,0,3,0.01,data_quality,2015-06-01,2015-06-30,Q6a
Gender (3.6),0,1,0,1,0,data_quality,2015-06-01,2015-06-30,Q6a
Overall Score,0,0,0,45,0.08,data_quality,2015-06-01,2015-06-30,Q6a
Name (3.1),0,0,5,5,0.01,data_quality,2015-07-01,2015-07-31,Q6a
