data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Veteran Status (3.7),8,0.02,data_quality,2014-11-01,2014-11-30,Q6b
Project Start Date (3.10),0,0,data_quality,2014-11-01,2014-11-30,Q6b
Relationship to Head of Household (3.15),98,0.18,data_quality,2014-11-01,2014-11-30,Q6b
Client Location (3.16),0,0,data_quality,2014-11-01,2014-11-30,Q6b
Disabling Condition (3.8),14,0.03,data_quality,2014-11-01,2014-11-30,Q6b
Veteran Status (3.7),8,0.02,data_quality,2014-12-01,2014-12-31,Q6b
Project Start Date (3.10),0,0,data_quality,2014-12-01,2014-12-31,Q6b
Relationship to Head of Household (3.15),83,0.14,data_quality,2014-12-01,2014-12-31,Q6b
Client Location (3.16),0,0,data_quality,2014-12-01,2014-12-31,Q6b
Disabling Condition (3.8),14,0.02,data_quality,2014-12-01,2014-12-31,Q6b
Veteran Status (3.7),8,0.02,data_quality,2015-01-01,2015-01-31,Q6b
Project Start Date (3.10),0,0,data_quality,2015-01-01,2015-01-31,Q6b
Relationship to Head of Household (3.15),70,0.12,data_quality,2015-01-01,2015-01-31,Q6b
Client Location (3.16),1,0,data_quality,2015-01-01,2015-01-31,Q6b
Disabling Condition (3.8),13,0.02,data_quality,2015-01-01,2015-01-31,Q6b
Veteran Status (3.7),8,0.02,data_quality,2015-02-01,2015-02-28,Q6b
Project Start Date (3.10),0,0,data_quality,2015-02-01,2015-02-28,Q6b
Relationship to Head of Household (3.15),62,0.1,data_quality,2015-02-01,2015-02-28,Q6b
Client Location (3.16),1,0,data_quality,2015-02-01,2015-02-28,Q6b
Disabling Condition (3.8),16,0.03,data_quality,2015-02-01,2015-02-28,Q6b
Veteran Status (3.7),9,0.02,data_quality,2015-03-01,2015-03-31,Q6b
Project Start Date (3.10),0,0,data_quality,2015-03-01,2015-03-31,Q6b
Relationship to Head of Household (3.15),64,0.11,data_quality,2015-03-01,2015-03-31,Q6b
Client Location (3.16),1,0,data_quality,2015-03-01,2015-03-31,Q6b
Disabling Condition (3.8),22,0.04,data_quality,2015-03-01,2015-03-31,Q6b
Veteran Status (3.7),8,0.02,data_quality,2015-04-01,2015-04-30,Q6b
Project Start Date (3.10),0,0,data_quality,2015-04-01,2015-04-30,Q6b
Relationship to Head of Household (3.15),56,0.11,data_quality,2015-04-01,2015-04-30,Q6b
Client Location (3.16),1,0,data_quality,2015-04-01,2015-04-30,Q6b
Disabling Condition (3.8),33,0.06,data_quality,2015-04-01,2015-04-30,Q6b
Veteran Status (3.7),9,0.03,data_quality,2015-05-01,2015-05-31,Q6b
Project Start Date (3.10),0,0,data_quality,2015-05-01,2015-05-31,Q6b
Relationship to Head of Household (3.15),52,0.11,data_quality,2015-05-01,2015-05-31,Q6b
Client Location (3.16),1,0,data_quality,2015-05-01,2015-05-31,Q6b
Disabling Condition (3.8),16,0.03,data_quality,2015-05-01,2015-05-31,Q6b
Veteran Status (3.7),9,0.02,data_quality,2015-06-01,2015-06-30,Q6b
Project Start Date (3.10),0,0,data_quality,2015-06-01,2015-06-30,Q6b
Relationship to Head of Household (3.15),56,0.1,data_quality,2015-06-01,2015-06-30,Q6b
Client Location (3.16),1,0,data_quality,2015-06-01,2015-06-30,Q6b
Disabling Condition (3.8),17,0.03,data_quality,2015-06-01,2015-06-30,Q6b
Veteran Status (3.7),8,0.02,data_quality,2015-07-01,2015-07-31,Q6b
Project Start Date (3.10),0,0,data_quality,2015-07-01,2015-07-31,Q6b
Relationship to Head of Household (3.15),54,0.1,data_quality,2015-07-01,2015-07-31,Q6b
Client Location (3.16),1,0,data_quality,2015-07-01,2015-07-31,Q6b
Disabling Condition (3.8),15,0.03,data_quality,2015-07-01,2015-07-31,Q6b
Veteran Status (3.7),7,0.02,data_quality,2015-08-01,2015-08-31,Q6b
Project Start Date (3.10),0,0,data_quality,2015-08-01,2015-08-31,Q6b
Relationship to Head of Household (3.15),58,0.11,data_quality,2015-08-01,2015-08-31,Q6b
Client Location (3.16),1,0,data_quality,2015-08-01,2015-08-31,Q6b
Disabling Condition (3.8),13,0.03,data_quality,2015-08-01,2015-08-31,Q6b
Veteran Status (3.7),8,0.02,data_quality,2015-09-01,2015-09-30,Q6b
Project Start Date (3.10),0,0,data_quality,2015-09-01,2015-09-30,Q6b
Relationship to Head of Household (3.15),56,0.09,data_quality,2015-09-01,2015-09-30,Q6b
Client Location (3.16),1,0,data_quality,2015-09-01,2015-09-30,Q6b
Disabling Condition (3.8),14,0.02,data_quality,2015-09-01,2015-09-30,Q6b
Veteran Status (3.7),8,0.02,data_quality,2015-10-01,2015-10-31,Q6b
