data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Destination (3.12),66,0.38,data_quality,2014-11-01,2014-11-30,Q6c
Income and Sources (4.2) at Start,68,0.17,data_quality,2014-11-01,2014-11-30,Q6c
Income and Sources (4.2) at Annual Assessment,85,0.96,data_quality,2014-11-01,2014-11-30,Q6c
Income and Sources (4.2) at Exit,21,0.15,data_quality,2014-11-01,2014-11-30,Q6c
Destination (3.12),70,0.39,data_quality,2014-12-01,2014-12-31,Q6c
Income and Sources (4.2) at Start,61,0.15,data_quality,2014-12-01,2014-12-31,Q6c
Income and Sources (4.2) at Annual Assessment,81,0.91,data_quality,2014-12-01,2014-12-31,Q6c
Income and Sources (4.2) at Exit,19,0.14,data_quality,2014-12-01,2014-12-31,Q6c
Destination (3.12),41,0.23,data_quality,2015-01-01,2015-01-31,Q6c
Income and Sources (4.2) at Start,62,0.14,data_quality,2015-01-01,2015-01-31,Q6c
Income and Sources (4.2) at Annual Assessment,81,0.88,data_quality,2015-01-01,2015-01-31,Q6c
Income and Sources (4.2) at Exit,15,0.11,data_quality,2015-01-01,2015-01-31,Q6c
Destination (3.12),49,0.28,data_quality,2015-02-01,2015-02-28,Q6c
Income and Sources (4.2) at Start,64,0.14,data_quality,2015-02-01,2015-02-28,Q6c
Income and Sources (4.2) at Annual Assessment,83,0.87,data_quality,2015-02-01,2015-02-28,Q6c
Income and Sources (4.2) at Exit,11,0.08,data_quality,2015-02-01,2015-02-28,Q6c
Destination (3.12),47,0.24,data_quality,2015-03-01,2015-03-31,Q6c
Income and Sources (4.2) at Start,70,0.16,data_quality,2015-03-01,2015-03-31,Q6c
Income and Sources (4.2) at Annual Assessment,83,0.87,data_quality,2015-03-01,2015-03-31,Q6c
Income and Sources (4.2) at Exit,25,0.18,data_quality,2015-03-01,2015-03-31,Q6c
Destination (3.12),34,0.19,data_quality,2015-04-01,2015-04-30,Q6c
Income and Sources (4.2) at Start,65,0.15,data_quality,2015-04-01,2015-04-30,Q6c
Income and Sources (4.2) at Annual Assessment,82,0.85,data_quality,2015-04-01,2015-04-30,Q6c
Income and Sources (4.2) at Exit,26,0.18,data_quality,2015-04-01,2015-04-30,Q6c
Destination (3.12),13,0.16,data_quality,2015-05-01,2015-05-31,Q6c
Income and Sources (4.2) at Start,54,0.15,data_quality,2015-05-01,2015-05-31,Q6c
Income and Sources (4.2) at Annual Assessment,80,0.8,data_quality,2015-05-01,2015-05-31,Q6c
Income and Sources (4.2) at Exit,8,0.14,data_quality,2015-05-01,2015-05-31,Q6c
Destination (3.12),14,0.08,data_quality,2015-06-01,2015-06-30,Q6c
Income and Sources (4.2) at Start,59,0.15,data_quality,2015-06-01,2015-06-30,Q6c
Income and Sources (4.2) at Annual Assessment,82,0.81,data_quality,2015-06-01,2015-06-30,Q6c
Income and Sources (4.2) at Exit,11,0.09,data_quality,2015-06-01,2015-06-30,Q6c
Destination (3.12),9,0.06,data_quality,2015-07-01,2015-07-31,Q6c
Income and Sources (4.2) at Start,63,0.17,data_quality,2015-07-01,2015-07-31,Q6c
Income and Sources (4.2) at Annual Assessment,79,0.8,data_quality,2015-07-01,2015-07-31,Q6c
Income and Sources (4.2) at Exit,10,0.1,data_quality,2015-07-01,2015-07-31,Q6c
Destination (3.12),9,0.12,data_quality,2015-08-01,2015-08-31,Q6c
Income and Sources (4.2) at Start,63,0.18,data_quality,2015-08-01,2015-08-31,Q6c
Income and Sources (4.2) at Annual Assessment,80,0.79,data_quality,2015-08-01,2015-08-31,Q6c
Income and Sources (4.2) at Exit,8,0.17,data_quality,2015-08-01,2015-08-31,Q6c
Destination (3.12),11,0.07,data_quality,2015-09-01,2015-09-30,Q6c
Income and Sources (4.2) at Start,63,0.16,data_quality,2015-09-01,2015-09-30,Q6c
Income and Sources (4.2) at Annual Assessment,75,0.77,data_quality,2015-09-01,2015-09-30,Q6c
Income and Sources (4.2) at Exit,14,0.16,data_quality,2015-09-01,2015-09-30,Q6c
Destination (3.12),19,0.12,data_quality,2015-10-01,2015-10-31,Q6c
Income and Sources (4.2) at Start,64,0.15,data_quality,2015-10-01,2015-10-31,Q6c
Income and Sources (4.2) at Annual Assessment,74,0.76,data_quality,2015-10-01,2015-10-31,Q6c
Income and Sources (4.2) at Exit,11,0.12,data_quality,2015-10-01,2015-10-31,Q6c
Destination (3.12),29,0.21,data_quality,2015-11-01,2015-11-30,Q6c
Income and Sources (4.2) at Start,64,0.14,data_quality,2015-11-01,2015-11-30,Q6c
Income and Sources (4.2) at Annual Assessment,69,0.7,data_quality,2015-11-01,2015-11-30,Q6c
Income and Sources (4.2) at Exit,8,0.09,data_quality,2015-11-01,2015-11-30,Q6c
Destination (3.12),36,0.21,data_quality,2015-12-01,2015-12-31,Q6c
Income and Sources (4.2) at Start,55,0.12,data_quality,2015-12-01,2015-12-31,Q6c
Income and Sources (4.2) at Annual Assessment,67,0.69,data_quality,2015-12-01,2015-12-31,Q6c
Income and Sources (4.2) at Exit,7,0.06,data_quality,2015-12-01,2015-12-31,Q6c
Destination (3.12),35,0.25,data_quality,2016-01-01,2016-01-31,Q6c
Income and Sources (4.2) at Start,58,0.13,data_quality,2016-01-01,2016-01-31,Q6c
Income and Sources (4.2) at Annual Assessment,70,0.69,data_quality,2016-01-01,2016-01-31,Q6c
Income and Sources (4.2) at Exit,9,0.09,data_quality,2016-01-01,2016-01-31,Q6c
Destination (3.12),52,0.29,data_quality,2016-02-01,2016-02-29,Q6c
Income and Sources (4.2) at Start,55,0.13,data_quality,2016-02-01,2016-02-29,Q6c
Income and Sources (4.2) at Annual Assessment,74,0.71,data_quality,2016-02-01,2016-02-29,Q6c
Income and Sources (4.2) at Exit,12,0.09,data_quality,2016-02-01,2016-02-29,Q6c
Destination (3.12),52,0.33,data_quality,2016-03-01,2016-03-31,Q6c
Income and Sources (4.2) at Start,57,0.13,data_quality,2016-03-01,2016-03-31,Q6c
Income and Sources (4.2) at Annual Assessment,76,0.72,data_quality,2016-03-01,2016-03-31,Q6c
Income and Sources (4.2) at Exit,7,0.06,data_quality,2016-03-01,2016-03-31,Q6c
Destination (3.12),33,0.29,data_quality,2016-04-01,2016-04-30,Q6c
Income and Sources (4.2) at Start,53,0.13,data_quality,2016-04-01,2016-04-30,Q6c
Income and Sources (4.2) at Annual Assessment,76,0.7,data_quality,2016-04-01,2016-04-30,Q6c
Income and Sources (4.2) at Exit,9,0.1,data_quality,2016-04-01,2016-04-30,Q6c
Destination (3.12),3,0.02,data_quality,2016-05-01,2016-05-31,Q6c
Income and Sources (4.2) at Start,48,0.13,data_quality,2016-05-01,2016-05-31,Q6c
Income and Sources (4.2) at Annual Assessment,76,0.7,data_quality,2016-05-01,2016-05-31,Q6c
Income and Sources (4.2) at Exit,8,0.1,data_quality,2016-05-01,2016-05-31,Q6c
Destination (3.12),2,0.02,data_quality,2016-06-01,2016-06-30,Q6c
Income and Sources (4.2) at Start,45,0.12,data_quality,2016-06-01,2016-06-30,Q6c
Income and Sources (4.2) at Annual Assessment,77,0.71,data_quality,2016-06-01,2016-06-30,Q6c
Income and Sources (4.2) at Exit,8,0.11,data_quality,2016-06-01,2016-06-30,Q6c
Destination (3.12),4,0.04,data_quality,2016-07-01,2016-07-31,Q6c
Income and Sources (4.2) at Start,54,0.13,data_quality,2016-07-01,2016-07-31,Q6c
Income and Sources (4.2) at Annual Assessment,81,0.74,data_quality,2016-07-01,2016-07-31,Q6c
Income and Sources (4.2) at Exit,5,0.09,data_quality,2016-07-01,2016-07-31,Q6c
Destination (3.12),7,0.05,data_quality,2016-08-01,2016-08-31,Q6c
Income and Sources (4.2) at Start,58,0.12,data_quality,2016-08-01,2016-08-31,Q6c
Income and Sources (4.2) at Annual Assessment,81,0.75,data_quality,2016-08-01,2016-08-31,Q6c
Income and Sources (4.2) at Exit,7,0.07,data_quality,2016-08-01,2016-08-31,Q6c
Destination (3.12),7,0.03,data_quality,2016-09-01,2016-09-30,Q6c
Income and Sources (4.2) at Start,64,0.13,data_quality,2016-09-01,2016-09-30,Q6c
Income and Sources (4.2) at Annual Assessment,83,0.76,data_quality,2016-09-01,2016-09-30,Q6c
Income and Sources (4.2) at Exit,9,0.07,data_quality,2016-09-01,2016-09-30,Q6c
Destination (3.12),10,0.06,data_quality,2016-10-01,2016-10-31,Q6c
Income and Sources (4.2) at Start,57,0.13,data_quality,2016-10-01,2016-10-31,Q6c
Income and Sources (4.2) at Annual Assessment,85,0.78,data_quality,2016-10-01,2016-10-31,Q6c
Income and Sources (4.2) at Exit,15,0.16,data_quality,2016-10-01,2016-10-31,Q6c
Destination (3.12),3,0.02,data_quality,2016-11-01,2016-11-30,Q6c
Income and Sources (4.2) at Start,54,0.11,data_quality,2016-11-01,2016-11-30,Q6c
Income and Sources (4.2) at Annual Assessment,87,0.8,data_quality,2016-11-01,2016-11-30,Q6c
Income and Sources (4.2) at Exit,6,0.06,data_quality,2016-11-01,2016-11-30,Q6c
Destination (3.12),2,0.01,data_quality,2016-12-01,2016-12-31,Q6c
Income and Sources (4.2) at Start,57,0.11,data_quality,2016-12-01,2016-12-31,Q6c
Income and Sources (4.2) at Annual Assessment,89,0.8,data_quality,2016-12-01,2016-12-31,Q6c
Income and Sources (4.2) at Exit,19,0.15,data_quality,2016-12-01,2016-12-31,Q6c
Destination (3.12),6,0.03,data_quality,2017-01-01,2017-01-31,Q6c
Income and Sources (4.2) at Start,52,0.11,data_quality,2017-01-01,2017-01-31,Q6c
Income and Sources (4.2) at Annual Assessment,96,0.83,data_quality,2017-01-01,2017-01-31,Q6c
Income and Sources (4.2) at Exit,13,0.09,data_quality,2017-01-01,2017-01-31,Q6c
Destination (3.12),13,0.07,data_quality,2017-02-01,2017-02-28,Q6c
Income and Sources (4.2) at Start,56,0.12,data_quality,2017-02-01,2017-02-28,Q6c
Income and Sources (4.2) at Annual Assessment,95,0.76,data_quality,2017-02-01,2017-02-28,Q6c
Income and Sources (4.2) at Exit,19,0.16,data_quality,2017-02-01,2017-02-28,Q6c
