time_for_record_entry,number_of_project_entry_records,number_of_project_exit_records,population,start_date,end_date,question
0 days,113,76,data_quality,2014-11-01,2014-11-30,Q6e
1-3 days,16,9,data_quality,2014-11-01,2014-11-30,Q6e
4-6 days,10,2,data_quality,2014-11-01,2014-11-30,Q6e
7-10 days,12,7,data_quality,2014-11-01,2014-11-30,Q6e
11+ days,77,79,data_quality,2014-11-01,2014-11-30,Q6e
0 days,104,58,data_quality,2014-12-01,2014-12-31,Q6e
1-3 days,26,3,data_quality,2014-12-01,2014-12-31,Q6e
4-6 days,7,4,data_quality,2014-12-01,2014-12-31,Q6e
7-10 days,8,20,data_quality,2014-12-01,2014-12-31,Q6e
11+ days,83,95,data_quality,2014-12-01,2014-12-31,Q6e
0 days,119,88,data_quality,2015-01-01,2015-01-31,Q6e
1-3 days,28,25,data_quality,2015-01-01,2015-01-31,Q6e
4-6 days,17,12,data_quality,2015-01-01,2015-01-31,Q6e
7-10 days,19,8,data_quality,2015-01-01,2015-01-31,Q6e
11+ days,60,45,data_quality,2015-01-01,2015-01-31,Q6e
0 days,84,64,data_quality,2015-02-01,2015-02-28,Q6e
1-3 days,35,17,data_quality,2015-02-01,2015-02-28,Q6e
4-6 days,24,10,data_quality,2015-02-01,2015-02-28,Q6e
7-10 days,26,21,data_quality,2015-02-01,2015-02-28,Q6e
11+ days,34,61,data_quality,2015-02-01,2015-02-28,Q6e
0 days,90,69,data_quality,2015-03-01,2015-03-31,Q6e
1-3 days,9,13,data_quality,2015-03-01,2015-03-31,Q6e
4-6 days,21,6,data_quality,2015-03-01,2015-03-31,Q6e
7-10 days,26,19,data_quality,2015-03-01,2015-03-31,Q6e
11+ days,48,92,data_quality,2015-03-01,2015-03-31,Q6e
0 days,97,60,data_quality,2015-04-01,2015-04-30,Q6e
1-3 days,4,2,data_quality,2015-04-01,2015-04-30,Q6e
4-6 days,12,23,data_quality,2015-04-01,2015-04-30,Q6e
7-10 days,19,20,data_quality,2015-04-01,2015-04-30,Q6e
11+ days,33,76,data_quality,2015-04-01,2015-04-30,Q6e
0 days,87,50,data_quality,2015-05-01,2015-05-31,Q6e
1-3 days,1,5,data_quality,2015-05-01,2015-05-31,Q6e
4-6 days,10,3,data_quality,2015-05-01,2015-05-31,Q6e
7-10 days,7,4,data_quality,2015-05-01,2015-05-31,Q6e
11+ days,17,20,data_quality,2015-05-01,2015-05-31,Q6e
0 days,96,82,data_quality,2015-06-01,2015-06-30,Q6e
1-3 days,10,4,data_quality,2015-06-01,2015-06-30,Q6e
4-6 days,1,3,data_quality,2015-06-01,2015-06-30,Q6e
7-10 days,15,7,data_quality,2015-06-01,2015-06-30,Q6e
11+ days,34,73,data_quality,2015-06-01,2015-06-30,Q6e
0 days,97,78,data_quality,2015-07-01,2015-07-31,Q6e
1-3 days,14,18,data_quality,2015-07-01,2015-07-31,Q6e
