persons_served,total,population,start_date,end_date,question,household_type,count
Adults,410,all_persons,2014-11-01,2014-11-30,Q7a,without_children,307
Adults,410,all_persons,2014-11-01,2014-11-30,Q7a,with_children_and_adults,103
Adults,410,all_persons,2014-11-01,2014-11-30,Q7a,with_only_children,0
Adults,410,all_persons,2014-11-01,2014-11-30,Q7a,unknown_household_type,0
Children,142,all_persons,2014-11-01,2014-11-30,Q7a,without_children,0
Children,142,all_persons,2014-11-01,2014-11-30,Q7a,with_children_and_adults,142
Children,142,all_persons,2014-11-01,2014-11-30,Q7a,with_only_children,0
Children,142,all_persons,2014-11-01,2014-11-30,Q7a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2014-11-01,2014-11-30,Q7a,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2014-11-01,2014-11-30,Q7a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2014-11-01,2014-11-30,Q7a,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2014-11-01,2014-11-30,Q7a,unknown_household_type,0
Data Not Collected,0,all_persons,2014-11-01,2014-11-30,Q7a,without_children,0
Data Not Collected,0,all_persons,2014-11-01,2014-11-30,Q7a,with_children_and_adults,0
Data Not Collected,0,all_persons,2014-11-01,2014-11-30,Q7a,with_only_children,0
Data Not Collected,0,all_persons,2014-11-01,2014-11-30,Q7a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,57,all_persons,2014-11-01,2014-11-30,Q7a,without_children,26
For PSH and RRH - the total persons served who moved into housing,57,all_persons,2014-11-01,2014-11-30,Q7a,with_children_and_adults,31
For PSH and RRH - the total persons served who moved into housing,57,all_persons,2014-11-01,2014-11-30,Q7a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,57,all_persons,2014-11-01,2014-11-30,Q7a,unknown_household_type,0
Adults,419,all_persons,2014-12-01,2014-12-31,Q7a,without_children,305
Adults,419,all_persons,2014-12-01,2014-12-31,Q7a,with_children_and_adults,114
Adults,419,all_persons,2014-12-01,2014-12-31,Q7a,with_only_children,0
Adults,419,all_persons,2014-12-01,2014-12-31,Q7a,unknown_household_type,0
Children,154,all_persons,2014-12-01,2014-12-31,Q7a,without_children,0
Children,154,all_persons,2014-12-01,2014-12-31,Q7a,with_children_and_adults,151
Children,154,all_persons,2014-12-01,2014-12-31,Q7a,with_only_children,3
Children,154,all_persons,2014-12-01,2014-12-31,Q7a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2014-12-01,2014-12-31,Q7a,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2014-12-01,2014-12-31,Q7a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2014-12-01,2014-12-31,Q7a,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2014-12-01,2014-12-31,Q7a,unknown_household_type,0
Data Not Collected,0,all_persons,2014-12-01,2014-12-31,Q7a,without_children,0
Data Not Collected,0,all_persons,2014-12-01,2014-12-31,Q7a,with_children_and_adults,0
Data Not Collected,0,all_persons,2014-12-01,2014-12-31,Q7a,with_only_children,0
Data Not Collected,0,all_persons,2014-12-01,2014-12-31,Q7a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,76,all_persons,2014-12-01,2014-12-31,Q7a,without_children,33
For PSH and RRH - the total persons served who moved into housing,76,all_persons,2014-12-01,2014-12-31,Q7a,with_children_and_adults,43
For PSH and RRH - the total persons served who moved into housing,76,all_persons,2014-12-01,2014-12-31,Q7a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,76,all_persons,2014-12-01,2014-12-31,Q7a,unknown_household_type,0
Adults,444,all_persons,2015-01-01,2015-01-31,Q7a,without_children,321
Adults,444,all_persons,2015-01-01,2015-01-31,Q7a,with_children_and_adults,123
Adults,444,all_persons,2015-01-01,2015-01-31,Q7a,with_only_children,0
Adults,444,all_persons,2015-01-01,2015-01-31,Q7a,unknown_household_type,0
Children,152,all_persons,2015-01-01,2015-01-31,Q7a,without_children,0
Children,152,all_persons,2015-01-01,2015-01-31,Q7a,with_children_and_adults,150
Children,152,all_persons,2015-01-01,2015-01-31,Q7a,with_only_children,2
Children,152,all_persons,2015-01-01,2015-01-31,Q7a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2015-01-01,2015-01-31,Q7a,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-01-01,2015-01-31,Q7a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2015-01-01,2015-01-31,Q7a,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-01-01,2015-01-31,Q7a,unknown_household_type,0
Data Not Collected,0,all_persons,2015-01-01,2015-01-31,Q7a,without_children,0
Data Not Collected,0,all_persons,2015-01-01,2015-01-31,Q7a,with_children_and_adults,0
Data Not Collected,0,all_persons,2015-01-01,2015-01-31,Q7a,with_only_children,0
Data Not Collected,0,all_persons,2015-01-01,2015-01-31,Q7a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,70,all_persons,2015-01-01,2015-01-31,Q7a,without_children,33
For PSH and RRH - the total persons served who moved into housing,70,all_persons,2015-01-01,2015-01-31,Q7a,with_children_and_adults,37
For PSH and RRH - the total persons served who moved into housing,70,all_persons,2015-01-01,2015-01-31,Q7a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,70,all_persons,2015-01-01,2015-01-31,Q7a,unknown_household_type,0
Adults,448,all_persons,2015-02-01,2015-02-28,Q7a,without_children,334
Adults,448,all_persons,2015-02-01,2015-02-28,Q7a,with_children_and_adults,113
Adults,448,all_persons,2015-02-01,2015-02-28,Q7a,with_only_children,0
Adults,448,all_persons,2015-02-01,2015-02-28,Q7a,unknown_household_type,1
Children,150,all_persons,2015-02-01,2015-02-28,Q7a,without_children,0
Children,150,all_persons,2015-02-01,2015-02-28,Q7a,with_children_and_adults,148
Children,150,all_persons,2015-02-01,2015-02-28,Q7a,with_only_children,2
Children,150,all_persons,2015-02-01,2015-02-28,Q7a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2015-02-01,2015-02-28,Q7a,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-02-01,2015-02-28,Q7a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2015-02-01,2015-02-28,Q7a,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-02-01,2015-02-28,Q7a,unknown_household_type,0
Data Not Collected,1,all_persons,2015-02-01,2015-02-28,Q7a,without_children,0
Data Not Collected,1,all_persons,2015-02-01,2015-02-28,Q7a,with_children_and_adults,0
Data Not Collected,1,all_persons,2015-02-01,2015-02-28,Q7a,with_only_children,0
Data Not Collected,1,all_persons,2015-02-01,2015-02-28,Q7a,unknown_household_type,1
For PSH and RRH - the total persons served who moved into housing,106,all_persons,2015-02-01,2015-02-28,Q7a,without_children,40
For PSH and RRH - the total persons served who moved into housing,106,all_persons,2015-02-01,2015-02-28,Q7a,with_children_and_adults,66
For PSH and RRH - the total persons served who moved into housing,106,all_persons,2015-02-01,2015-02-28,Q7a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,106,all_persons,2015-02-01,2015-02-28,Q7a,unknown_household_type,0
Adults,440,all_persons,2015-03-01,2015-03-31,Q7a,without_children,341
Adults,440,all_persons,2015-03-01,2015-03-31,Q7a,with_children_and_adults,98
Adults,440,all_persons,2015-03-01,2015-03-31,Q7a,with_only_children,0
Adults,440,all_persons,2015-03-01,2015-03-31,Q7a,unknown_household_type,1
Children,131,all_persons,2015-03-01,2015-03-31,Q7a,without_children,0
Children,131,all_persons,2015-03-01,2015-03-31,Q7a,with_children_and_adults,129
Children,131,all_persons,2015-03-01,2015-03-31,Q7a,with_only_children,2
Children,131,all_persons,2015-03-01,2015-03-31,Q7a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2015-03-01,2015-03-31,Q7a,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2015-03-01,2015-03-31,Q7a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2015-03-01,2015-03-31,Q7a,with_only_children,0
