households_served,total,population,start_date,end_date,question,household_type,count
Total Households,305,all_households,2014-11-01,2014-11-30,Q8a,without_children,248
Total Households,305,all_households,2014-11-01,2014-11-30,Q8a,with_children_and_adults,57
Total Households,305,all_households,2014-11-01,2014-11-30,Q8a,with_only_children,0
Total Households,305,all_households,2014-11-01,2014-11-30,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,35,all_households,2014-11-01,2014-11-30,Q8a,without_children,25
For PSH and RRH - the total persons served who moved into housing,35,all_households,2014-11-01,2014-11-30,Q8a,with_children_and_adults,10
For PSH and RRH - the total persons served who moved into housing,35,all_households,2014-11-01,2014-11-30,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,35,all_households,2014-11-01,2014-11-30,Q8a,unknown_household_type,0
Total Households,323,all_households,2014-12-01,2014-12-31,Q8a,without_children,259
Total Households,323,all_households,2014-12-01,2014-12-31,Q8a,with_children_and_adults,64
Total Households,323,all_households,2014-12-01,2014-12-31,Q8a,with_only_children,0
Total Households,323,all_households,2014-12-01,2014-12-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,44,all_households,2014-12-01,2014-12-31,Q8a,without_children,30
For PSH and RRH - the total persons served who moved into housing,44,all_households,2014-12-01,2014-12-31,Q8a,with_children_and_adults,14
For PSH and RRH - the total persons served who moved into housing,44,all_households,2014-12-01,2014-12-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,44,all_households,2014-12-01,2014-12-31,Q8a,unknown_household_type,0
Total Households,352,all_households,2015-01-01,2015-01-31,Q8a,without_children,278
Total Households,352,all_households,2015-01-01,2015-01-31,Q8a,with_children_and_adults,74
Total Households,352,all_households,2015-01-01,2015-01-31,Q8a,with_only_children,0
Total Households,352,all_households,2015-01-01,2015-01-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,44,all_households,2015-01-01,2015-01-31,Q8a,without_children,31
For PSH and RRH - the total persons served who moved into housing,44,all_households,2015-01-01,2015-01-31,Q8a,with_children_and_adults,13
For PSH and RRH - the total persons served who moved into housing,44,all_households,2015-01-01,2015-01-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,44,all_households,2015-01-01,2015-01-31,Q8a,unknown_household_type,0
Total Households,361,all_households,2015-02-01,2015-02-28,Q8a,without_children,293
Total Households,361,all_households,2015-02-01,2015-02-28,Q8a,with_children_and_adults,68
Total Households,361,all_households,2015-02-01,2015-02-28,Q8a,with_only_children,0
Total Households,361,all_households,2015-02-01,2015-02-28,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,55,all_households,2015-02-01,2015-02-28,Q8a,without_children,36
For PSH and RRH - the total persons served who moved into housing,55,all_households,2015-02-01,2015-02-28,Q8a,with_children_and_adults,19
For PSH and RRH - the total persons served who moved into housing,55,all_households,2015-02-01,2015-02-28,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,55,all_households,2015-02-01,2015-02-28,Q8a,unknown_household_type,0
Total Households,354,all_households,2015-03-01,2015-03-31,Q8a,without_children,297
Total Households,354,all_households,2015-03-01,2015-03-31,Q8a,with_children_and_adults,57
Total Households,354,all_households,2015-03-01,2015-03-31,Q8a,with_only_children,0
Total Households,354,all_households,2015-03-01,2015-03-31,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,57,all_households,2015-03-01,2015-03-31,Q8a,without_children,41
For PSH and RRH - the total persons served who moved into housing,57,all_households,2015-03-01,2015-03-31,Q8a,with_children_and_adults,16
For PSH and RRH - the total persons served who moved into housing,57,all_households,2015-03-01,2015-03-31,Q8a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,57,all_households,2015-03-01,2015-03-31,Q8a,unknown_household_type,0
Total Households,325,all_households,2015-04-01,2015-04-30,Q8a,without_children,277
Total Households,325,all_households,2015-04-01,2015-04-30,Q8a,with_children_and_adults,48
Total Households,325,all_households,2015-04-01,2015-04-30,Q8a,with_only_children,0
Total Households,325,all_households,2015-04-01,2015-04-30,Q8a,unknown_household_type,0
For PSH and RRH - the total persons served who moved into housing,66,all_households,2015-04-01,2015-04-30,Q8a,without_children,53
For PSH and RRH - the total persons served who moved into housing,66,all_households,2015-04-01,2015-04-30,Q8a,with_children_and_adults,13
For PSH and RRH - the total persons served who moved into housing,66,all_households,2015-04-01,2015-04-30,Q8a,with_only_children,0
