pit_month,total,population,start_date,end_date,question,household_type,count
January,0,all_households,2014-11-01,2014-11-30,Q8b,without_children,0
January,0,all_households,2014-11-01,2014-11-30,Q8b,with_children_and_adults,0
January,0,all_households,2014-11-01,2014-11-30,Q8b,with_only_children,0
January,0,all_households,2014-11-01,2014-11-30,Q8b,unknown_household_type,0
April,0,all_households,2014-11-01,2014-11-30,Q8b,without_children,0
April,0,all_households,2014-11-01,2014-11-30,Q8b,with_children_and_adults,0
April,0,all_households,2014-11-01,2014-11-30,Q8b,with_only_children,0
April,0,all_households,2014-11-01,2014-11-30,Q8b,unknown_household_type,0
July,0,all_households,2014-11-01,2014-11-30,Q8b,without_children,0
July,0,all_households,2014-11-01,2014-11-30,Q8b,with_children_and_adults,0
July,0,all_households,2014-11-01,2014-11-30,Q8b,with_only_children,0
July,0,all_households,2014-11-01,2014-11-30,Q8b,unknown_household_type,0
October,0,all_households,2014-11-01,2014-11-30,Q8b,without_children,0
October,0,all_households,2014-11-01,2014-11-30,Q8b,with_children_and_adults,0
October,0,all_households,2014-11-01,2014-11-30,Q8b,with_only_children,0
October,0,all_households,2014-11-01,2014-11-30,Q8b,unknown_household_type,0
January,0,all_households,2014-12-01,2014-12-31,Q8b,without_children,0
January,0,all_households,2014-12-01,2014-12-31,Q8b,with_children_and_adults,0
January,0,all_households,2014-12-01,2014-12-31,Q8b,with_only_children,0
January,0,all_households,2014-12-01,2014-12-31,Q8b,unknown_household_type,0
April,0,all_households,2014-12-01,2014-12-31,Q8b,without_children,0
April,0,all_households,2014-12-01,2014-12-31,Q8b,with_children_and_adults,0
April,0,all_households,2014-12-01,2014-12-31,Q8b,with_only_children,0
April,0,all_households,2014-12-01,2014-12-31,Q8b,unknown_household_type,0
July,0,all_households,2014-12-01,2014-12-31,Q8b,without_children,0
July,0,all_households,2014-12-01,2014-12-31,Q8b,with_children_and_adults,0
July,0,all_households,2014-12-01,2014-12-31,Q8b,with_only_children,0
July,0,all_households,2014-12-01,2014-12-31,Q8b,unknown_household_type,0
October,0,all_households,2014-12-01,2014-12-31,Q8b,without_children,0
October,0,all_households,2014-12-01,2014-12-31,Q8b,with_children_and_adults,0
October,0,all_households,2014-12-01,2014-12-31,Q8b,with_only_children,0
October,0,all_households,2014-12-01,2014-12-31,Q8b,unknown_household_type,0
January,233,all_households,2015-01-01,2015-01-31,Q8b,without_children,188
January,233,all_households,2015-01-01,2015-01-31,Q8b,with_children_and_adults,45
January,233,all_households,2015-01-01,2015-01-31,Q8b,with_only_children,0
January,233,all_households,2015-01-01,2015-01-31,Q8b,unknown_household_type,0
April,0,all_households,2015-01-01,2015-01-31,Q8b,without_children,0
April,0,all_households,2015-01-01,2015-01-31,Q8b,with_children_and_adults,0
April,0,all_households,2015-01-01,2015-01-31,Q8b,with_only_children,0
April,0,all_households,2015-01-01,2015-01-31,Q8b,unknown_household_type,0
July,0,all_households,2015-01-01,2015-01-31,Q8b,without_children,0
July,0,all_households,2015-01-01,2015-01-31,Q8b,with_children_and_adults,0
July,0,all_households,2015-01-01,2015-01-31,Q8b,with_only_children,0
July,0,all_households,2015-01-01,2015-01-31,Q8b,unknown_household_type,0
October,0,all_households,2015-01-01,2015-01-31,Q8b,without_children,0
October,0,all_households,2015-01-01,2015-01-31,Q8b,with_children_and_adults,0
October,0,all_households,2015-01-01,2015-01-31,Q8b,with_only_children,0
October,0,all_households,2015-01-01,2015-01-31,Q8b,unknown_household_type,0
January,0,all_households,2015-02-01,2015-02-28,Q8b,without_children,0
January,0,all_households,2015-02-01,2015-02-28,Q8b,with_children_and_adults,0
January,0,all_households,2015-02-01,2015-02-28,Q8b,with_only_children,0
January,0,all_households,2015-02-01,2015-02-28,Q8b,unknown_household_type,0
April,0,all_households,2015-02-01,2015-02-28,Q8b,without_children,0
April,0,all_households,2015-02-01,2015-02-28,Q8b,with_children_and_adults,0
April,0,all_households,2015-02-01,2015-02-28,Q8b,with_only_children,0
April,0,all_households,2015-02-01,2015-02-28,Q8b,unknown_household_type,0
July,0,all_households,2015-02-01,2015-02-28,Q8b,without_children,0
July,0,all_households,2015-02-01,2015-02-28,Q8b,with_children_and_adults,0
July,0,all_households,2015-02-01,2015-02-28,Q8b,with_only_children,0
July,0,all_households,2015-02-01,2015-02-28,Q8b,unknown_household_type,0
October,0,all_households,2015-02-01,2015-02-28,Q8b,without_children,0
October,0,all_households,2015-02-01,2015-02-28,Q8b,with_children_and_adults,0
October,0,all_households,2015-02-01,2015-02-28,Q8b,with_only_children,0
October,0,all_households,2015-02-01,2015-02-28,Q8b,unknown_household_type,0
January,0,all_households,2015-03-01,2015-03-31,Q8b,without_children,0
January,0,all_households,2015-03-01,2015-03-31,Q8b,with_children_and_adults,0
January,0,all_households,2015-03-01,2015-03-31,Q8b,with_only_children,0
January,0,all_households,2015-03-01,2015-03-31,Q8b,unknown_household_type,0
April,0,all_households,2015-03-01,2015-03-31,Q8b,without_children,0
April,0,all_households,2015-03-01,2015-03-31,Q8b,with_children_and_adults,0
April,0,all_households,2015-03-01,2015-03-31,Q8b,with_only_children,0
April,0,all_households,2015-03-01,2015-03-31,Q8b,unknown_household_type,0
July,0,all_households,2015-03-01,2015-03-31,Q8b,without_children,0
July,0,all_households,2015-03-01,2015-03-31,Q8b,with_children_and_adults,0
July,0,all_households,2015-03-01,2015-03-31,Q8b,with_only_children,0
July,0,all_households,2015-03-01,2015-03-31,Q8b,unknown_household_type,0
October,0,all_households,2015-03-01,2015-03-31,Q8b,without_children,0
October,0,all_households,2015-03-01,2015-03-31,Q8b,with_children_and_adults,0
October,0,all_households,2015-03-01,2015-03-31,Q8b,with_only_children,0
October,0,all_households,2015-03-01,2015-03-31,Q8b,unknown_household_type,0
January,0,all_households,2015-04-01,2015-04-30,Q8b,without_children,0
January,0,all_households,2015-04-01,2015-04-30,Q8b,with_children_and_adults,0
January,0,all_households,2015-04-01,2015-04-30,Q8b,with_only_children,0
