number_of_persons_contacted,all_persons_contacted,first_contact_not_staying_on_the_streets_es_or_sh,first_contact_was_staying_on_the_streets_es_or_sh,first_contact_worker_unable_to_determine,population,start_date,end_date,question
Once,0,0,0,0,CE,2014-11-01,2014-11-30,Q9a
2-5 Times,0,0,0,0,CE,2014-11-01,2014-11-30,Q9a
6-9 Times,0,0,0,0,CE,2014-11-01,2014-11-30,Q9a
10+ Times,0,0,0,0,CE,2014-11-01,2014-11-30,Q9a
Total Persons Contacted,0,0,0,0,CE,2014-11-01,2014-11-30,Q9a
Once,0,0,0,0,CE,2014-12-01,2014-12-31,Q9a
2-5 Times,0,0,0,0,CE,2014-12-01,2014-12-31,Q9a
6-9 Times,0,0,0,0,CE,2014-12-01,2014-12-31,Q9a
10+ Times,0,0,0,0,CE,2014-12-01,2014-12-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2014-12-01,2014-12-31,Q9a
Once,0,0,0,0,CE,2015-01-01,2015-01-31,Q9a
2-5 Times,0,0,0,0,CE,2015-01-01,2015-01-31,Q9a
6-9 Times,0,0,0,0,CE,2015-01-01,2015-01-31,Q9a
10+ Times,0,0,0,0,CE,2015-01-01,2015-01-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2015-01-01,2015-01-31,Q9a
Once,0,0,0,0,CE,2015-02-01,2015-02-28,Q9a
2-5 Times,0,0,0,0,CE,2015-02-01,2015-02-28,Q9a
6-9 Times,0,0,0,0,CE,2015-02-01,2015-02-28,Q9a
10+ Times,0,0,0,0,CE,2015-02-01,2015-02-28,Q9a
Total Persons Contacted,0,0,0,0,CE,2015-02-01,2015-02-28,Q9a
Once,0,0,0,0,CE,2015-03-01,2015-03-31,Q9a
2-5 Times,0,0,0,0,CE,2015-03-01,2015-03-31,Q9a
6-9 Times,0,0,0,0,CE,2015-03-01,2015-03-31,Q9a
10+ Times,0,0,0,0,CE,2015-03-01,2015-03-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2015-03-01,2015-03-31,Q9a
Once,0,0,0,0,CE,2015-04-01,2015-04-30,Q9a
2-5 Times,0,0,0,0,CE,2015-04-01,2015-04-30,Q9a
6-9 Times,0,0,0,0,CE,2015-04-01,2015-04-30,Q9a
10+ Times,0,0,0,0,CE,2015-04-01,2015-04-30,Q9a
Total Persons Contacted,0,0,0,0,CE,2015-04-01,2015-04-30,Q9a
Once,0,0,0,0,CE,2015-05-01,2015-05-31,Q9a
2-5 Times,0,0,0,0,CE,2015-05-01,2015-05-31,Q9a
6-9 Times,0,0,0,0,CE,2015-05-01,2015-05-31,Q9a
10+ Times,0,0,0,0,CE,2015-05-01,2015-05-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2015-05-01,2015-05-31,Q9a
Once,0,0,0,0,CE,2015-06-01,2015-06-30,Q9a
2-5 Times,0,0,0,0,CE,2015-06-01,2015-06-30,Q9a
6-9 Times,0,0,0,0,CE,2015-06-01,2015-06-30,Q9a
10+ Times,0,0,0,0,CE,2015-06-01,2015-06-30,Q9a
Total Persons Contacted,0,0,0,0,CE,2015-06-01,2015-06-30,Q9a
Once,0,0,0,0,CE,2015-07-01,2015-07-31,Q9a
2-5 Times,0,0,0,0,CE,2015-07-01,2015-07-31,Q9a
6-9 Times,0,0,0,0,CE,2015-07-01,2015-07-31,Q9a
10+ Times,0,0,0,0,CE,2015-07-01,2015-07-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2015-07-01,2015-07-31,Q9a
Once,0,0,0,0,CE,2015-08-01,2015-08-31,Q9a
2-5 Times,0,0,0,0,CE,2015-08-01,2015-08-31,Q9a
6-9 Times,0,0,0,0,CE,2015-08-01,2015-08-31,Q9a
10+ Times,0,0,0,0,CE,2015-08-01,2015-08-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2015-08-01,2015-08-31,Q9a
Once,0,0,0,0,CE,2015-09-01,2015-09-30,Q9a
2-5 Times,0,0,0,0,CE,2015-09-01,2015-09-30,Q9a
6-9 Times,0,0,0,0,CE,2015-09-01,2015-09-30,Q9a
10+ Times,0,0,0,0,CE,2015-09-01,2015-09-30,Q9a
Total Persons Contacted,0,0,0,0,CE,2015-09-01,2015-09-30,Q9a
Once,0,0,0,0,CE,2015-10-01,2015-10-31,Q9a
2-5 Times,0,0,0,0,CE,2015-10-01,2015-10-31,Q9a
6-9 Times,0,0,0,0,CE,2015-10-01,2015-10-31,Q9a
10+ Times,0,0,0,0,CE,2015-10-01,2015-10-31,Q9a
Total Persons Contacted,0,0,0,0,CE,2015-10-01,2015-10-31,Q9a
Once,0,0,0,0,CE,2015-11-01,2015-11-30,Q9a
2-5 Times,0,0,0,0,CE,2015-11-01,2015-11-30,Q9a
