, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",5,12,17,0.29,0,20,20,0.0,0,0,0,0.0
"""Supplemental Security Income (SSI)""",8,5,13,0.62,1,1,2,0.5,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",8,4,12,0.67,1,1,2,0.5,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,0,2,2,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",1,0,1,1.0,0,3,3,0.0,0,0,0,0.0
"""Other source""",2,2,4,0.5,0,1,1,0.0,0,0,0,0.0
"""No Sources""",6,9,15,0.4,1,8,9,0.11,0,0,0,0.0
"""Unduplicated Total Adults""",24,29,53,,3,29,32,,0,0,0,
