, "At Start" , "At Annual Assessment for Stayers" , "At Exit for Leavers"
"""MEDICAID""",207,23,47
"""MEDICARE""",56,10,6
"""State Children's Health Insurance Program""",7,0,1
"""Veteran's Administration (VA) Medical Services""",7,0,1
"""Employer - Provided Health Insurance""",31,0,2
"""Health Insurance obtained through COBRA""",0,0,0
"""Private Pay Health Insurance""",32,3,1
"""State Health Insurance for Adults""",5,1,1
"""Indian Health Services Program""",1,0,0
"""Other""",1,0,0
"""No Health Insurance""",218,9,62
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",11,79,0
"""Number of Stayers not yet Required To Have an Annual Assessment""",0,300,0
"""1 Source of Health Insurance""",266,21,47
"""More than 1 Source of Health Insurance""",39,8,6
