, "Total" , "Without Children", "With Children and Adults", "With Only Children", "Unknown Household Type"
"""7 days or less""",23,5,18,0,0
"""8 to 14 days""",11,3,8,0,0
"""15 to 21 days""",4,1,3,0,0
"""22 to 30 days""",4,1,3,0,0
"""31 to 60 days""",2,1,1,0,0
"""61 to 180 days""",5,2,3,0,0
"""181 to 365 days""",0,0,0,0,0
"""366 to 730 days (1-2 Yrs)""",0,0,0,0,0
"""Total (persons moved into housing)""",49,13,36,0,0
"""Average length of time to housing""",16,21,15,0,0
"""Persons who were exited without move-in""",0,0,0,0,0
"""Total""",49,13,36,0,0
